month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,130,130~130,轻度污染,99,121,1.1,31,19,59
2015-01,118,58~246,轻度污染,88,111,1.084,23,33,72
2015-02,101,43~233,轻度污染,70,92,1.221,20,26,87
2015-03,68,40~145,良,45,72,0.881,21,15,88
2015-04,70,36~123,良,47,81,0.66,16,18,84
2015-05,51,31~94,良,31,47,0.416,12,15,76
2015-06,48,24~71,优,28,42,0.44,12,12,83
2015-07,49,27~70,优,28,44,0.352,13,16,85
2015-08,45,26~63,优,25,44,0.313,15,15,65
2015-09,57,40~91,良,28,65,0.43,12,17,42
2015-10,77,23~232,良,51,93,0.381,12,21,29
2015-11,142,60~437,轻度污染,112,154,0.727,11,23,27
2015-12,98,32~234,良,66,107,1.261,21,28,47
2016-01,77,32~128,良,55,79,0.939,11,22,40
2016-02,60,33~152,良,42,54,0.9,5,19,68
2016-03,65,32~110,良,40,75,0.684,9,16,61
2016-04,78,35~142,良,48,96,0.513,12,20,73
2016-05,64,32~125,良,34,70,0.423,12,25,99
2016-06,71,25~140,良,33,62,0.63,11,13,80
2016-07,55,32~77,良,37,58,0.668,12,27,51
2016-08,62,29~85,良,33,73,0.823,14,25,56
2016-09,57,28~87,良,33,63,1.113,11,24,72
2016-10,74,35~172,良,49,87,0.781,10,27,69
2016-11,104,60~221,轻度污染,74,127,0.873,15,34,68
2016-12,102,61~217,轻度污染,75,127,1.023,25,46,58
2017-01,116,51~254,轻度污染,87,128,1.197,29,42,60
2017-02,76,51~168,良,51,83,0.889,18,29,83
2017-03,76,35~132,良,53,95,0.839,12,31,90
2017-04,76,35~185,良,47,95,0.677,15,29,101
2017-05,75,34~391,良,26,65,0.426,13,25,102
2017-06,55,25~100,良,27,47,0.527,20,24,91
2017-07,60,38~96,良,23,56,0.51,11,26,101
2017-08,51,26~66,良,18,53,0.571,11,20,65
2017-09,52,39~65,良,19,57,0.5,12,28,69
2017-10,107,36~325,轻度污染,75,125,0.787,14,38,69
2017-11,112,41~406,轻度污染,83,83,0.92,14,36,51
2017-12,81,42~172,良,56,95,0.977,17,36,29
2018-01,78,0~127,良,56,97,0.739,11,32,51
2018-02,80,41~160,良,54,94,0.693,19,27,74
2018-03,65,0~147,良,38,81,0.674,16,28,96
2018-04,96,40~204,良,50,126,0.61,14,30,122
2018-05,77,41~131,良,26,88,0.384,12,24,123
2018-06,67,30~142,良,18,57,0.37,8,22,110
2018-07,58,22~137,良,18,45,0.5,9,24,98
2018-08,46,23~75,优,14,45,0.49,8,24,70
2018-09,52,24~82,良,16,58,0.44,9,24,70
2018-10,60,0~116,良,21,75,0.419,10,28,61
2018-11,66,33~129,良,33,77,0.58,13,40,55
2018-12,72,46~198,良,37,89,0.513,10,36,55
2019-01,76,49~215,良,46,98,0.7,14,34,52
2019-02,106,37~323,轻度污染,78,121,0.761,18,30,78
2019-03,80,42~354,良,55,92,0.739,13,29,91
2019-04,68,40~127,良,35,81,0.713,10,24,107
2019-05,57,28~122,良,21,48,0.539,6,20,101
2019-06,47,13~114,优,15,28,0.54,7,21,86
2019-07,43,20~87,优,13,30,0.639,10,23,82
2019-08,33,20~59,优,13,25,0.684,8,19,59
2019-09,46,30~73,优,16,42,0.56,10,21,74
2019-10,57,30~106,良,22,60,0.626,10,30,72
2019-11,45,28~92,优,25,44,0.57,11,27,52
2019-12,92,48~209,良,65,93,0.926,15,41,39
2020-01,103,40~206,轻度污染,77,104,1.097,20,46,58
2020-02,55,35~119,良,38,54,0.9,12,25,77
2020-03,54,41~82,良,30,51,0.684,12,21,94
2020-04,81,33~370,良,52,79,0.717,11,23,99
2020-05,60,30~115,良,20,51,0.619,11,23,106
2020-06,43,22~111,优,13,32,0.657,11,22,79
2020-07,51,23~110,良,13,41,0.555,10,15,91
2020-08,34,15~59,优,12,29,0.523,5,15,63
2020-09,35,19~53,优,16,33,0.493,6,17,53
2020-10,54,22~93,良,24,63,0.503,9,23,55
2020-11,54,26~90,良,36,54,0.69,11,29,49
2020-12,81,40~175,良,59,84,0.923,12,41,51
2021-01,92,39~175,良,68,88,0.858,17,37,61
2021-02,69,37~168,良,49,65,0.739,17,24,80
2021-03,54,35~97,良,29,53,0.584,15,23,89
2021-04,79,40~305,良,47,84,0.56,13,25,111
2021-05,58,27~119,良,17,39,0.468,10,19,105
2021-06,59,26~108,良,12,35,0.487,9,21,105
2021-07,50,25~78,良,11,30,0.529,8,18,94
2021-08,40,20~94,优,10,27,0.513,6,16,77
2021-09,37,23~57,优,12,28,0.547,8,20,71
2021-10,59,29~224,良,29,64,0.645,11,26,63
2021-11,51,23~77,良,32,52,0.757,12,26,53
2021-12,55,29~104,良,38,52,0.855,12,32,54
2022-01,88,35~188,良,65,85,1.097,16,36,56
2022-02,67,41~103,良,47,61,0.725,14,27,81
2022-03,48,39~66,优,25,43,0.69,13,20,88
2022-04,69,39~185,良,38,75,0.73,14,21,103
2022-05,51,24~94,良,17,36,0.597,16,18,96
2022-06,43,23~68,优,11,26,0.52,13,18,83
2022-07,38,16~78,优,10,24,0.539,12,16,72
2022-08,34,20~50,优,10,24,0.539,9,17,65
2022-09,41,20~93,优,11,31,0.48,14,18,73
2022-10,45,23~84,优,22,46,0.674,13,25,63
2022-11,54,25~103,良,34,57,0.65,12,26,46
2022-12,54,25~92,良,35,53,0.703,12,27,53
2023-01,77,31~180,良,56,68,0.926,15,33,57
2023-02,69,40~125,良,49,63,0.771,15,35,77
2023-03,73,38~322,良,36,81,0.758,12,22,91
2023-04,74,38~200,良,36,92,0.653,13,21,95
2023-05,56,32~139,良,15,43,0.571,12,17,97
2023-06,49,28~120,优,9,23,0.62,13,19,93
2023-07,39,20~60,优,9,22,0.529,10,19,76
2023-08,28,15~44,优,8,16,0.487,10,16,55
2023-09,33,26~45,优,10,23,0.45,11,19,64
2023-10,46,25~115,优,22,45,0.7,13,28,65
2023-11,55,28~119,良,38,40,0.797,10,31,56
2023-12,71,32~138,良,51,64,0.8,13,37,32
2024-01,89,34~206,良,65,79,0.997,13,39,59
2024-02,68,36~158,良,48,60,0.824,14,28,86
2024-03,51,36~87,良,27,40,0.723,10,23,95
2024-04,64,37~150,良,38,63,0.67,11,22,108
2024-05,48,26~89,优,18,36,0.439,10,18,91
2024-06,41,16~78,优,12,19,0.337,9,16,79
2024-07,48,22~83,优,22,38,0.358,11,17,85
2024-08,31,18~48,优,11,21,0.435,10,16,61
2024-09,33,20~49,优,12,30,0.413,7,19,60
2024-10,47,20~73,优,22,48,0.645,8,24,59
2024-11,58,28~144,良,40,60,0.77,10,28,44
2024-12,48,26~89,优,33,42,0.658,10,30,52
2025-01,94,45~178,良,70,92,0.919,10,41,52
2025-02,51,34~90,良,34,46,0.404,10,22,79
2025-03,48,39~74,优,25,42,0.571,8,17,86
2025-04,56,47~68,良,33,54,0.622,9,24,98
