month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,103,103~103,轻度污染,77,109,1,12,31,158
2014-01,73,38~124,良,47,70,0.768,5,15,118
2014-02,34,20~51,优,17,30,0.789,2,13,62
2014-03,38,20~58,优,18,35,0.613,2,12,65
2014-04,35,18~83,优,18,30,0.553,1,10,55
2014-05,29,18~39,优,13,23,0.529,1,11,57
2014-06,31,18~41,优,11,25,0.517,2,15,57
2014-07,26,18~40,优,9,24,0.519,2,15,50
2014-08,26,16~37,优,8,24,0.506,2,14,49
2014-09,33,16~76,优,13,30,0.567,2,16,60
2014-10,60,19~128,良,27,49,0.574,2,13,103
2014-11,42,28~71,优,18,37,0.58,2,13,78
2014-12,48,30~76,优,23,40,0.703,2,16,89
2015-01,60,33~107,良,31,51,0.642,2,21,106
2015-02,50,22~84,良,28,43,0.661,2,11,87
2015-03,37,24~60,优,17,32,0.548,2,9,70
2015-04,43,20~88,优,16,33,0.61,2,12,79
2015-05,33,17~50,优,13,27,0.59,3,10,63
2015-06,26,17~43,优,10,23,0.51,3,11,51
2015-07,35,20~72,优,14,29,0.584,4,16,68
2015-08,28,18~47,优,11,24,0.594,3,13,54
2015-09,32,20~60,优,13,24,0.703,4,14,62
2015-10,54,20~120,良,24,40,0.748,3,19,95
2015-11,35,21~69,优,13,27,0.59,3,9,67
2015-12,42,26~80,优,16,30,0.732,3,13,82
2016-01,39,26~60,优,15,28,0.803,3,17,71
2016-02,46,27~86,优,20,34,0.759,5,12,87
2016-03,45,24~119,优,16,33,0.655,3,15,79
2016-04,34,23~51,优,16,32,0.647,2,12,61
2016-05,33,21~75,优,12,24,0.623,3,10,62
2016-06,31,16~45,优,8,20,0.587,3,12,61
2016-07,24,15~30,优,9,22,0.552,3,9,46
2016-08,30,23~42,优,11,27,0.532,3,13,55
2016-09,34,15~75,优,12,26,0.607,4,12,64
2016-10,36,17~72,优,13,28,0.629,3,13,69
2016-11,37,17~64,优,12,26,0.597,2,12,71
2016-12,50,35~103,良,20,39,0.677,3,13,95
2017-01,42,29~58,优,17,31,0.645,2,11,84
2017-02,44,21~75,优,17,28,0.668,2,9,85
2017-03,43,26~93,优,20,37,0.623,2,11,76
2017-04,42,23~88,优,15,28,0.607,2,10,79
2017-05,36,18~82,优,11,23,0.584,2,11,68
2017-06,29,18~39,优,10,21,0.55,2,11,58
2017-07,26,15~37,优,8,18,0.552,2,11,52
2017-08,24,16~36,优,9,20,0.516,2,11,47
2017-09,26,15~44,优,11,23,0.56,3,13,47
2017-10,52,15~139,良,22,34,0.665,4,13,92
2017-11,44,19~108,优,16,28,0.717,2,14,79
2017-12,46,16~89,优,24,40,0.668,3,14,54
2018-01,33,18~60,优,14,26,0.571,2,12,63
2018-02,41,19~66,优,23,35,0.582,3,10,72
2018-03,38,17~79,优,16,29,0.523,3,9,70
2018-04,32,18~75,优,13,26,0.55,2,9,62
2018-05,24,18~41,优,10,17,0.494,3,9,46
2018-06,30,21~62,优,9,20,0.52,4,11,59
2018-07,27,15~42,优,8,19,0.59,4,12,51
2018-08,28,19~44,优,10,23,0.474,4,11,55
2018-09,34,19~89,优,13,25,0.52,5,10,66
2018-10,61,25~122,良,22,40,0.619,4,11,106
2018-11,39,23~102,优,15,28,0.533,4,11,73
2018-12,37,26~52,优,12,24,0.571,4,10,72
2019-01,47,28~99,优,15,24,0.674,4,8,89
2019-02,31,22~48,优,14,24,0.429,3,6,60
2019-03,35,23~62,优,15,29,0.545,2,7,68
2019-04,27,15~47,优,11,22,0.43,3,7,53
2019-05,41,28~60,优,13,25,0.487,3,8,80
2019-06,29,17~42,优,9,21,0.43,3,9,58
2019-07,30,18~41,优,10,22,0.41,3,9,59
2019-08,26,19~32,优,8,20,0.442,3,9,50
2019-09,51,14~110,良,17,30,0.52,4,10,89
2019-10,45,19~92,优,15,30,0.539,5,8,84
2019-11,61,26~119,良,21,41,0.5,5,10,107
2019-12,47,24~100,优,15,32,0.539,5,13,87
