month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,84,84~84,良,63,96,2.1,43,55,23
2015-01,63,23~110,良,45,69,1.606,40,37,48
2015-02,62,21~108,良,45,61,1.696,24,23,47
2015-03,44,18~81,优,28,44,1.348,16,20,44
2015-04,54,16~108,良,33,62,1.353,20,28,66
2015-05,44,16~61,优,24,43,1.387,11,26,51
2015-06,49,30~61,优,23,52,1.187,15,25,58
2015-07,45,20~72,优,22,48,1.123,14,24,56
2015-08,46,24~74,优,23,48,1.194,13,24,65
2015-09,49,25~72,优,26,52,1.16,13,26,64
2015-10,53,22~70,良,31,59,1.052,19,33,63
2015-11,45,23~63,优,25,46,1.117,21,26,38
2015-12,45,22~73,优,26,44,1.119,22,27,36
2016-01,49,22~105,优,30,46,1.471,22,28,34
2016-02,49,24~83,优,30,51,1.176,13,22,59
2016-03,59,25~145,良,37,60,1.319,17,35,67
2016-04,53,32~80,良,29,52,1.58,18,34,63
2016-05,49,32~79,优,26,49,1.365,15,31,71
2016-06,48,35~75,优,20,44,1.29,15,28,75
2016-07,47,28~98,优,22,42,1.316,13,23,77
2016-08,47,26~80,优,21,40,1.039,13,20,86
2016-09,46,20~74,优,23,40,1.14,13,21,80
2016-10,34,19~55,优,17,32,0.961,11,21,45
2016-11,45,20~73,优,25,47,1.157,13,29,39
2016-12,60,25~107,良,40,64,1.294,17,37,50
2017-01,51,29~100,良,34,49,1.332,17,27,52
2017-02,48,22~73,优,29,44,1.061,16,29,82
2017-03,49,26~81,优,26,45,1.152,17,31,69
2017-04,60,24~95,良,27,48,1.353,15,35,96
2017-05,62,30~141,良,24,44,1.287,12,32,108
2017-06,38,26~58,优,16,32,1.207,8,22,63
2017-07,49,23~97,优,19,37,0.977,11,20,90
2017-08,51,26~76,良,22,38,1.113,11,23,95
2017-09,59,35~109,良,27,43,1.013,12,22,107
2017-10,53,30~87,良,28,43,0.91,11,24,98
2017-11,49,17~87,优,31,45,0.91,12,27,72
2017-12,59,18~95,良,40,55,0.987,13,36,44
2018-01,47,19~88,优,29,42,0.952,12,31,56
2018-02,50,22~168,优,33,42,0.893,13,23,68
2018-03,51,26~71,良,28,44,1.094,13,30,81
2018-04,58,23~85,良,35,56,1.077,14,28,87
2018-05,51,31~78,良,24,41,1.045,13,23,92
2018-06,41,24~80,优,16,29,0.903,10,19,78
2018-07,40,20~67,优,15,29,0.984,12,19,77
2018-08,42,22~78,优,18,32,0.997,11,20,82
2018-09,44,19~81,优,18,32,0.857,9,17,82
2018-10,58,27~92,良,29,43,0.926,11,25,95
2018-11,37,20~52,优,21,33,0.867,11,24,52
2018-12,40,18~75,优,24,38,1.035,9,26,31
2019-01,44,23~73,优,28,42,1.132,9,25,42
2019-02,32,15~75,优,18,29,0.989,9,15,34
2019-03,45,25~75,优,27,42,0.958,8,24,64
2019-04,45,20~74,优,27,43,1.027,7,23,63
2019-05,44,25~66,优,24,39,0.955,5,20,73
2019-06,43,23~89,优,18,33,0.957,7,19,74
2019-07,39,26~54,优,17,34,0.887,7,17,69
2019-08,45,23~75,优,20,36,0.784,6,16,85
2019-09,62,24~109,良,23,42,0.783,6,22,109
2019-10,60,25~81,良,31,50,0.852,7,26,105
2019-11,52,24~71,良,29,50,0.773,8,31,90
2019-12,50,29~69,良,30,50,0.887,10,35,61
2020-01,42,18~63,优,25,37,0.961,10,22,59
2020-02,38,21~60,优,21,28,0.669,6,14,65
2020-03,38,18~69,优,22,32,0.881,7,22,50
2020-04,57,18~98,良,27,46,0.817,7,26,97
2020-05,53,39~95,良,23,42,0.816,7,20,96
2020-06,44,28~82,优,18,38,0.75,9,20,80
2020-07,47,31~85,优,19,42,0.774,11,21,82
2020-08,38,20~70,优,17,34,0.629,7,16,73
2020-09,43,20~73,优,19,35,0.763,6,17,78
2020-10,49,23~70,优,22,41,0.565,7,19,92
2020-11,50,22~97,优,25,44,0.653,9,28,81
2020-12,45,15~77,优,29,40,0.594,8,23,48
2021-01,58,20~94,良,38,61,0.852,9,37,68
2021-02,49,18~103,优,29,40,0.686,9,19,81
2021-03,53,20~84,良,35,53,0.9,9,28,68
2021-04,54,24~90,良,26,42,0.767,7,25,89
2021-05,44,24~107,优,24,38,0.855,9,23,74
2021-06,45,33~81,优,21,35,0.79,9,18,81
2021-07,44,29~63,优,20,36,0.726,9,17,86
2021-08,44,26~70,优,17,32,0.768,7,16,85
2021-09,54,27~88,良,21,36,0.65,6,19,100
2021-10,40,18~87,优,18,27,0.568,6,16,73
