month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,93,32~276,良,0,72,1.258,18,20,0
2013-06,98,40~260,良,0,108,1.273,44,24,0
2013-07,90,45~139,良,0,82,1.297,33,17,0
2013-08,122,39~185,轻度污染,0,63,1.168,52,19,165
2013-09,102,35~150,轻度污染,0,96,2.031,56,33,100
2013-10,133,48~355,轻度污染,37,177,1.165,78,50,114
2013-11,137,49~286,轻度污染,96,163,1.817,77,44,59
2013-12,185,55~427,中度污染,146,204,2.726,152,71,36
2014-01,159,61~357,中度污染,120,175,2.368,126,59,39
2014-02,181,26~378,中度污染,139,169,2.243,112,48,49
2014-03,119,70~216,轻度污染,77,149,1.535,69,43,97
2014-04,100,52~183,良,64,104,1.667,47,37,99
2014-05,99,41~152,良,56,133,1.194,33,28,97
2014-06,116,55~217,轻度污染,68,116,1.46,42,26,158
2014-07,96,39~176,良,53,96,0.977,27,24,150
2014-08,83,38~136,良,53,100,0.868,23,27,116
2014-09,71,27~133,良,46,85,0.933,20,26,50
2014-10,95,43~198,良,63,119,1.242,35,39,49
2014-11,139,42~293,轻度污染,101,160,1.74,45,52,42
2014-12,98,46~221,良,66,100,1.823,92,62,35
2015-01,150,62~362,中度污染,112,186,1.765,86,64,38
2015-02,138,70~220,轻度污染,95,191,1.257,73,44,73
2015-03,132,64~240,轻度污染,90,182,1.39,56,49,86
2015-04,94,42~173,良,56,130,1.29,43,41,98
2015-05,91,56~168,良,58,118,1.09,39,34,116
2015-06,89,49~121,良,54,98,1.1,27,28,128
2015-07,95,63~155,良,60,98,1.026,22,25,136
2015-08,94,39~155,良,54,95,1.177,24,28,131
2015-09,66,36~100,良,37,71,1.089,29,29,101
2015-10,95,47~222,良,60,104,1.481,41,47,83
2015-11,101,44~198,轻度污染,71,111,1.937,52,49,42
2015-12,183,52~414,中度污染,142,211,2.716,68,60,37
2016-01,171,56~434,中度污染,132,202,2.945,73,59,49
2016-02,111,48~269,轻度污染,68,149,2.231,52,36,80
2016-03,143,56~500,轻度污染,77,206,1.794,49,43,104
2016-04,101,60~154,轻度污染,59,144,1.813,35,39,122
2016-05,97,50~152,良,45,103,1.303,29,35,139
2016-06,98,67~156,良,41,83,1.297,24,31,156
2016-07,88,36~148,良,42,70,0.929,14,21,137
2016-08,80,40~102,良,47,74,1.019,16,20,130
2016-09,87,57~149,良,54,92,1.103,20,38,118
2016-10,66,28~129,良,41,75,0.897,21,35,70
2016-11,127,39~206,轻度污染,88,170,1.46,28,50,48
2016-12,148,56~363,轻度污染,111,173,2.019,33,54,44
2017-01,108,0~382,轻度污染,83,126,1.584,40,54,41
2017-02,100,0~258,良,72,104,1.321,37,50,65
2017-03,93,0~162,良,63,93,1.045,28,51,84
2017-04,75,0~158,良,42,76,1.097,18,42,113
2017-05,77,0~131,良,27,62,0.971,19,41,148
2017-06,109,0~174,轻度污染,39,75,0.917,14,30,172
2017-07,114,52~184,轻度污染,45,83,0.871,10,23,171
2017-08,85,34~142,良,41,75,0.839,13,26,136
2017-09,73,37~122,良,42,83,0.887,16,34,106
2017-10,70,30~125,良,47,80,1.026,15,37,55
2017-11,72,0~160,良,49,89,1.17,22,53,50
2017-12,103,0~283,轻度污染,71,115,1.365,28,54,46
2018-01,141,42~327,轻度污染,106,140,1.335,25,43,52
2018-02,89,0~236,良,61,97,1.186,23,36,80
2018-03,99,0~258,良,71,100,1.013,15,39,100
2018-04,47,0~108,优,22,56,0.813,12,38,112
2018-05,73,0~126,良,32,81,0.729,11,33,124
2018-06,90,0~134,良,28,63,0.743,9,29,144
2018-07,71,32~135,良,33,60,0.784,7,19,119
2018-08,90,55~153,良,36,69,0.823,10,19,147
2018-09,62,34~100,良,25,58,0.763,9,30,96
2018-10,81,51~149,良,47,92,0.723,12,47,91
2018-11,71,0~185,良,51,72,1.023,14,45,53
2018-12,103,0~287,轻度污染,72,125,1.206,20,46,38
2019-01,169,54~351,中度污染,130,170,1.603,20,56,38
2019-02,139,70~225,轻度污染,103,136,1.211,12,31,78
2019-03,80,0~163,良,44,96,0.787,11,40,103
2019-04,85,0~156,良,53,95,0.89,9,31,112
2019-05,105,48~367,轻度污染,37,118,0.642,9,27,133
2019-06,90,0~133,良,27,66,0.687,6,27,151
2019-07,84,39~119,良,25,56,0.635,4,22,139
2019-08,77,25~127,良,26,53,0.726,5,20,129
2019-09,74,30~130,良,28,55,0.747,7,27,122
2019-10,69,27~159,良,40,77,0.826,6,32,67
2019-11,104,39~190,轻度污染,71,104,0.843,9,41,55
2019-12,115,48~242,轻度污染,82,110,1.177,12,45,38
