month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,158,24~468,中度污染,125,140,1.373,48,71,49
2014-01,103,30~238,轻度污染,77,90,0.997,28,54,58
2014-02,74,27~240,良,52,59,0.796,17,36,73
2014-03,82,39~202,良,57,84,0.787,19,51,100
2014-04,77,50~187,良,53,67,0.727,15,47,108
2014-05,96,53~193,良,63,99,0.777,17,42,142
2014-06,72,37~182,良,44,58,0.72,12,35,118
2014-07,74,32~167,良,45,63,0.765,12,31,112
2014-08,67,30~150,良,38,52,0.768,13,34,112
2014-09,69,32~138,良,35,52,0.74,13,32,117
2014-10,77,52~137,良,40,68,0.781,16,42,119
2014-11,74,38~182,良,52,71,0.843,18,52,84
2014-12,99,39~190,良,72,113,1.09,36,68,47
2015-01,111,28~256,轻度污染,83,108,1.09,29,63,56
2015-02,90,34~222,良,64,85,0.946,20,46,81
2015-03,81,37~143,良,54,66,0.845,15,48,102
2015-04,88,44~166,良,56,81,0.79,16,53,122
2015-05,77,51~117,良,44,63,0.697,12,39,126
2015-06,80,43~188,良,43,57,0.697,11,35,129
2015-07,84,31~171,良,39,57,0.658,11,31,134
2015-08,86,28~181,良,40,58,0.735,13,28,135
2015-09,79,35~159,良,34,49,0.72,13,32,132
2015-10,82,47~133,良,47,73,0.816,17,49,127
2015-11,87,35~179,良,58,74,1.09,17,58,69
2015-12,117,53~266,轻度污染,82,104,1.197,25,67,52
2016-01,102,40~213,轻度污染,70,91,1.045,24,57,69
2016-02,80,42~178,良,54,78,0.855,19,43,97
2016-03,80,45~134,良,52,76,0.684,17,49,107
2016-04,90,53~159,良,56,81,0.737,14,50,126
2016-05,93,51~163,良,51,77,0.742,12,41,135
2016-06,79,43~139,良,40,54,0.703,10,36,122
2016-07,95,24~169,良,38,59,0.752,10,31,143
2016-08,59,26~135,良,19,36,0.665,11,23,104
2016-09,68,23~163,良,32,45,0.723,12,34,112
2016-10,51,29~72,良,22,37,0.632,12,33,87
2016-11,78,37~144,良,44,62,0.867,16,58,69
2016-12,94,38~185,良,58,77,1.058,19,65,64
2017-01,73,34~130,良,45,55,0.945,17,47,74
2017-02,77,38~154,良,50,57,0.868,14,49,93
2017-03,71,47~102,良,44,58,0.768,12,50,108
2017-04,91,53~139,良,45,70,0.83,12,51,133
2017-05,88,42~161,良,28,49,0.674,11,37,136
2017-06,83,46~160,良,38,42,0.7,9,35,130
2017-07,117,33~205,轻度污染,33,55,0.706,10,30,177
2017-08,97,25~193,良,31,47,0.781,8,32,151
2017-09,74,44~168,良,26,42,0.77,9,36,118
2017-10,58,36~88,良,24,42,0.732,9,34,101
2017-11,78,38~130,良,41,68,0.863,13,59,80
2017-12,97,48~225,良,54,75,1.061,15,69,39
2018-01,88,32~241,良,57,64,0.89,13,53,57
2018-02,70,36~163,良,44,60,0.725,12,43,83
2018-03,65,38~117,良,39,48,0.581,11,42,94
2018-04,78,0~160,良,38,70,0.593,12,43,121
2018-05,80,38~132,良,41,54,0.597,10,38,125
2018-06,80,38~184,良,32,38,0.53,9,29,133
2018-07,53,20~166,良,19,32,0.442,8,22,90
2018-08,52,27~125,良,15,28,0.468,6,19,93
2018-09,71,26~146,良,24,39,0.64,7,34,111
2018-10,67,43~124,良,25,46,0.545,8,41,110
2018-11,72,42~163,良,40,46,0.68,7,53,81
2018-12,66,36~135,良,36,50,0.671,8,50,54
2019-01,81,34~135,良,49,61,0.826,9,57,60
2019-02,65,36~160,良,41,51,0.721,6,36,76
2019-03,80,46~127,良,51,65,0.758,7,52,100
2019-04,71,43~123,良,40,51,0.697,6,45,106
2019-05,86,36~202,良,33,53,0.606,7,39,134
2019-06,72,36~177,良,29,31,0.537,5,28,121
2019-07,69,25~137,良,26,32,0.503,5,29,117
2019-08,70,23~181,良,24,34,0.603,6,27,113
2019-09,63,28~120,良,21,32,0.613,6,33,105
2019-10,67,20~131,良,31,56,0.626,8,43,98
2019-11,65,33~110,良,27,57,0.6,8,46,83
2019-12,81,34~148,良,50,52,0.806,9,63,61
2020-01,81,35~173,良,54,45,0.848,7,44,67
2020-02,55,30~104,良,33,35,0.617,6,29,87
2020-03,57,37~104,良,27,39,0.574,6,33,99
2020-04,76,45~130,良,33,54,0.597,7,41,127
2020-05,84,38~157,良,39,51,0.726,7,36,130
2020-06,68,30~130,良,30,31,0.697,6,33,110
2020-07,66,29~156,良,27,32,0.61,5,32,105
2020-08,59,27~115,良,20,35,0.5,6,23,103
2020-09,72,33~179,良,25,38,0.723,6,40,112
2020-10,58,37~102,良,19,38,0.59,7,37,97
2020-11,58,34~115,良,27,44,0.64,7,42,78
2020-12,81,34~206,良,47,53,0.781,7,55,57
2021-01,72,45~103,良,39,67,0.694,8,50,59
2021-02,53,34~98,良,29,42,0.586,6,32,83
2021-03,66,38~188,良,33,47,0.61,5,40,86
2021-04,63,42~96,良,31,48,0.577,5,36,99
2021-05,78,40~138,良,30,49,0.642,5,31,128
2021-06,57,29~143,良,22,28,0.543,5,28,99
2021-07,56,21~122,良,17,28,0.494,5,19,99
2021-08,58,24~102,良,17,28,0.539,5,22,103
2021-09,66,17~125,良,19,32,0.633,5,24,114
2021-10,52,29~115,良,17,34,0.552,5,30,87
2021-11,66,34~98,良,32,55,0.687,6,49,78
2021-12,79,32~133,良,43,59,0.874,7,60,60
2022-01,68,35~149,良,42,45,0.829,5,43,68
2022-02,53,36~107,良,30,43,0.6,5,29,87
2022-03,62,32~117,良,29,54,0.661,6,32,102
2022-04,77,36~134,良,23,38,0.717,7,18,130
2022-05,77,39~137,良,21,30,0.732,6,17,130
2022-06,71,30~145,良,20,30,0.54,4,19,123
2022-07,82,21~150,良,22,34,0.59,4,20,134
2022-08,84,38~131,良,18,33,0.655,5,20,139
2022-09,56,21~141,良,16,32,0.597,5,22,101
2022-10,47,30~85,优,15,33,0.61,6,26,89
2022-11,50,27~89,优,25,38,0.72,6,35,73
2022-12,65,31~105,良,33,58,0.823,8,45,57
2023-01,62,28~130,良,37,58,0.755,8,36,75
2023-02,50,35~113,良,27,41,0.668,6,32,80
2023-03,66,38~102,良,32,65,0.668,7,37,100
2023-04,81,45~188,良,33,83,0.663,7,29,114
2023-05,78,38~165,良,28,50,0.584,7,27,129
2023-06,79,28~146,良,26,34,0.623,7,25,131
2023-07,64,18~136,良,18,29,0.558,6,20,107
2023-08,62,24~163,良,17,30,0.603,7,18,107
2023-09,58,25~112,良,19,29,0.67,7,25,101
2023-10,64,41~116,良,24,41,0.655,7,34,115
2023-11,64,34~115,良,33,61,0.743,8,42,83
2023-12,77,30~202,良,49,75,0.884,8,53,34
2024-01,85,33~165,良,57,81,0.926,8,53,63
2024-02,63,27~214,良,40,53,0.766,7,26,80
2024-03,69,44~102,良,37,64,0.7,7,41,97
2024-04,59,38~110,良,27,43,0.63,7,31,103
2024-05,69,41~106,良,21,36,0.561,7,23,121
2024-06,65,32~142,良,20,24,0.597,7,24,111
2024-07,71,26~119,良,19,31,0.542,7,20,120
2024-08,79,36~165,良,19,30,0.616,7,18,133
2024-09,46,20~114,优,14,25,0.57,7,18,83
2024-10,53,32~100,良,20,31,0.645,7,27,95
2024-11,51,35~85,良,23,39,0.6,8,31,81
2024-12,70,35~137,良,44,65,0.768,9,48,66
2025-01,68,32~149,良,41,67,0.723,8,45,79
2025-02,61,37~134,良,39,55,0.729,7,32,84
2025-03,63,33~135,良,28,48,0.623,7,36,107
2025-04,93,55~127,良,40,63,0.667,8,37,151
