month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,111,20~185,轻度污染,84,103,1.28,39,63,100
2014-01,114,51~201,轻度污染,85,104,1.248,29,63,127
2014-02,66,18~195,良,45,51,1.054,20,40,79
2014-03,74,29~153,良,51,66,1.071,29,52,77
2014-04,71,45~126,良,42,57,0.943,25,48,108
2014-05,53,25~174,良,27,39,0.774,18,39,86
2014-06,71,29~145,良,28,43,0.72,13,38,116
2014-07,95,29~205,良,30,46,0.732,19,33,148
2014-08,95,27~205,良,26,38,0.735,20,28,150
2014-09,98,27~203,良,33,47,0.82,19,31,153
2014-10,101,58~145,轻度污染,56,79,0.861,21,36,156
2014-11,78,30~198,良,48,71,1.033,19,44,110
2014-12,78,30~141,良,57,77,1.087,23,49,85
2015-01,84,24~153,良,61,84,1.039,21,53,106
2015-02,74,28~148,良,52,68,0.964,13,35,97
2015-03,51,20~94,良,33,46,0.932,12,38,66
2015-04,82,24~188,良,34,52,0.808,13,35,127
2015-05,47,23~120,优,22,34,0.803,8,30,84
2015-06,48,26~93,优,16,26,0.67,8,21,89
2015-07,67,28~167,良,23,35,0.639,9,24,113
2015-08,90,39~201,良,32,47,0.742,12,32,138
2015-09,97,38~183,良,38,54,0.73,13,30,147
2015-10,79,22~144,良,46,66,0.819,17,34,127
2015-11,64,24~107,良,42,61,0.873,17,35,92
2015-12,57,26~122,良,38,53,0.99,16,37,59
2016-01,55,29~110,良,35,48,0.958,14,36,51
2016-02,50,21~95,良,34,45,0.779,7,24,67
2016-03,72,24~168,良,47,65,0.81,11,48,76
2016-04,57,30~88,良,35,49,0.807,9,39,67
2016-05,65,30~183,良,30,46,0.677,8,26,109
2016-06,64,32~139,良,21,36,0.683,8,30,106
2016-07,72,22~169,良,24,40,0.581,9,26,116
2016-08,86,25~180,良,34,52,0.719,12,31,134
2016-09,73,32~201,良,35,52,0.743,15,34,112
2016-10,54,35~111,良,32,46,0.826,14,30,87
2016-11,66,27~162,良,40,59,1.03,15,38,92
2016-12,76,30~107,良,54,76,1.155,16,52,90
2017-01,75,40~134,良,53,69,1.132,13,43,89
2017-02,72,36~158,良,42,54,1,12,44,110
2017-03,68,45~114,良,38,59,1.042,11,52,73
2017-04,75,33~196,良,39,53,0.91,11,44,100
2017-05,89,38~197,良,39,52,0.906,13,39,131
2017-06,52,33~111,良,19,32,0.833,9,33,82
2017-07,58,23~142,良,23,35,0.861,11,34,93
2017-08,78,22~174,良,23,35,0.845,11,33,125
2017-09,95,36~207,良,34,47,0.923,12,38,145
2017-10,70,31~141,良,36,48,0.942,12,31,120
2017-11,66,35~110,良,44,55,1.087,12,42,82
2017-12,79,28~159,良,55,73,1.174,18,53,56
2018-01,81,30~170,良,57,66,0.994,13,55,78
2018-02,61,25~127,良,42,48,0.836,9,30,85
2018-03,75,28~148,良,39,51,0.839,11,44,114
2018-04,69,27~150,良,38,56,0.763,10,39,99
2018-05,65,30~128,良,22,33,0.548,7,25,112
2018-06,59,27~111,良,21,32,0.603,7,27,95
2018-07,50,24~168,良,18,30,0.545,7,25,88
2018-08,63,30~134,良,24,35,0.723,7,33,105
2018-09,68,27~149,良,28,41,0.607,8,32,114
2018-10,75,38~138,良,38,53,0.777,10,38,116
2018-11,64,32~102,良,43,56,0.843,11,42,87
2018-12,53,28~97,良,34,46,0.852,9,38,60
2019-01,70,36~137,良,51,66,1.161,10,47,75
