month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,157,56~345,中度污染,121,194,1.497,132,73,42
2014-01,162,44~347,中度污染,124,204,1.716,117,62,48
2014-02,113,36~260,轻度污染,81,130,1.268,80,39,81
2014-03,145,67~267,轻度污染,102,207,1.452,90,64,112
2014-04,112,60~188,轻度污染,66,159,1.073,69,47,147
2014-05,127,67~203,轻度污染,64,171,1.032,72,40,174
2014-06,118,60~176,轻度污染,55,110,0.973,46,27,173
2014-07,135,60~202,轻度污染,64,129,1.197,58,34,196
2014-08,129,40~201,轻度污染,61,117,1.277,57,37,189
2014-09,99,41~177,良,55,109,1.167,54,39,143
2014-10,94,43~208,良,64,122,1.284,52,49,113
2014-11,136,42~267,轻度污染,100,159,1.6,72,64,63
2014-12,128,47~321,轻度污染,93,152,1.535,96,59,42
2015-01,122,41~272,轻度污染,91,136,1.587,86,54,47
2015-02,110,37~200,轻度污染,78,130,1.425,69,41,67
2015-03,133,49~446,轻度污染,84,184,1.21,69,48,94
2015-04,109,52~163,轻度污染,72,144,0.95,49,35,132
2015-05,104,50~198,轻度污染,62,127,0.877,49,31,153
2015-06,121,63~192,轻度污染,57,111,0.897,47,27,180
2015-07,104,53~182,轻度污染,62,107,0.868,41,22,159
2015-08,107,56~170,轻度污染,59,100,0.948,41,26,164
2015-09,93,48~202,良,49,94,0.933,32,32,145
2015-10,124,47~229,轻度污染,89,157,1.3,44,53,114
2015-11,120,29~343,轻度污染,91,126,1.443,39,42,57
2015-12,196,38~408,中度污染,157,211,1.919,75,67,37
2016-01,124,41~292,轻度污染,92,135,1.361,65,52,47
2016-02,88,36~168,良,62,104,1.052,60,42,74
2016-03,113,51~208,轻度污染,74,157,1.1,57,51,113
2016-04,119,56~368,轻度污染,66,169,0.91,50,39,143
2016-05,106,55~201,轻度污染,53,115,0.913,46,37,157
2016-06,118,75~198,轻度污染,47,92,1.053,45,29,178
2016-07,93,49~175,良,43,82,1.01,34,21,147
2016-08,80,37~167,良,32,69,1.01,27,25,126
2016-09,95,44~190,良,52,102,1.093,34,32,149
2016-10,89,43~206,良,59,109,1.11,35,39,105
2016-11,114,36~207,轻度污染,83,146,1.45,53,54,64
2016-12,142,40~258,轻度污染,107,164,1.948,67,55,48
2017-01,128,37~335,轻度污染,96,149,1.887,55,48,58
2017-02,117,41~240,轻度污染,84,128,1.307,57,43,81
2017-03,96,52~192,良,67,121,1.248,56,40,108
2017-04,97,60~152,良,59,130,1.187,51,33,139
2017-05,130,62~215,轻度污染,35,77,0.961,51,27,175
2017-06,128,65~203,轻度污染,46,96,0.947,30,28,188
2017-07,96,50~178,良,39,79,0.99,20,22,150
2017-08,74,37~151,良,30,60,0.781,15,21,127
2017-09,97,36~161,良,43,96,0.93,22,36,150
2017-10,86,29~180,良,55,102,1.103,25,45,97
2017-11,88,43~170,良,52,120,1.03,32,50,65
2017-12,108,35~245,轻度污染,71,134,1.261,43,52,31
2018-01,106,36~278,轻度污染,73,135,1.158,33,43,46
2018-02,88,0~169,良,58,105,0.911,30,30,73
2018-03,95,45~199,良,63,119,0.848,23,35,112
2018-04,93,0~167,良,45,118,0.66,21,29,135
2018-05,91,0~161,良,34,81,0.694,19,26,153
2018-06,118,58~185,轻度污染,34,75,0.68,18,23,179
2018-07,81,28~153,良,26,50,0.416,10,15,135
2018-08,81,25~140,良,21,44,0.419,8,15,133
2018-09,84,41~131,良,29,63,0.527,12,33,137
2018-10,79,37~135,良,41,91,0.639,17,48,113
2018-11,91,0~211,良,64,107,0.86,17,52,77
2018-12,84,0~172,良,55,102,0.803,20,48,51
2019-01,122,54~278,轻度污染,89,140,1.161,26,53,51
2019-02,104,36~192,轻度污染,75,114,0.904,19,35,82
2019-03,92,45~205,良,59,110,0.719,19,44,110
2019-04,88,46~249,良,39,101,0.563,14,30,125
2019-05,110,49~201,轻度污染,37,100,0.542,18,33,164
2019-06,124,49~202,轻度污染,34,72,0.58,11,21,184
2019-07,116,44~191,轻度污染,34,60,0.69,11,22,175
2019-08,78,20~140,良,20,41,0.548,10,21,130
2019-09,103,39~191,轻度污染,33,72,0.66,12,31,158
2019-10,86,34~181,良,46,95,0.674,12,42,108
2019-11,75,31~200,良,43,95,0.637,14,43,64
2019-12,104,32~269,轻度污染,75,112,1.09,19,51,44
2020-01,115,38~271,轻度污染,86,117,1.081,18,42,65
2020-02,78,34~192,良,54,74,0.69,11,17,80
2020-03,79,39~186,良,46,94,0.597,14,30,98
2020-04,82,48~165,良,40,92,0.533,18,36,123
2020-05,92,45~166,良,30,74,0.532,13,23,145
2020-06,108,50~183,轻度污染,32,75,0.57,13,23,167
2020-07,105,43~175,轻度污染,35,55,0.629,11,18,164
2020-08,79,20~150,良,25,39,0.61,10,15,130
2020-09,81,38~167,良,27,50,0.513,12,29,134
2020-10,76,40~132,良,45,90,0.687,22,50,97
2020-11,79,28~188,良,51,93,0.723,16,43,67
2020-12,108,35~259,轻度污染,77,113,1.052,23,50,50
2021-01,97,33~176,良,52,82,1.035,20,44,55
2021-02,78,38~182,良,50,81,0.832,19,27,83
2021-03,131,40~500,轻度污染,45,67,0.758,17,34,102
2021-04,78,43~320,良,27,59,0.603,13,27,112
2021-05,91,44~220,良,22,49,0.516,12,20,131
2021-06,96,39~192,良,24,48,0.573,10,17,153
2021-07,81,32~143,良,19,34,0.539,8,12,135
2021-08,85,52~132,良,22,38,0.584,10,14,141
2021-09,76,37~142,良,18,34,0.577,9,16,128
2021-10,70,35~158,良,37,65,0.639,13,33,101
2021-11,72,30~165,良,45,83,0.82,16,39,70
2021-12,79,31~200,良,50,88,0.894,23,46,51
2022-01,72,32~159,良,49,73,0.965,17,36,62
2022-02,62,40~122,良,38,61,0.807,15,29,89
2022-03,70,43~142,良,30,54,0.748,15,27,105
2022-04,85,45~134,良,34,71,0.677,19,24,139
2022-05,96,47~166,良,28,62,0.552,20,22,152
2022-06,106,49~203,轻度污染,23,45,0.623,10,15,165
2022-07,84,29~157,良,21,33,0.684,7,12,137
2022-08,79,40~127,良,19,32,0.626,7,14,133
2022-09,103,41~194,轻度污染,25,56,0.663,12,26,160
2022-10,63,35~138,良,31,62,0.742,14,36,102
2022-11,70,30~147,良,42,73,0.833,12,38,76
2022-12,88,33~214,良,52,104,0.855,20,44,57
2023-01,93,35~248,良,60,111,0.939,16,35,66
2023-02,82,40~172,良,54,88,0.871,15,35,82
2023-03,117,54~494,轻度污染,52,149,0.655,13,34,123
