month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,137,137~137,轻度污染,104,160,1.2,54,35,56
2015-01,110,47~252,轻度污染,76,126,0.753,58,24,53
2015-02,105,54~205,轻度污染,61,137,0.644,34,14,64
2015-03,104,49~421,轻度污染,51,147,0.829,31,16,72
2015-04,95,47~294,良,44,136,1.433,12,14,71
2015-05,85,51~214,良,44,109,1.329,10,12,93
2015-06,88,53~177,良,35,101,0.673,10,13,118
2015-07,87,70~131,良,28,65,1.052,12,16,141
2015-08,84,54~122,良,31,67,0.955,13,17,137
2015-09,68,47~125,良,31,61,0.673,8,18,109
2015-10,79,40~240,良,48,100,0.645,22,25,97
2015-11,89,31~142,良,59,102,0.973,67,31,60
2015-12,94,32~212,良,63,93,1.123,71,30,62
2016-01,91,52~185,良,57,89,0.839,84,25,58
2016-02,113,34~464,轻度污染,57,145,0.662,54,17,59
2016-03,98,46~373,良,57,127,0.635,49,20,74
2016-04,76,53~165,良,39,96,0.557,17,18,92
2016-05,95,60~200,良,37,97,0.671,8,14,138
2016-06,82,55~130,良,33,76,0.537,14,17,128
2016-07,78,49~112,良,25,61,0.616,8,16,129
2016-08,76,36~192,良,28,61,0.629,7,14,125
2016-09,72,48~115,良,34,64,0.65,12,23,117
2016-10,78,37~417,良,39,97,0.787,16,23,79
2016-11,120,48~500,轻度污染,66,175,1.063,41,30,52
2016-12,100,57~218,良,68,122,1.377,55,35,45
2017-01,101,32~500,轻度污染,48,92,1.19,57,27,46
2017-02,94,35~167,良,29,54,1.061,51,27,75
2017-03,73,46~162,良,35,64,0.79,35,23,100
2017-04,105,58~500,轻度污染,20,48,0.6,15,19,142
2017-05,136,60~500,轻度污染,23,56,0.684,13,19,130
2017-06,94,71~130,良,27,80,0.713,13,21,146
2017-07,96,65~155,良,24,75,0.69,11,19,149
2017-08,80,34~136,良,19,57,0.745,11,24,132
2017-09,72,50~117,良,28,85,0.753,13,31,104
2017-10,71,31~112,良,33,75,0.887,17,33,80
2017-11,80,42~116,良,36,95,0.963,28,36,70
2017-12,130,28~1090,轻度污染,33,67,1.084,26,35,44
2018-01,62,0~97,良,33,73,0.835,23,26,64
2018-02,50,0~87,良,28,56,0.836,21,23,86
2018-03,38,0~106,优,17,50,0.703,20,25,104
2018-04,46,0~95,优,20,55,0.557,14,21,110
2018-05,34,0~101,优,9,27,0.574,12,18,123
2018-06,82,0~117,良,17,49,0.677,13,20,143
2018-07,50,0~85,良,13,31,0.703,8,14,112
2018-08,55,0~79,良,17,32,0.784,8,14,109
2018-09,47,0~75,优,19,39,0.723,12,21,97
2018-10,55,0~102,良,32,59,0.8,17,28,91
2018-11,42,0~97,优,24,49,0.663,18,32,67
2018-12,62,0~104,良,36,74,0.726,21,30,59
2019-01,73,32~139,良,46,81,0.955,18,30,62
2019-02,85,52~152,良,47,111,0.821,17,24,86
2019-03,77,49~199,良,38,97,0.681,15,29,99
2019-04,108,52~462,轻度污染,45,136,0.477,11,22,117
2019-05,117,49~500,轻度污染,48,137,0.51,10,17,120
2019-06,77,44~119,良,23,51,0.617,9,20,129
2019-07,85,57~148,良,21,59,0.613,10,22,137
2019-08,73,42~100,良,18,45,0.713,13,24,127
2019-09,65,47~180,良,21,53,0.677,11,25,111
2019-10,62,35~156,良,28,74,0.7,13,30,78
2019-11,65,39~153,良,33,77,0.62,16,32,73
2019-12,63,38~107,良,36,71,0.755,22,38,64
2020-01,83,42~143,良,59,81,0.913,15,32,78
2020-02,83,40~163,良,44,108,0.717,13,23,89
2020-03,89,52~500,良,38,122,0.513,12,22,100
2020-04,78,59~171,良,33,93,0.48,13,26,118
2020-05,101,48~500,轻度污染,39,129,0.352,11,19,118
2020-06,82,54~167,良,25,71,0.403,12,23,131
2020-07,71,42~94,良,19,50,0.465,9,20,122
2020-08,65,32~128,良,18,51,0.419,10,18,111
2020-09,54,30~91,良,18,47,0.517,11,25,95
2020-10,64,40~143,良,30,78,0.452,14,27,85
2020-11,83,34~147,良,54,95,0.61,19,35,71
2020-12,77,31~172,良,50,82,0.632,14,32,65
2021-01,96,35~228,良,23,49,0.494,11,28,71
2021-02,86,45~368,良,32,74,0.464,14,24,89
2021-03,202,43~500,重度污染,19,44,0.497,10,29,91
2021-04,125,0~500,轻度污染,21,47,0.373,10,22,106
2021-05,114,57~500,轻度污染,18,49,0.294,13,23,118
2021-06,100,47~456,良,18,47,0.277,12,22,130
2021-07,83,54~116,良,18,50,0.352,10,22,137
2021-08,74,43~96,良,18,46,0.455,11,22,125
2021-09,60,33~79,良,19,53,0.42,9,25,105
2021-10,57,30~103,良,26,66,0.368,11,28,81
2021-11,79,40~337,良,35,102,0.35,10,30,69
2021-12,60,37~118,良,31,69,0.435,12,32,62
2022-01,94,45~201,良,65,103,0.787,12,37,66
2022-02,64,40~122,良,36,72,0.464,12,25,82
2022-03,112,50~255,轻度污染,50,168,0.403,11,25,99
2022-04,105,43~420,轻度污染,49,144,0.28,9,20,110
2022-05,89,43~196,良,31,90,0.342,9,22,130
2022-06,83,57~118,良,26,72,0.273,8,18,130
2022-07,86,44~174,良,23,70,0.361,6,16,133
2022-08,66,41~110,良,19,47,0.377,6,13,117
2022-09,64,43~97,良,19,50,0.3,6,17,113
2022-10,63,26~98,良,30,77,0.448,8,18,89
2022-11,82,53~152,良,41,111,0.47,10,29,68
2022-12,107,41~395,轻度污染,46,152,0.397,11,30,66
2023-01,134,50~500,轻度污染,54,192,0.432,10,26,69
2023-02,82,57~129,良,49,101,0.507,12,30,83
2023-03,113,55~500,轻度污染,48,164,0.39,11,25,97
2023-04,161,36~500,中度污染,82,265,0.31,7,18,100
2023-05,81,39~182,良,39,99,0.323,8,17,116
2023-06,92,55~182,良,29,84,0.357,10,18,140
2023-07,86,57~196,良,26,73,0.358,8,16,132
2023-08,94,48~478,良,25,69,0.394,9,17,133
2023-09,72,37~338,良,25,71,0.4,9,20,112
2023-10,56,40~75,良,25,57,0.429,11,31,91
2023-11,86,38~500,良,35,110,0.42,13,31,70
2023-12,96,51~433,良,44,127,0.626,12,32,35
2024-01,87,38~175,良,54,111,0.69,15,38,61
2024-02,123,52~500,轻度污染,68,160,0.593,8,22,77
2024-03,107,50~500,轻度污染,47,164,0.477,8,25,100
2024-04,152,57~500,中度污染,68,226,0.34,7,20,112
2024-05,95,37~288,良,39,105,0.374,8,17,133
2024-06,86,60~140,良,24,68,0.357,7,18,137
2024-07,93,60~178,良,31,84,0.377,5,18,140
2024-08,91,47~500,良,23,68,0.494,6,15,127
2024-09,59,25~138,良,23,60,0.563,7,16,93
2024-10,56,40~78,良,27,60,0.474,9,29,86
2024-11,65,32~126,良,32,77,0.45,10,29,74
2024-12,62,36~133,良,35,68,0.481,11,30,64
2025-01,104,36~500,轻度污染,45,136,0.59,13,27,74
2025-02,73,43~138,良,35,92,0.5,11,22,84
2025-03,145,43~500,轻度污染,55,191,0.406,9,20,96
2025-04,165,55~500,中度污染,83,294,0.363,9,17,108
