month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,114,19~178,轻度污染,86,114,1.423,42,63,66
2014-01,95,52~172,良,70,101,1.277,35,54,99
2014-02,58,19~152,良,40,55,1.264,25,35,62
2014-03,63,28~119,良,44,65,1.455,23,38,59
2014-04,62,34~143,良,35,48,1.29,14,31,93
2014-05,35,17~79,优,19,27,0.9,8,18,57
2014-06,54,23~195,良,23,36,0.763,8,15,92
2014-07,54,17~144,良,21,32,0.765,11,16,94
2014-08,39,14~109,优,14,24,0.871,13,13,73
2014-09,70,22~152,良,29,43,1.073,17,21,116
2014-10,87,43~127,良,52,77,1.323,21,33,132
2014-11,67,34~102,良,47,72,1.093,23,33,58
2014-12,83,20~130,良,61,90,1.323,22,38,50
2015-01,72,25~134,良,52,80,1.51,18,41,63
2015-02,74,17~149,良,54,73,1.325,13,37,61
2015-03,48,23~76,优,32,50,1.074,12,32,43
2015-04,54,21~111,良,28,44,0.873,11,23,85
2015-05,33,16~115,优,15,24,0.897,9,16,60
2015-06,26,19~40,优,10,20,0.727,9,11,51
2015-07,49,21~125,优,19,32,0.852,6,18,87
2015-08,61,22~171,良,26,39,0.958,9,22,99
2015-09,68,27~162,良,31,44,0.923,10,22,109
2015-10,75,23~148,良,46,64,0.984,15,37,113
2015-11,62,28~115,良,42,59,1.143,11,40,76
2015-12,60,38~124,良,37,60,1.468,14,41,40
2016-01,55,29~87,良,33,53,1.223,13,41,38
2016-02,51,23~94,良,28,49,1.041,10,34,54
2016-03,68,37~124,良,36,57,1.032,12,51,61
2016-04,49,27~120,优,30,40,1.097,8,25,65
2016-05,53,23~155,良,24,35,0.858,8,20,91
2016-06,34,25~52,优,12,23,0.687,7,16,65
2016-07,52,20~146,良,16,29,0.748,8,19,89
2016-08,80,27~163,良,26,39,0.897,8,26,127
2016-09,80,25~156,良,29,43,0.86,12,31,122
2016-10,60,24~110,良,30,44,0.858,15,31,96
