month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,233,233~233,重度污染,183,292,3.2,129,125,57
2015-01,218,99~374,重度污染,173,262,3.129,132,123,65
2015-02,142,65~277,轻度污染,99,178,2.118,109,87,74
2015-03,111,51~479,轻度污染,59,159,1.34,56,58,97
2015-04,78,53~126,良,36,91,0.953,21,64,122
2015-05,81,59~145,良,48,102,0.729,12,60,114
2015-06,75,54~101,良,36,66,0.837,11,54,123
2015-07,71,47~90,良,18,46,0.784,7,24,123
2015-08,60,47~72,良,19,46,0.765,9,28,109
2015-09,51,38~67,良,24,41,0.843,9,26,89
2015-10,50,35~74,良,16,34,0.884,13,30,92
2015-11,57,33~80,良,30,56,1.257,26,42,72
2015-12,62,38~98,良,34,62,2.026,32,45,77
2016-01,68,32~97,良,46,77,1.939,30,37,72
2016-02,78,24~167,良,44,102,1.659,24,33,69
2016-03,82,48~255,良,35,95,1.355,19,39,114
2016-04,71,55~112,良,31,70,1.143,20,26,121
2016-05,89,52~168,良,48,113,0.961,18,30,121
2016-06,75,51~97,良,32,61,0.94,14,30,127
2016-07,65,40~115,良,26,47,1.006,12,21,114
2016-08,53,37~74,良,32,53,1.271,14,25,85
2016-09,55,44~68,良,24,55,1.137,15,34,91
2016-10,69,40~105,良,38,76,1.532,16,40,74
2016-11,96,56~163,良,64,123,1.96,39,63,72
2016-12,107,61~216,轻度污染,66,132,2.506,46,83,71
2017-01,169,63~500,中度污染,84,131,2.377,53,51,81
2017-02,107,57~207,轻度污染,80,121,1.75,47,44,101
2017-03,75,52~118,良,45,64,1.1,36,32,124
2017-04,77,34~285,良,35,49,0.807,24,21,119
2017-05,68,40~129,良,30,50,0.752,16,16,115
2017-06,68,36~103,良,21,42,0.7,18,15,119
2017-07,77,32~101,良,17,37,0.668,17,13,131
2017-08,58,34~91,良,15,31,0.755,17,14,106
2017-09,47,34~60,优,17,39,0.807,17,18,90
2017-10,54,30~104,良,28,59,0.932,17,21,79
2017-11,88,71~109,良,55,120,1.687,37,40,69
2017-12,152,59~677,中度污染,85,172,2.723,42,45,36
2018-01,65,36~89,良,41,79,1.861,33,32,64
2018-02,64,0~104,良,39,80,1.429,33,27,80
2018-03,36,0~68,优,22,37,0.758,18,23,92
2018-04,41,0~75,优,19,41,0.62,16,18,102
2018-05,56,0~87,良,20,42,0.506,15,14,121
2018-06,71,45~92,良,26,46,0.563,13,11,124
2018-07,53,0~75,良,25,38,0.655,12,10,104
2018-08,52,32~77,良,29,41,0.674,12,10,96
2018-09,52,34~68,良,27,53,0.793,14,12,92
2018-10,66,0~109,良,44,78,1.006,21,19,89
2018-11,51,0~104,良,35,56,1.293,30,27,71
2018-12,76,0~196,良,56,82,1.216,30,24,56
2019-01,77,38~192,良,52,91,1.642,34,31,74
2019-02,60,41~122,良,30,72,1.129,20,21,83
2019-03,69,43~121,良,33,77,0.906,14,25,108
2019-04,70,45~113,良,29,64,0.6,12,20,116
2019-05,94,43~500,良,42,111,0.532,10,15,113
2019-06,58,38~80,良,14,34,0.477,10,13,109
2019-07,62,42~93,良,15,39,0.39,7,14,112
2019-08,57,34~94,良,16,35,0.519,6,13,105
2019-09,48,30~65,优,15,34,0.52,6,16,93
2019-10,48,26~79,优,25,51,0.79,8,22,72
2019-11,64,33~132,良,38,77,1.06,13,31,77
2019-12,80,54~144,良,56,98,1.448,17,35,70
2020-01,104,53~189,轻度污染,75,116,1.51,18,31,83
2020-02,71,39~151,良,36,87,1.176,13,19,97
2020-03,74,49~121,良,35,94,0.752,12,24,108
2020-04,80,53~140,良,32,85,0.537,11,22,121
2020-05,75,46~111,良,17,38,0.413,8,20,128
2020-06,71,42~106,良,12,25,0.427,7,19,124
2020-07,66,37~85,良,10,21,0.448,7,18,118
2020-08,62,36~101,良,12,25,0.51,7,17,112
2020-09,50,29~74,优,10,27,0.483,6,22,93
2020-10,51,30~87,良,22,48,0.597,7,29,76
2020-11,64,26~107,良,28,78,1.107,8,38,63
2020-12,85,43~149,良,57,97,1.3,9,33,62
2021-01,73,32~143,良,37,79,1.413,11,31,62
2021-02,51,36~60,良,19,52,1.107,12,26,81
2021-03,161,47~500,中度污染,12,29,0.842,9,32,82
2021-04,72,32~329,良,29,61,0.477,5,24,84
2021-05,69,43~100,良,20,49,0.416,5,29,110
2021-06,67,38~85,良,22,49,0.363,4,20,116
2021-07,80,42~110,良,16,38,0.226,4,19,136
2021-08,72,42~111,良,21,44,0.297,5,15,124
2021-09,60,38~82,良,21,44,0.337,6,21,108
2021-10,44,32~67,优,21,37,0.506,7,26,81
2021-11,51,30~73,良,21,49,1.013,12,37,75
2021-12,68,35~158,良,43,76,1.413,11,41,61
2022-01,86,43~178,良,60,104,1.494,11,40,80
2022-02,68,39~135,良,39,72,0.914,10,23,101
2022-03,87,42~191,良,41,124,0.594,8,29,102
2022-04,78,34~173,良,27,88,0.353,6,23,111
2022-05,73,36~134,良,25,59,0.381,6,23,124
2022-06,82,48~112,良,23,46,0.373,6,16,138
2022-07,74,39~102,良,26,51,0.403,7,12,126
2022-08,52,31~79,良,24,36,0.513,7,9,98
2022-09,57,38~90,良,17,35,0.497,8,14,105
2022-10,48,30~61,优,20,44,0.639,9,22,88
2022-11,49,35~105,优,18,48,0.937,12,29,77
2022-12,68,33~152,良,31,84,1.287,16,35,74
2023-01,129,77~275,轻度污染,90,164,1.352,15,29,76
2023-02,87,44~178,良,63,95,1.096,12,24,85
2023-03,97,42~500,良,46,142,0.606,9,18,92
2023-04,107,38~500,轻度污染,43,140,0.547,6,14,96
2023-05,68,30~155,良,21,47,0.671,7,15,114
2023-06,71,43~89,良,19,32,0.503,7,15,124
2023-07,77,42~100,良,15,29,0.468,7,15,131
2023-08,68,44~89,良,16,34,0.39,7,14,119
2023-09,58,38~85,良,14,31,0.45,6,13,106
2023-10,47,38~60,优,15,37,0.661,6,21,89
2023-11,55,33~97,良,29,61,1.017,10,34,74
2023-12,74,38~127,良,44,91,1.474,16,35,36
2024-01,68,51~104,良,38,84,1.532,19,30,71
2024-02,89,39~364,良,33,122,0.941,15,16,73
2024-03,91,49~370,良,43,125,0.661,5,18,98
2024-04,74,42~196,良,36,92,0.427,5,16,103
2024-05,76,44~111,良,31,71,0.387,7,15,126
2024-06,75,46~92,良,22,29,0.357,6,10,129
2024-07,84,41~443,良,30,69,0.374,9,9,115
2024-08,65,44~92,良,20,39,0.384,7,9,116
2024-09,45,34~67,优,18,34,0.427,8,11,85
2024-10,47,37~59,优,21,45,0.632,5,22,82
2024-11,52,35~63,良,19,55,0.877,7,26,69
2024-12,75,44~147,良,40,85,1.381,12,31,69
2025-01,82,61~101,良,50,109,1.41,15,26,76
2025-02,67,48~106,良,24,84,0.964,10,18,84
2025-03,79,46~500,良,34,115,0.665,8,18,98
2025-04,113,83~144,轻度污染,62,176,0.556,9,21,105
