month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,198,198~198,中度污染,148,121,1,25,41,94
2014-01,157,59~486,中度污染,124,170,1.235,23,37,85
2014-02,94,36~253,良,68,93,1.136,11,31,76
2014-03,95,47~212,良,67,121,0.79,16,35,92
2014-04,93,42~152,良,66,120,0.8,12,37,94
2014-05,93,58~153,良,63,124,0.781,14,31,105
2014-06,85,44~146,良,58,101,0.793,10,24,104
2014-07,68,38~107,良,39,78,0.7,9,22,99
2014-08,60,29~109,良,39,65,0.871,11,19,96
2014-09,82,35~180,良,45,71,0.883,12,21,118
2014-10,115,44~185,轻度污染,56,98,0.884,16,22,165
2014-11,89,36~166,良,64,113,1.08,21,40,79
2014-12,94,60~119,良,66,121,0.894,28,56,110
2015-01,120,57~256,轻度污染,87,134,1.139,22,47,128
2015-02,89,27~187,良,65,102,0.925,12,22,57
2015-03,73,36~121,良,48,89,0.848,12,23,39
2015-04,71,28~118,良,45,91,0.79,13,23,55
2015-05,89,43~171,良,54,110,0.826,12,25,103
2015-06,69,47~113,良,33,76,0.793,8,24,108
2015-07,65,28~135,良,31,69,0.689,8,20,106
2015-08,75,42~124,良,35,76,0.707,10,22,125
2015-09,82,45~130,良,40,76,0.8,10,27,136
2015-10,80,51~117,良,48,100,0.819,13,33,124
2015-11,64,33~99,良,38,71,1.04,12,41,81
2015-12,101,60~222,轻度污染,71,128,1.2,15,52,92
2016-01,93,51~189,良,63,108,1.081,12,53,88
2016-02,82,44~158,良,55,102,0.69,9,37,93
2016-03,96,48~224,良,65,133,0.832,10,47,103
2016-04,79,51~175,良,46,93,0.76,6,36,100
2016-05,68,44~96,良,38,78,0.787,5,28,100
2016-06,60,30~99,良,31,66,0.7,5,27,86
2016-07,47,31~82,优,25,49,0.603,6,20,58
2016-08,51,40~69,良,28,49,0.661,4,23,85
2016-09,66,21~280,良,34,60,0.66,52,17,93
2016-10,134,29~287,轻度污染,35,67,0.771,484,16,64
2016-11,67,20~124,良,45,79,0.893,7,24,39
2016-12,85,36~142,良,60,101,0.948,13,32,45
2017-01,86,40~195,良,60,93,0.971,8,32,57
2017-02,77,26~124,良,55,86,0.839,11,24,50
2017-03,71,28~133,良,47,85,0.655,13,29,49
2017-04,70,34~133,良,45,87,0.803,16,25,68
2017-05,65,37~108,良,40,79,0.729,15,25,76
2017-06,52,25~92,良,30,56,0.65,14,22,58
2017-07,51,26~132,良,22,43,0.613,11,14,77
2017-08,48,30~82,优,20,38,0.635,12,17,90
2017-09,69,28~115,良,33,58,0.7,10,20,107
2017-10,62,33~109,良,35,67,0.69,10,23,93
2017-11,77,32~124,良,49,94,0.79,10,35,82
2017-12,88,55~160,良,61,111,1.003,11,42,38
2018-01,89,43~182,良,62,94,0.997,13,45,64
2018-02,74,32~149,良,49,87,0.836,10,21,84
2018-03,66,32~115,良,38,71,0.742,10,26,107
2018-04,88,42~145,良,42,87,0.733,12,25,131
2018-05,69,32~122,良,34,57,0.758,8,23,114
2018-06,71,33~129,良,31,47,0.633,6,21,120
2018-07,55,28~111,良,20,35,0.548,6,16,100
2018-08,51,20~104,良,22,38,0.606,5,18,91
2018-09,54,0~100,良,25,46,0.643,6,22,91
2018-10,67,44~97,良,35,77,0.752,7,36,91
2018-11,63,28~96,良,36,75,0.85,6,39,48
2018-12,55,0~79,良,35,69,0.881,2,17,15
2019-01,79,0~159,良,56,91,1.303,3,21,16
2019-02,59,25~179,良,40,63,1.2,3,14,29
2019-03,68,44~107,良,39,83,0.803,5,32,77
2019-04,67,30~117,良,38,75,0.827,7,33,100
2019-05,80,35~140,良,30,47,0.661,8,26,130
2019-06,49,18~84,优,28,38,0.66,3,16,81
2019-07,35,19~59,优,18,25,0.548,2,11,63
2019-08,44,14~74,优,23,44,0.623,2,17,71
2019-09,52,23~71,良,27,51,0.767,3,20,89
2019-10,63,22~126,良,35,77,0.874,2,31,57
2019-11,67,28~108,良,42,84,0.843,2,39,44
2019-12,75,33~175,良,50,76,1.048,3,43,35
2020-01,61,25~103,良,39,56,1.194,3,30,34
2020-02,45,25~80,优,29,42,1.069,3,14,47
2020-03,51,25~90,良,28,53,0.913,2,29,43
2020-04,59,28~99,良,36,66,0.75,3,31,64
2020-05,56,38~99,良,27,48,0.81,8,18,93
2020-06,36,21~73,优,15,30,0.63,7,16,65
2020-07,44,24~197,优,14,32,0.613,7,17,69
2020-08,37,0~85,优,17,35,0.481,6,12,67
2020-09,54,0~100,良,22,45,0.617,8,19,96
2020-10,70,46~95,良,26,69,0.639,13,29,121
2020-11,42,0~100,优,22,51,0.48,6,24,54
2020-12,61,0~148,良,42,71,0.855,3,36,31
2021-01,75,34~114,良,46,96,1.061,4,44,54
2021-02,56,33~105,良,35,60,0.961,4,20,74
2021-03,59,37~90,良,28,63,0.858,6,39,71
2021-04,64,39~116,良,28,68,0.843,6,42,82
2021-05,56,36~85,良,21,50,0.835,7,31,90
2021-06,57,27~112,良,21,43,0.7,5,24,98
2021-07,38,22~56,优,15,34,0.571,4,21,65
2021-08,42,15~80,优,19,34,0.548,3,24,72
2021-09,61,29~125,良,24,46,0.573,6,30,104
2021-10,41,0~76,优,18,36,0.577,5,31,61
2021-11,60,33~103,良,30,57,0.717,6,46,58
2021-12,47,0~139,优,30,54,0.487,5,32,38
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
