month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,127,22~486,轻度污染,100,99,4.014,55,23,37
2014-01,114,33~251,轻度污染,85,125,3.445,76,24,47
2014-02,84,30~148,良,60,95,2.607,40,25,40
2014-03,89,48~135,良,61,111,2.674,48,32,67
2014-04,100,49~203,轻度污染,71,122,2.977,47,37,88
2014-05,94,46~149,良,65,121,2.255,55,35,76
2014-06,86,43~161,良,62,95,2.027,44,35,74
2014-07,78,32~154,良,56,78,1.448,51,31,96
2014-08,68,21~173,良,48,69,1.994,33,26,67
2014-09,56,21~83,良,39,58,2.1,24,29,46
2014-10,90,26~132,良,66,105,2.261,47,43,47
2014-11,100,33~279,良,73,90,2.197,115,37,45
2014-12,81,21~238,良,59,74,3.045,125,27,33
2015-01,152,51~328,中度污染,116,166,3.868,260,49,38
2015-02,81,48~155,良,54,101,3.211,138,40,61
2015-03,81,38~133,良,57,98,2.368,57,41,64
2015-04,65,40~84,良,44,74,2.043,35,30,77
2015-05,66,41~94,良,42,75,1.742,36,29,96
2015-06,56,21~118,良,30,56,1.807,24,25,84
2015-07,68,41~105,良,33,53,1.145,18,20,118
2015-08,57,39~100,良,32,57,1.616,17,21,97
2015-09,59,37~88,良,38,59,2.013,16,23,81
2015-10,83,45~156,良,57,94,2.465,22,36,70
2015-11,115,35~300,轻度污染,88,128,2.71,64,39,34
2015-12,143,28~238,轻度污染,108,155,3.365,75,43,28
2016-01,132,43~288,轻度污染,97,140,3.955,70,38,37
2016-02,100,50~220,良,66,97,3.397,54,25,66
2016-03,86,34~147,良,56,113,2.858,30,29,84
2016-04,80,52~143,良,47,104,2.767,23,26,95
2016-05,87,55~123,良,54,106,2.3,40,25,124
2016-06,82,58~108,良,46,94,2.273,57,24,123
2016-07,63,33~105,良,32,69,1.31,32,18,93
2016-08,65,32~92,良,29,62,1.21,30,20,112
2016-09,63,39~106,良,36,68,1.39,28,32,99
2016-10,56,32~103,良,30,60,1.413,39,36,64
2016-11,219,65~365,重度污染,173,261,3.617,241,65,43
2016-12,251,78~433,重度污染,206,277,3.768,351,66,41
2017-01,241,93~500,重度污染,157,205,4.013,311,57,49
2017-02,161,41~346,中度污染,106,148,2.739,167,45,87
2017-03,100,50~161,良,74,118,1.777,67,36,100
