month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,243,84~499,重度污染,194,313,3.661,136,91,21
2014-01,215,58~393,重度污染,172,252,2.932,108,77,31
2014-02,130,40~301,轻度污染,99,137,1.921,62,48,45
2014-03,156,80~396,中度污染,111,209,1.739,80,73,59
2014-04,127,45~235,轻度污染,90,180,1.503,60,65,67
2014-05,124,52~255,轻度污染,85,185,1.448,68,62,97
2014-06,112,40~225,轻度污染,75,148,1.373,29,47,134
2014-07,105,43~168,轻度污染,54,125,1.558,37,42,154
2014-08,96,45~174,良,56,140,1.59,46,48,115
2014-09,85,36~139,良,46,120,1.293,42,43,77
2014-10,108,36~263,轻度污染,76,148,1.455,55,57,68
2014-11,158,56~330,中度污染,120,194,1.75,78,72,55
2014-12,171,72~420,中度污染,130,223,2.152,91,80,33
2015-01,161,49~366,中度污染,125,190,1.929,66,64,46
2015-02,135,44~241,轻度污染,100,167,1.696,53,50,73
2015-03,129,68~368,轻度污染,87,171,1.281,43,51,94
2015-04,105,41~196,轻度污染,68,139,1.063,38,49,124
2015-05,106,53~174,轻度污染,56,131,1.097,32,41,159
2015-06,123,44~226,轻度污染,58,120,1.207,27,35,177
2015-07,96,43~166,良,44,100,1.058,12,31,142
2015-08,92,38~168,良,41,96,1.142,17,36,139
2015-09,90,38~170,良,45,100,1.16,24,41,139
2015-10,132,43~342,轻度污染,94,175,1.461,34,61,113
2015-11,111,29~291,轻度污染,83,134,1.473,30,52,55
2015-12,169,54~368,中度污染,129,216,1.91,56,68,40
2016-01,169,58~398,中度污染,132,216,1.977,61,65,45
2016-02,119,29~230,轻度污染,87,148,1.586,50,44,75
2016-03,122,54~206,轻度污染,83,167,1.316,42,51,105
2016-04,119,56~217,轻度污染,80,177,1.33,34,45,126
2016-05,90,43~173,良,54,120,1.045,27,35,126
2016-06,86,54~121,良,38,94,1.023,14,28,135
2016-07,79,41~141,良,31,76,0.977,10,23,126
2016-08,80,41~157,良,25,62,0.897,12,24,130
2016-09,94,28~165,良,48,97,1.18,19,39,147
2016-10,69,33~134,良,43,84,1.084,15,39,76
2016-11,102,41~206,轻度污染,73,132,1.3,29,54,55
2016-12,144,45~363,轻度污染,111,174,1.787,38,64,42
2017-01,138,38~356,轻度污染,107,161,1.745,33,53,54
2017-02,118,50~279,轻度污染,87,134,1.304,39,48,88
2017-03,90,52~191,良,63,110,1.09,27,49,107
2017-04,97,56~146,良,54,128,1.063,26,47,142
2017-05,140,44~451,轻度污染,35,92,1.094,27,38,179
2017-06,128,58~200,轻度污染,36,101,1.067,20,32,189
2017-07,93,38~198,良,28,80,1.023,14,27,142
2017-08,90,35~176,良,25,64,1.006,11,29,144
2017-09,83,34~138,良,30,79,1.06,15,38,137
2017-10,80,34~200,良,48,92,1.045,15,46,96
2017-11,98,52~209,良,66,127,1.17,25,57,66
2017-12,127,38~259,轻度污染,94,157,1.61,39,66,25
2018-01,135,51~346,轻度污染,101,154,1.358,32,51,48
2018-02,98,38~176,良,68,115,1.079,30,36,69
2018-03,87,40~153,良,59,108,0.935,18,42,99
2018-04,65,0~131,良,31,83,0.833,17,37,122
2018-05,85,45~133,良,32,90,0.681,14,32,138
2018-06,114,38~189,轻度污染,27,72,0.62,12,26,172
2018-07,66,22~115,良,18,44,0.49,9,24,113
2018-08,77,22~131,良,19,46,0.513,9,22,128
2018-09,77,37~111,良,24,70,0.623,13,33,129
2018-10,87,53~166,良,47,115,0.677,17,48,113
2018-11,92,0~198,良,65,120,0.977,14,50,72
2018-12,107,47~266,轻度污染,71,143,1.123,26,52,42
2019-01,154,61~382,中度污染,115,195,1.594,40,62,48
2019-02,138,43~259,轻度污染,103,156,1.054,23,43,71
2019-03,101,53~206,轻度污染,67,132,0.723,19,45,100
2019-04,87,42~172,良,54,107,0.747,14,36,123
2019-05,100,45~167,轻度污染,42,109,0.716,16,36,151
2019-06,122,58~167,轻度污染,33,84,0.71,12,27,183
2019-07,98,26~179,良,30,69,0.706,10,24,154
2019-08,72,20~130,良,22,52,0.661,8,20,119
2019-09,97,39~160,良,32,78,0.713,9,29,152
2019-10,95,33~179,良,57,125,0.835,10,44,104
2019-11,92,46~209,良,59,122,0.807,12,46,74
2019-12,114,32~260,轻度污染,84,124,1.09,17,51,50
2020-01,123,30~276,轻度污染,93,124,1.303,18,42,65
2020-02,77,36~168,良,54,73,0.852,10,22,85
2020-03,80,53~114,良,50,99,0.816,11,33,104
2020-04,89,59~150,良,48,104,0.757,13,35,133
2020-05,100,40~153,良,32,88,0.723,9,27,152
2020-06,106,37~195,轻度污染,31,87,0.763,7,26,161
2020-07,83,29~152,良,24,54,0.745,5,22,134
2020-08,72,28~143,良,23,49,0.958,6,23,122
2020-09,94,59~182,良,31,77,0.87,10,36,148
2020-10,86,58~166,良,49,108,0.968,11,53,96
2020-11,83,38~137,良,55,106,0.91,12,50,75
2020-12,125,40~292,轻度污染,93,135,1.277,25,59,56
2021-01,128,61~252,轻度污染,74,121,1.339,23,56,55
2021-02,82,41~162,良,52,83,0.796,13,29,86
2021-03,120,34~500,轻度污染,49,69,0.826,12,39,100
2021-04,83,37~393,良,33,58,0.747,11,32,111
2021-05,104,35~500,轻度污染,28,46,0.684,10,25,134
2021-06,109,45~201,轻度污染,28,63,0.807,9,22,165
2021-07,62,21~143,良,17,31,0.626,7,13,108
2021-08,82,32~128,良,22,43,0.694,7,20,135
2021-09,76,34~116,良,20,41,0.56,6,21,128
2021-10,78,31~133,良,44,78,0.681,10,37,108
2021-11,90,34~168,良,61,109,0.833,13,50,81
2021-12,101,30~261,轻度污染,73,116,0.984,17,52,58
2022-01,105,43~205,轻度污染,78,107,1.016,16,46,62
2022-02,75,38~129,良,52,76,0.836,15,31,92
2022-03,78,37~142,良,37,59,0.787,10,35,103
2022-04,84,53~125,良,41,68,0.703,10,27,133
2022-05,97,46~147,良,29,63,0.568,11,25,154
2022-06,113,39~185,轻度污染,25,55,0.597,9,18,172
2022-07,74,26~143,良,20,33,0.59,7,17,126
2022-08,79,27~115,良,19,37,0.603,9,20,132
2022-09,89,36~146,良,22,50,0.65,10,26,144
2022-10,63,30~121,良,31,58,0.674,10,32,110
2022-11,67,29~183,良,43,70,0.79,9,37,76
2022-12,104,35~224,轻度污染,71,116,1.123,21,51,57
2023-01,105,38~217,轻度污染,74,118,0.99,20,38,74
2023-02,83,37~162,良,56,90,0.789,15,36,82
2023-03,110,43~425,轻度污染,59,146,0.655,14,35,118
2023-04,104,38~500,轻度污染,41,125,0.543,10,26,120
2023-05,90,26~191,良,31,71,0.5,12,23,138
2023-06,109,41~165,轻度污染,22,47,0.487,9,20,168
2023-07,77,20~146,良,17,31,0.532,5,13,128
2023-08,85,35~136,良,18,31,0.526,6,14,140
2023-09,89,38~157,良,27,48,0.633,8,23,144
2023-10,79,45~130,良,43,80,0.703,13,42,129
2023-11,79,35~180,良,49,90,0.707,10,44,69
2023-12,102,30~215,轻度污染,72,112,0.955,14,48,33
2024-01,100,33~238,轻度污染,73,105,1.013,11,48,58
2024-02,86,33~352,良,61,83,0.838,10,24,89
2024-03,82,42~121,良,49,99,0.742,9,29,108
2024-04,85,32~126,良,35,77,0.53,9,24,137
2024-05,106,64~191,轻度污染,32,71,0.465,10,20,160
2024-06,117,57~178,轻度污染,24,60,0.557,10,18,177
2024-07,70,28~140,良,19,28,0.619,8,13,121
2024-08,89,41~156,良,20,36,0.577,9,16,145
2024-09,78,22~164,良,17,33,0.55,8,18,130
2024-10,72,33~132,良,41,69,0.677,8,35,116
2024-11,63,37~119,良,38,67,0.68,7,38,80
2024-12,86,39~175,良,60,99,0.823,14,52,60
2025-01,94,41~179,良,67,105,0.848,18,44,74
2025-02,79,38~185,良,54,82,0.743,14,31,89
2025-03,80,38~139,良,46,93,0.639,11,30,106
2025-04,79,59~98,良,40,84,0.656,12,30,133
