month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,105,105~105,轻度污染,56,160,1.7,13,54,79
2015-01,60,36~92,良,39,50,1.745,12,23,85
2015-02,63,38~111,良,42,56,1.085,18,20,91
2015-03,79,41~128,良,56,64,0.89,17,21,95
2015-04,67,40~120,良,42,64,1.197,10,15,107
2015-05,60,22~105,良,35,56,1.458,7,13,80
2015-06,31,22~41,优,16,28,0.403,12,9,51
2015-07,33,22~59,优,15,30,0.445,11,10,52
2015-08,32,25~50,优,13,27,0.383,18,11,50
2015-09,34,24~54,优,20,30,0.562,23,10,41
2015-10,31,23~52,优,20,30,0.948,15,11,48
2015-11,41,34~52,优,21,34,1.54,18,17,55
2015-12,44,32~55,优,22,42,1.071,12,17,75
2016-01,48,25~78,优,31,46,1.055,9,18,78
2016-02,64,41~103,良,42,58,0.966,11,14,100
2016-03,83,35~124,良,49,77,0.974,13,19,127
2016-04,62,40~102,良,41,67,0.72,11,13,69
2016-05,53,32~73,良,34,54,0.681,10,10,73
2016-06,34,27~50,优,22,31,0.857,7,6,55
2016-07,29,23~34,优,15,27,0.932,6,6,39
2016-08,34,0~44,优,17,31,0.81,14,6,60
2016-09,37,0~57,优,23,34,1.013,16,7,52
2016-10,33,20~48,优,14,30,0.71,16,7,56
2016-11,42,24~123,优,14,29,0.667,9,17,77
2016-12,40,28~52,优,17,38,0.806,15,22,67
2017-01,41,24~88,优,24,36,0.926,20,17,74
2017-02,64,45~118,良,40,56,1.136,20,20,110
2017-03,76,52~108,良,48,66,1.003,17,24,125
2017-04,69,34~121,良,35,58,0.947,13,19,116
2017-05,56,30~86,良,26,46,0.823,15,16,104
2017-06,37,26~65,优,15,31,0.723,12,15,69
2017-07,29,20~49,优,14,25,0.735,8,12,52
2017-08,29,21~42,优,16,25,0.865,7,11,50
2017-09,27,21~34,优,13,25,0.807,6,17,49
2017-10,39,24~48,优,15,28,0.858,8,30,62
2017-11,42,27~63,优,19,38,0.967,12,31,72
2017-12,46,25~70,优,26,44,1.113,13,23,50
2018-01,42,25~55,优,25,35,1.003,11,21,73
2018-02,56,44~84,良,33,46,0.971,10,15,98
2018-03,67,48~87,良,39,59,0.955,11,18,116
2018-04,68,40~102,良,35,58,0.787,11,16,121
2018-05,52,0~74,良,23,40,0.703,10,14,101
2018-06,35,18~66,优,13,27,0.72,9,12,64
2018-07,27,19~40,优,10,18,0.648,8,11,54
2018-08,31,20~55,优,14,20,0.813,7,11,62
2018-09,27,21~40,优,14,23,0.783,8,11,54
2018-10,31,20~39,优,16,27,0.748,10,12,56
2018-11,40,32~51,优,22,39,0.84,13,15,71
2018-12,49,37~68,优,32,49,0.89,13,18,61
2019-01,53,38~70,良,36,53,0.965,12,16,73
2019-02,55,42~107,良,38,55,0.818,10,11,92
2019-03,68,50~95,良,44,65,0.868,12,15,112
2019-04,86,48~160,良,52,77,0.953,11,16,134
2019-05,78,44~101,良,44,68,0.806,10,14,130
2019-06,40,31~66,优,26,28,0.68,9,15,76
2019-07,33,26~45,优,22,20,0.645,8,11,56
2019-08,39,29~60,优,24,22,0.703,7,11,73
2019-09,35,18~59,优,21,24,0.807,8,12,66
2019-10,33,23~43,优,19,24,0.819,8,13,64
2019-11,34,18~42,优,19,24,0.797,8,14,65
2019-12,42,31~70,优,27,35,0.845,10,19,71
2020-01,41,32~62,优,27,33,0.852,9,16,70
2020-02,57,43~83,良,39,44,0.776,8,12,98
2020-03,69,48~97,良,45,59,0.781,9,15,119
2020-04,68,32~102,良,46,59,0.85,8,17,109
2020-05,55,30~81,良,29,40,0.668,9,14,101
2020-06,31,20~50,优,15,22,0.637,8,12,59
2020-07,25,18~48,优,14,19,0.613,8,11,46
2020-08,26,18~41,优,15,18,0.639,7,12,47
