month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,92,40~161,良,67,109,1.25,85,38,38
2014-01,84,38~157,良,58,95,1.329,79,33,45
2014-02,97,47~246,良,67,109,1.579,67,30,60
2014-03,73,47~141,良,50,85,0.919,38,27,77
2014-04,87,42~201,良,60,108,1.387,19,33,99
2014-05,74,45~135,良,42,84,1.155,16,27,122
2014-06,74,43~142,良,40,66,1.293,16,24,117
2014-07,65,23~105,良,33,54,1.555,16,20,111
2014-08,61,32~128,良,33,55,1.545,19,23,104
2014-09,56,34~96,良,28,55,1.623,21,29,96
2014-10,64,42~94,良,39,73,1.242,23,31,90
2014-11,91,50~149,良,65,107,1.903,63,41,54
2014-12,91,38~277,良,62,105,1.755,84,36,35
2015-01,87,37~178,良,62,93,1.868,82,36,36
2015-02,96,37~401,良,60,112,1.607,67,31,43
2015-03,80,44~189,良,56,97,1.503,43,28,65
2015-04,73,35~95,良,48,92,1.138,18,27,95
2015-05,67,42~114,良,36,64,1.119,15,24,115
2015-06,66,28~116,良,36,52,1.277,10,18,115
2015-07,50,31~91,优,26,43,1.1,10,17,82
2015-08,50,29~77,良,26,46,1.187,9,13,90
2015-09,52,34~80,良,26,49,1.327,12,20,92
2015-10,58,33~135,良,37,61,1.529,15,27,74
2015-11,103,35~418,轻度污染,79,99,1.653,40,33,59
2015-12,88,42~159,良,64,87,1.926,78,36,44
2016-01,80,40~168,良,56,89,1.703,70,30,53
2016-02,70,34~119,良,49,74,1.669,62,28,65
2016-03,97,41~426,良,60,111,1.461,39,28,100
2016-04,79,51~152,良,45,94,1.227,20,26,122
2016-05,92,47~122,良,44,74,1.152,18,26,147
2016-06,77,47~126,良,40,59,1.3,15,18,129
2016-07,49,29~73,优,25,40,1.029,6,14,91
2016-08,45,28~95,优,19,34,1.123,8,15,81
2016-09,53,29~70,良,30,52,1.373,12,20,88
2016-10,56,31~127,良,34,60,1.316,14,27,64
2016-11,73,33~133,良,50,83,1.403,38,34,50
2016-12,81,32~190,良,59,84,1.539,55,37,43
2017-01,80,37~202,良,57,84,1.494,57,34,58
2017-02,68,38~144,良,46,67,1.293,43,29,80
2017-03,90,44~192,良,66,98,1.216,32,32,100
2017-04,67,46~107,良,37,76,0.947,13,26,109
2017-05,71,35~137,良,24,56,0.765,11,19,116
2017-06,70,36~161,良,25,48,0.737,10,17,122
2017-07,52,30~78,良,20,33,0.732,5,12,101
2017-08,41,21~84,优,15,29,0.765,6,14,79
2017-09,54,34~95,良,24,45,0.81,9,20,100
2017-10,52,28~88,良,29,55,0.861,12,27,78
2017-11,56,32~107,良,33,61,0.96,25,26,58
2017-12,70,34~128,良,44,72,1.497,35,31,30
2018-01,58,32~109,良,38,61,1.113,31,27,54
2018-02,73,33~183,良,50,77,1.1,30,24,71
2018-03,61,38~143,良,38,59,0.806,18,19,94
2018-04,63,41~98,良,32,59,0.717,12,18,108
2018-05,58,25~102,良,22,43,0.626,11,16,106
2018-06,55,33~96,良,20,34,0.593,11,13,102
2018-07,33,15~74,优,15,25,0.503,8,10,60
2018-08,42,14~80,优,14,26,0.655,6,13,81
2018-09,41,28~78,优,16,33,0.67,11,20,77
2018-10,44,22~87,优,24,45,0.816,14,26,68
2018-11,61,29~97,良,39,67,1.077,27,32,50
2018-12,63,35~119,良,41,67,1.061,31,29,46
