month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,128,41~204,轻度污染,93,134,1.127,38,57,65
2014-01,105,43~242,轻度污染,79,106,0.935,28,47,74
2014-02,54,17~77,良,37,47,0.657,15,32,69
2014-03,69,28~93,良,45,67,0.774,22,39,100
2014-04,73,36~128,良,42,63,0.673,15,28,119
2014-05,78,33~115,良,40,59,0.697,14,31,123
2014-06,76,29~145,良,34,51,0.627,12,23,123
2014-07,54,27~89,良,21,40,0.548,11,22,101
2014-08,55,23~100,良,28,44,0.623,13,26,99
2014-09,58,25~96,良,33,53,0.63,12,27,101
2014-10,76,41~105,良,51,81,0.677,13,31,122
2014-11,73,34~124,良,52,78,0.857,16,39,76
2014-12,88,53~130,良,64,100,0.839,27,49,72
2015-01,94,29~199,良,70,101,0.958,24,51,72
2015-02,70,20~155,良,48,64,0.736,9,28,83
2015-03,70,24~134,良,38,52,0.703,12,30,103
2015-04,75,41~112,良,41,59,0.613,12,33,121
2015-05,68,35~113,良,37,50,0.655,9,25,110
2015-06,49,33~87,优,23,39,0.54,8,21,88
2015-07,44,23~70,优,20,34,0.51,8,15,86
2015-08,55,19~104,良,26,43,0.539,8,15,100
2015-09,64,29~119,良,35,51,0.613,9,20,98
2015-10,62,28~106,良,40,59,0.6,11,26,91
2015-11,56,27~125,良,36,51,0.833,12,33,44
2015-12,70,40~113,良,46,62,0.929,12,38,43
2016-01,67,37~189,良,45,58,0.9,10,35,46
2016-02,67,28~134,良,45,67,0.672,8,21,78
2016-03,68,28~99,良,46,71,0.69,11,31,99
2016-04,56,29~102,良,28,45,0.663,7,25,92
2016-05,62,27~132,良,27,42,0.671,7,18,107
2016-06,48,25~79,优,20,35,0.53,8,19,90
2016-07,51,22~97,良,19,34,0.442,9,16,93
2016-08,63,25~122,良,21,37,0.545,6,14,109
2016-09,56,18~113,良,27,44,0.677,6,19,95
2016-10,45,25~89,优,26,43,0.71,8,23,67
2016-11,53,29~92,良,36,53,0.827,12,29,55
2016-12,75,30~132,良,53,74,0.81,15,37,56
2017-01,60,27~147,良,40,57,0.742,10,26,69
2017-02,64,34~113,良,44,59,0.664,12,23,91
2017-03,58,35~104,良,35,52,0.61,11,26,90
2017-04,65,26~102,良,33,56,0.65,11,23,112
2017-05,68,39~133,良,29,49,0.565,9,17,120
2017-06,47,27~77,优,20,33,0.623,6,21,86
2017-07,56,20~135,良,20,37,0.545,9,16,100
2017-08,55,25~78,良,19,35,0.619,8,16,103
2017-09,63,33~109,良,24,40,0.75,7,18,115
2017-10,61,30~104,良,32,48,0.939,9,23,103
2017-11,59,32~101,良,38,50,1.08,10,32,70
2017-12,81,28~160,良,62,81,1.142,9,40,37
2018-01,61,23~139,良,40,55,0.842,7,31,50
2018-02,60,20~110,良,38,54,0.604,6,18,82
2018-03,51,28~77,良,26,41,0.558,6,24,86
2018-04,61,0~95,良,31,55,0.573,7,21,108
2018-05,54,33~90,良,21,39,0.568,6,17,100
2018-06,48,29~91,优,18,32,0.497,6,17,89
2018-07,43,22~106,优,13,26,0.41,6,13,82
2018-08,47,21~74,优,17,30,0.468,5,14,88
2018-09,47,21~90,优,18,35,0.507,6,17,88
2018-10,62,28~103,良,29,46,0.581,8,24,103
2018-11,44,28~66,优,26,43,0.683,7,27,54
2018-12,56,23~109,良,35,50,0.819,7,31,39
2019-01,60,35~95,良,38,55,0.968,7,30,48
2019-02,35,18~65,优,19,27,0.832,6,17,52
2019-03,56,30~86,良,31,45,0.694,7,24,92
2019-04,49,24~80,优,22,39,0.583,7,22,88
2019-05,62,32~95,良,24,46,0.471,7,19,109
2019-06,45,24~99,优,16,31,0.503,5,18,83
2019-07,37,21~56,优,11,26,0.419,5,15,70
2019-08,48,19~96,优,17,34,0.5,5,14,89
2019-09,74,28~125,良,23,45,0.553,6,18,125
2019-10,65,24~98,良,30,56,0.668,6,22,104
2019-11,56,25~84,良,30,62,0.677,6,30,79
2019-12,54,28~90,良,32,53,0.881,6,36,55
2020-01,45,20~83,优,25,36,0.765,5,20,58
2020-02,40,18~68,优,22,32,0.617,5,9,74
2020-03,44,25~79,优,21,37,0.555,5,20,75
2020-04,67,34~103,良,25,47,0.493,5,19,111
2020-05,61,28~105,良,20,40,0.487,5,16,109
2020-06,37,26~51,优,11,27,0.37,4,16,72
2020-07,43,24~66,优,12,33,0.384,5,15,80
2020-08,43,19~80,优,14,31,0.468,5,12,82
2020-09,59,28~107,良,20,39,0.623,5,19,103
2020-10,57,32~108,良,22,48,0.51,6,22,104
2020-11,50,33~76,良,25,51,0.75,6,32,71
2020-12,58,32~83,良,38,61,0.832,7,35,51
2021-01,57,33~114,良,35,62,0.635,8,31,63
2021-02,46,22~69,优,26,41,0.432,6,12,80
2021-03,46,27~71,优,23,43,0.523,6,22,77
2021-04,58,30~100,良,21,47,0.44,6,19,99
2021-05,47,22~90,优,15,33,0.468,6,17,86
2021-06,44,22~92,优,13,28,0.377,6,14,81
2021-07,40,19~86,优,12,26,0.423,6,11,76
2021-08,39,19~75,优,11,25,0.377,6,11,76
2021-09,55,20~90,良,18,33,0.417,6,14,102
