month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,52,52~52,良,23,53,1.4,18,25,88
2015-01,39,30~55,优,14,32,0.923,8,10,76
2015-02,41,37~50,优,13,30,0.736,6,8,82
2015-03,48,41~62,优,16,42,0.771,7,10,94
2015-04,53,42~69,良,13,34,0.453,8,11,102
2015-05,55,40~92,良,15,34,0.455,10,9,105
2015-06,42,28~61,优,16,32,0.513,10,9,80
2015-07,47,24~78,优,15,27,0.565,9,14,90
2015-08,37,28~45,优,17,30,1.01,7,14,69
2015-09,34,28~49,优,18,30,0.917,5,13,62
2015-10,36,27~51,优,16,25,0.758,7,16,71
2015-11,34,24~57,优,17,26,0.493,8,14,65
2015-12,39,28~58,优,19,30,0.855,7,13,67
2016-01,36,26~42,优,18,26,0.597,10,12,70
2016-02,41,30~50,优,22,31,0.728,7,8,76
2016-03,46,34~67,优,18,27,0.687,8,12,90
2016-04,41,22~60,优,16,26,0.517,10,12,80
2016-05,43,26~62,优,16,26,0.603,8,12,84
2016-06,29,20~59,优,15,23,0.527,10,10,50
2016-07,29,20~43,优,16,22,0.526,7,10,51
2016-08,49,30~72,优,14,22,0.629,10,13,95
2016-09,35,0~63,优,15,24,0.633,12,10,69
2016-10,39,26~55,优,13,21,0.51,11,14,77
2016-11,42,25~73,优,12,23,0.767,11,14,82
2016-12,42,32~57,优,13,27,0.584,10,15,84
2017-01,44,35~49,优,13,21,0.519,9,14,88
2017-02,42,37~48,优,13,21,0.471,10,13,85
2017-03,47,35~60,优,13,23,0.439,11,14,95
2017-04,58,36~94,良,14,25,0.593,10,11,108
2017-05,54,35~70,良,14,25,0.59,11,11,103
2017-06,49,29~85,优,11,24,0.59,10,10,93
2017-07,44,25~75,优,11,29,0.665,12,12,84
2017-08,41,26~60,优,12,30,0.894,14,12,77
2017-09,32,22~46,优,11,24,0.833,12,13,61
2017-10,38,20~56,优,13,28,0.948,11,18,75
2017-11,42,32~50,优,15,29,0.893,11,23,84
2017-12,47,23~70,优,23,45,0.971,12,26,53
2018-01,44,26~57,优,21,36,0.706,10,16,82
2018-02,45,0~58,优,10,28,0.804,10,8,91
2018-03,53,41~70,良,14,33,0.835,10,10,103
2018-04,56,34~73,良,10,33,0.84,13,10,105
2018-05,45,18~70,优,8,23,0.706,13,10,88
2018-06,34,18~58,优,7,21,0.563,12,12,67
2018-07,31,21~47,优,9,19,0.568,11,12,63
2018-08,37,18~54,优,11,23,0.723,11,12,74
2018-09,26,20~35,优,15,22,0.793,9,11,50
2018-10,33,20~52,优,14,26,0.735,6,11,63
2018-11,40,30~52,优,17,38,0.717,7,14,73
2018-12,36,31~46,优,14,29,0.713,7,13,71
2019-01,37,31~47,优,13,30,0.639,6,11,73
2019-02,40,35~52,优,7,25,0.618,7,7,80
2019-03,48,29~63,优,8,36,0.6,7,8,94
2019-04,56,42~75,良,10,33,0.58,7,9,106
2019-05,67,41~85,良,13,34,0.703,8,9,120
2019-06,44,26~81,优,10,19,0.597,10,13,85
2019-07,33,20~47,优,9,19,0.6,8,15,66
2019-08,48,26~78,优,13,22,0.674,8,12,92
2019-09,34,19~50,优,13,19,0.677,7,7,67
2019-10,36,26~47,优,11,20,0.642,7,9,72
2019-11,37,19~45,优,12,24,0.597,7,10,74
2019-12,43,38~53,优,17,29,0.623,8,13,85
2020-01,42,28~52,优,12,20,0.548,7,8,84
2020-02,48,38~55,优,14,19,0.61,6,4,95
2020-03,56,46~72,良,15,25,0.626,9,5,106
2020-04,60,33~80,良,18,31,0.687,8,7,110
2020-05,55,31~81,良,9,21,0.458,8,7,104
2020-06,35,24~52,优,6,16,0.527,11,7,70
2020-07,29,16~65,优,10,18,0.658,11,10,57
2020-08,35,18~55,优,11,19,0.671,9,12,69
2020-09,31,21~50,优,12,20,0.773,9,11,62
2020-10,29,17~47,优,14,21,0.661,9,12,56
2020-11,41,20~54,优,16,28,0.55,8,14,81
2020-12,40,35~46,优,13,27,0.629,6,13,80
2021-01,43,36~52,优,15,27,0.661,6,11,85
2021-02,50,44~70,良,13,25,0.511,6,8,98
2021-03,63,46~89,良,23,40,0.635,7,11,115
2021-04,67,49~82,良,18,40,0.583,6,11,120
2021-05,54,35~79,良,9,22,0.529,6,12,101
2021-06,37,23~52,优,7,17,0.567,7,9,73
2021-07,40,25~72,优,7,18,0.584,8,8,77
2021-08,39,20~89,优,8,16,0.629,8,6,73
2021-09,34,23~47,优,10,17,0.66,6,7,68
2021-10,35,17~48,优,10,18,0.594,6,7,70
2021-11,42,38~51,优,13,23,0.523,4,9,85
2021-12,42,33~57,优,17,26,0.558,5,11,80
2022-01,42,35~47,优,12,17,0.565,5,8,83
2022-02,46,29~53,优,13,19,0.514,4,7,91
2022-03,59,49~75,良,24,33,0.606,5,10,110
2022-04,54,32~77,良,18,29,0.517,6,9,101
2022-05,46,31~69,优,12,22,0.519,7,10,91
2022-06,37,20~46,优,8,15,0.497,8,9,74
2022-07,45,24~84,优,10,20,0.539,8,12,86
2022-08,40,28~52,优,13,19,0.565,8,12,80
2022-09,37,25~52,优,15,20,0.633,8,10,74
2022-10,33,21~47,优,15,20,0.619,7,11,66
2022-11,42,33~48,优,16,22,0.573,5,13,83
2022-12,41,29~50,优,17,24,0.526,6,12,81
2023-01,46,41~49,优,20,29,0.606,8,11,92
2023-02,52,40~69,良,24,34,0.536,6,11,100
2023-03,56,44~65,良,15,24,0.6,6,10,106
2023-04,72,55~90,良,17,31,0.623,7,11,126
2023-05,65,46~83,良,10,21,0.503,8,10,118
2023-06,48,29~70,优,9,18,0.54,8,13,93
2023-07,39,19~88,优,10,17,0.626,9,13,75
2023-08,41,21~65,优,10,16,0.648,8,14,81
