month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,33,33~33,优,17,33,0.4,15,13,66
2015-01,81,38~206,良,54,94,1.29,47,43,60
2015-02,85,41~217,良,50,103,0.939,42,29,82
2015-03,76,45~147,良,41,98,0.69,30,31,108
2015-04,95,57~207,良,33,75,0.52,18,26,147
2015-05,75,48~130,良,35,77,0.416,13,22,123
2015-06,74,37~173,良,39,53,0.45,12,24,120
2015-07,82,40~120,良,43,65,0.616,13,23,136
2015-08,65,44~134,良,32,59,0.519,17,26,114
2015-09,68,35~155,良,36,55,0.517,14,26,116
2015-10,79,30~153,良,36,70,0.532,22,30,116
2015-11,85,38~175,良,62,78,0.93,32,39,62
2015-12,110,32~206,轻度污染,80,108,1.345,42,49,42
2016-01,65,34~120,良,42,66,0.794,38,36,59
2016-02,55,33~173,良,32,58,0.583,33,25,67
2016-03,75,35~169,良,39,95,0.735,28,31,77
2016-04,66,33~117,良,28,84,0.517,24,26,91
2016-05,74,37~189,良,32,88,0.497,19,21,110
2016-06,60,30~94,良,28,49,0.47,20,24,107
2016-07,84,43~137,良,32,50,0.59,19,25,140
2016-08,78,43~117,良,23,40,0.565,15,24,133
2016-09,63,35~89,良,22,39,0.613,18,26,113
2016-10,58,29~92,良,29,53,0.735,22,33,97
2016-11,74,35~161,良,41,90,0.733,37,42,73
2016-12,69,38~133,良,43,70,0.958,51,47,65
2017-01,73,41~366,良,42,67,0.968,49,41,73
2017-02,61,23~128,良,35,53,0.75,33,32,89
2017-03,66,50~137,良,34,47,0.7,25,31,114
2017-04,70,48~107,良,25,51,0.53,21,25,120
2017-05,104,50~500,轻度污染,22,57,0.494,21,20,139
2017-06,100,57~148,良,25,43,0.49,21,23,158
2017-07,101,60~149,轻度污染,26,42,0.581,19,26,161
2017-08,84,45~126,良,21,32,0.574,21,23,141
2017-09,81,43~139,良,23,44,0.487,24,26,137
2017-10,58,35~100,良,32,48,0.635,26,32,101
2017-11,54,33~108,良,26,54,0.793,32,31,76
2017-12,49,20~100,优,23,46,0.819,32,30,43
2018-01,46,29~102,优,19,42,0.648,29,26,67
2018-02,48,35~74,优,19,44,0.514,24,19,77
2018-03,46,0~95,优,22,43,0.545,25,29,98
2018-04,52,0~110,良,15,36,0.39,21,19,113
2018-05,71,0~115,良,17,44,0.329,19,15,132
2018-06,83,39~145,良,15,35,0.303,20,16,136
2018-07,83,41~131,良,24,37,0.468,15,18,139
2018-08,70,37~93,良,21,31,0.381,15,19,123
2018-09,51,35~79,良,16,28,0.353,18,19,97
2018-10,51,30~94,良,22,37,0.494,21,30,86
2018-11,54,0~84,良,29,54,0.687,25,38,71
2018-12,44,0~72,优,23,42,0.606,26,30,58
2019-01,57,32~132,良,35,55,0.765,29,36,54
2019-02,69,35~460,良,46,69,0.607,24,25,83
2019-03,56,44~104,良,26,42,0.465,20,24,102
2019-04,70,45~180,良,23,60,0.383,16,20,114
2019-05,88,51~364,良,22,60,0.361,14,20,131
2019-06,84,47~147,良,17,27,0.417,14,16,140
2019-07,88,55~140,良,21,27,0.297,15,17,144
2019-08,65,33~126,良,15,19,0.371,17,17,116
2019-09,65,38~102,良,19,25,0.433,19,31,115
2019-10,55,28~108,良,22,45,0.613,22,31,86
2019-11,50,25~93,良,23,49,0.543,25,31,63
2019-12,49,27~74,优,27,43,0.671,28,34,58
2020-01,68,33~103,良,41,52,1.119,28,48,59
2020-02,51,34~98,良,24,46,0.521,25,22,80
2020-03,48,38~75,优,17,38,0.381,23,19,86
2020-04,58,44~108,良,16,37,0.34,23,18,104
2020-05,65,39~114,良,17,49,0.255,16,15,108
2020-06,84,43~130,良,19,45,0.333,22,18,135
2020-07,80,49~119,良,24,33,0.429,21,19,136
2020-08,68,37~94,良,19,31,0.377,19,19,120
2020-09,49,27~82,优,15,26,0.337,14,22,93
2020-10,53,27~129,良,21,48,0.445,16,30,74
2020-11,54,28~104,良,29,50,0.637,18,34,60
2020-12,48,28~77,优,26,43,0.642,20,34,56
2021-01,91,30~500,良,21,56,0.69,21,26,64
2021-02,63,34~291,良,29,53,0.586,21,19,85
2021-03,116,40~500,轻度污染,21,48,0.535,18,24,90
2021-04,73,41~385,良,19,42,0.367,16,17,106
2021-05,86,46~450,良,16,42,0.31,16,13,111
2021-06,64,39~104,良,16,39,0.32,16,16,114
2021-07,72,32~138,良,16,30,0.31,14,16,125
2021-08,73,38~116,良,23,38,0.465,13,19,126
2021-09,64,30~99,良,14,31,0.377,16,21,114
2021-10,45,28~73,优,17,39,0.413,15,24,81
2021-11,60,31~148,良,25,71,0.563,18,29,66
2021-12,49,32~76,优,23,51,0.613,20,28,63
2022-01,56,33~102,良,32,55,0.81,20,35,62
2022-02,46,36~59,优,20,35,0.532,16,22,85
2022-03,63,36~147,良,24,72,0.503,15,18,96
2022-04,63,38~122,良,19,63,0.367,14,15,104
2022-05,63,43~104,良,16,39,0.345,14,15,115
2022-06,75,49~120,良,15,37,0.363,13,15,129
2022-07,75,46~105,良,15,34,0.368,14,17,129
2022-08,63,33~104,良,15,30,0.442,14,14,112
2022-09,62,33~89,良,17,42,0.387,16,25,111
2022-10,51,25~94,良,23,49,0.435,16,22,86
2022-11,49,30~78,优,25,49,0.527,17,28,57
2022-12,61,29~500,良,22,70,0.506,18,24,58
2023-01,73,32~300,良,38,89,0.665,18,25,60
2023-02,53,36~97,良,29,52,0.589,17,27,79
2023-03,98,44~500,良,29,126,0.468,15,21,94
2023-04,105,45~500,轻度污染,35,141,0.41,14,16,105
2023-05,83,40~280,良,25,75,0.406,14,15,122
2023-06,87,51~156,良,17,37,0.437,15,14,144
2023-07,82,23~139,良,17,36,0.497,14,15,136
2023-08,71,46~114,良,16,34,0.494,13,17,123
2023-09,67,43~93,良,17,35,0.483,14,19,119
2023-10,53,35~87,良,22,49,0.474,13,26,95
2023-11,53,31~88,良,19,57,0.49,12,23,66
2023-12,69,22~149,良,38,84,0.8,13,34,34
2024-01,60,31~104,良,37,55,0.881,15,41,58
2024-02,66,38~447,良,41,61,0.659,14,21,85
2024-03,80,41~500,良,24,91,0.439,10,18,98
2024-04,76,37~170,良,25,76,0.35,10,13,116
2024-05,80,52~127,良,24,53,0.387,9,13,134
2024-06,103,57~500,轻度污染,24,59,0.42,8,14,142
2024-07,89,50~126,良,19,34,0.535,9,15,146
2024-08,71,39~107,良,17,31,0.481,9,15,124
2024-09,49,29~86,优,18,29,0.443,8,16,91
2024-10,49,28~75,优,23,40,0.481,10,26,91
2024-11,50,29~89,良,28,47,0.53,10,28,73
2024-12,45,32~113,优,21,40,0.506,11,22,67
2025-01,52,32~172,良,29,52,0.545,13,22,71
2025-02,48,34~73,优,20,42,0.496,12,16,85
2025-03,63,42~155,良,24,68,0.416,11,14,96
2025-04,56,46~94,良,21,52,0.378,12,15,99
