month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,63,63~63,良,37,75,0.9,76,39,62
2015-01,110,55~233,轻度污染,73,156,1.51,113,42,64
2015-02,110,50~201,轻度污染,61,155,1.071,68,26,83
2015-03,106,42~365,轻度污染,52,155,1.21,73,24,99
2015-04,94,49~228,良,50,132,0.817,56,24,108
2015-05,96,58~176,良,47,136,0.755,50,21,118
2015-06,97,53~282,良,40,117,0.747,31,17,130
2015-07,85,55~118,良,38,93,0.613,45,19,135
2015-08,73,43~150,良,38,90,0.681,44,18,109
2015-09,81,44~147,良,51,95,0.8,56,25,100
2015-10,97,44~169,良,60,141,1.023,65,34,87
2015-11,94,38~178,良,63,125,1.133,54,31,51
2015-12,126,34~244,轻度污染,81,169,1.526,96,39,56
2016-01,73,35~203,良,47,82,1.119,57,29,63
2016-02,105,38~324,轻度污染,60,121,1.117,75,24,78
2016-03,104,40~296,轻度污染,50,142,0.819,52,25,97
2016-04,89,57~136,良,41,124,0.757,64,26,114
2016-05,102,41~357,轻度污染,50,136,0.545,47,21,116
2016-06,83,55~122,良,31,83,0.57,33,20,132
2016-07,80,46~137,良,37,77,0.6,33,20,133
2016-08,69,39~109,良,35,65,0.735,26,19,114
2016-09,72,46~105,良,40,86,1.01,67,32,107
2016-10,85,51~310,良,44,114,1.187,55,35,82
2016-11,96,44~155,良,57,140,1.347,76,41,71
2016-12,102,55~214,轻度污染,66,146,1.506,85,42,48
2017-01,88,36~193,良,55,123,1.242,73,34,58
2017-02,85,31~167,良,56,120,1.371,87,38,62
2017-03,70,29~121,良,41,91,1.097,51,31,78
2017-04,89,44~195,良,42,127,0.83,48,27,100
2017-05,139,49~500,轻度污染,43,129,0.845,40,28,128
2017-06,101,58~155,轻度污染,36,97,0.797,43,26,157
2017-07,91,52~140,良,39,81,0.868,36,24,147
2017-08,76,53~122,良,31,71,1.01,39,25,128
2017-09,84,43~123,良,34,92,1.133,66,35,119
2017-10,79,27~145,良,44,95,1.161,42,35,74
2017-11,83,41~145,良,41,110,1.133,48,35,77
2017-12,86,34~177,良,45,112,1.429,44,37,43
2018-01,71,43~111,良,37,90,0.887,23,26,62
2018-02,62,0~226,良,35,70,1,36,24,81
2018-03,58,0~117,良,30,79,1.058,52,32,96
2018-04,59,0~126,良,23,75,0.803,39,28,117
2018-05,75,0~140,良,25,81,0.719,30,22,141
2018-06,86,0~117,良,25,70,0.75,28,21,142
2018-07,78,0~126,良,28,68,0.874,27,20,134
2018-08,76,39~115,良,27,58,0.9,25,24,129
2018-09,61,33~94,良,27,70,0.79,23,24,92
2018-10,59,0~100,良,31,67,0.926,27,32,86
2018-11,71,0~156,良,38,98,1.287,43,39,73
2018-12,66,0~108,良,33,87,1.032,31,33,61
2019-01,74,39~126,良,41,97,1.116,36,37,58
2019-02,78,40~133,良,38,106,0.957,31,27,84
2019-03,86,48~288,良,39,113,0.913,41,34,104
2019-04,89,50~283,良,31,112,0.753,35,28,120
2019-05,111,54~443,轻度污染,35,136,0.781,30,26,129
2019-06,85,46~130,良,27,71,0.93,34,29,138
2019-07,98,65~139,良,23,74,0.942,35,27,152
2019-08,84,52~160,良,19,56,0.813,27,22,139
2019-09,72,52~93,良,21,62,0.893,36,28,124
2019-10,71,36~210,良,31,88,0.971,33,31,84
2019-11,80,37~269,良,35,107,0.947,30,31,69
2019-12,69,35~124,良,37,85,1.042,19,31,62
2020-01,106,46~193,轻度污染,76,119,1.487,27,40,66
2020-02,80,39~175,良,40,106,1.097,37,28,90
2020-03,75,46~199,良,26,97,0.623,23,22,97
2020-04,71,51~102,良,23,79,0.697,26,28,117
2020-05,94,50~262,良,27,113,0.758,23,22,126
2020-06,98,59~226,良,28,98,0.773,25,23,142
2020-07,84,53~116,良,23,77,0.852,28,23,136
2020-08,73,41~109,良,24,70,0.858,27,22,121
2020-09,62,30~95,良,25,63,1.023,29,29,105
2020-10,72,42~169,良,29,92,0.955,30,34,84
2020-11,74,30~125,良,43,96,1.097,23,35,71
2020-12,66,34~145,良,38,77,1.087,21,27,67
2021-01,119,37~500,轻度污染,21,56,0.935,22,24,72
2021-02,83,42~268,良,28,76,1,28,24,85
2021-03,169,46~500,中度污染,21,68,0.955,24,29,93
2021-04,90,44~500,良,23,65,0.73,20,23,106
2021-05,109,50~500,轻度污染,22,74,0.684,24,20,121
2021-06,79,52~127,良,20,70,0.64,20,20,128
2021-07,94,62~127,良,20,64,0.752,20,19,148
2021-08,75,38~132,良,21,64,0.768,19,20,124
2021-09,72,42~109,良,24,78,0.853,25,29,118
2021-10,62,32~102,良,19,70,0.729,18,30,80
2021-11,83,48~150,良,33,116,0.867,22,30,76
2021-12,65,45~93,良,28,81,0.935,23,31,70
2022-01,93,38~202,良,57,122,1.394,32,42,60
2022-02,75,41~178,良,40,86,1.043,28,29,80
2022-03,110,48~496,轻度污染,38,154,0.726,23,25,101
2022-04,97,52~380,良,36,131,0.637,21,25,108
2022-05,80,48~127,良,24,87,0.668,22,25,124
2022-06,86,49~184,良,22,79,0.583,19,21,134
2022-07,86,49~130,良,22,71,0.655,22,22,140
2022-08,70,43~115,良,19,52,0.677,16,20,121
2022-09,72,49~92,良,23,74,0.78,25,32,120
2022-10,59,28~85,良,25,67,0.723,21,30,90
2022-11,75,41~232,良,33,99,0.793,27,36,73
2022-12,76,38~164,良,31,102,0.803,23,31,70
2023-01,104,46~265,轻度污染,46,153,0.926,26,29,72
2023-02,78,36~157,良,42,103,0.95,27,35,82
2023-03,126,59~500,轻度污染,45,180,0.8,30,30,100
2023-04,159,44~500,中度污染,51,230,0.59,23,20,107
2023-05,92,52~240,良,30,113,0.526,22,18,124
2023-06,90,59~138,良,16,64,0.527,22,17,147
2023-07,91,48~240,良,22,78,0.561,20,17,139
2023-08,88,54~126,良,20,63,0.7,26,22,144
2023-09,75,46~124,良,24,71,0.733,25,27,120
2023-10,62,42~90,良,23,69,0.81,23,36,98
