month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,138,55~296,轻度污染,106,145,2.55,37,70,11
2014-01,151,58~289,中度污染,114,185,2.858,50,67,16
2014-02,109,31~201,轻度污染,81,123,2.475,50,74,39
2014-03,127,41~264,轻度污染,90,158,1.994,40,76,55
2014-04,125,41~402,轻度污染,45,179,0.807,16,45,58
2014-05,106,36~186,轻度污染,37,162,0.69,13,46,72
2014-06,80,53~134,良,35,111,0.557,14,44,94
2014-07,86,54~122,良,30,122,0.619,15,44,102
2014-08,96,54~208,良,35,141,0.729,17,51,93
2014-09,104,41~149,轻度污染,47,158,0.897,21,55,62
2014-10,97,30~155,良,55,144,1.206,24,58,35
2014-11,81,20~142,良,52,111,1.123,20,32,21
2014-12,179,38~325,中度污染,140,216,2.484,44,68,14
2015-01,154,59~302,中度污染,119,169,2.758,39,78,18
2015-02,167,45~357,中度污染,126,207,2.682,33,78,35
2015-03,96,34~236,良,65,116,1.51,19,50,44
2015-04,91,35~253,良,47,127,0.937,12,42,65
2015-05,88,35~159,良,41,126,0.781,10,40,79
2015-06,72,41~110,良,29,93,0.707,8,38,97
2015-07,86,50~119,良,33,118,0.742,9,38,123
2015-08,77,39~130,良,29,96,0.645,9,40,112
2015-09,63,30~98,良,24,77,0.65,10,36,80
2015-10,82,34~144,良,45,111,1.006,13,47,41
2015-11,97,44~204,良,69,111,1.707,11,51,17
2015-12,188,43~377,中度污染,147,220,2.845,16,72,16
2016-01,231,123~432,重度污染,185,257,3.165,28,82,16
2016-02,245,55~398,重度污染,201,287,3.448,32,90,32
2016-03,112,48~209,轻度污染,79,130,1.781,19,60,50
2016-04,65,34~151,良,24,81,0.687,9,40,64
2016-05,58,30~91,良,25,67,0.61,7,35,68
2016-06,61,45~85,良,25,67,0.527,6,37,93
2016-07,63,36~102,良,24,65,0.59,7,37,110
2016-08,66,40~95,良,26,78,0.677,10,46,103
2016-09,65,41~83,良,28,76,0.803,13,48,84
2016-10,65,27~119,良,43,68,1.055,12,44,41
2016-11,105,40~253,轻度污染,75,110,1.787,14,56,31
2016-12,181,77~347,中度污染,142,184,2.487,16,64,20
2017-01,276,169~407,重度污染,226,237,3.31,30,90,28
2017-02,217,50~405,重度污染,165,169,2.696,23,80,56
2017-03,132,67~244,轻度污染,101,113,1.606,12,55,62
2017-04,55,33~85,良,27,60,0.843,10,36,75
2017-05,63,35~103,良,24,80,0.803,9,34,92
2017-06,63,45~128,良,21,61,0.803,9,33,102
2017-07,72,53~97,良,22,73,0.845,9,36,124
2017-08,66,37~149,良,18,54,0.845,8,33,113
2017-09,67,38~101,良,23,81,0.857,9,42,98
2017-10,78,36~124,良,45,97,1.261,14,54,64
2017-11,96,37~172,良,71,105,1.583,15,52,36
2017-12,124,55~274,轻度污染,92,119,1.948,13,49,19
2018-01,171,60~298,中度污染,133,165,2.368,14,60,32
2018-02,150,62~257,轻度污染,114,136,2.157,15,62,63
2018-03,58,0~160,良,33,62,1.065,10,35,77
2018-04,68,34~117,良,24,81,0.777,8,30,99
2018-05,55,0~88,良,19,56,0.681,8,28,105
2018-06,64,0~91,良,18,50,0.637,8,28,117
2018-07,64,43~100,良,19,56,0.619,8,28,114
2018-08,62,0~87,良,18,62,0.619,8,31,111
2018-09,59,30~84,良,20,68,0.75,10,37,84
2018-10,67,33~92,良,29,82,0.916,10,43,56
2018-11,77,0~211,良,54,72,1.327,10,48,36
2018-12,138,0~288,轻度污染,106,133,1.935,11,64,29
2019-01,167,73~263,中度污染,127,167,2.148,10,64,35
2019-02,142,67~246,轻度污染,108,135,1.714,10,57,61
2019-03,105,45~240,轻度污染,72,107,1.516,9,51,77
2019-04,62,37~113,良,19,68,0.627,7,31,100
2019-05,69,39~175,良,21,73,0.529,7,29,107
2019-06,63,43~86,良,13,42,0.53,7,26,114
2019-07,75,52~95,良,17,60,0.548,8,27,129
2019-08,70,45~110,良,18,61,0.574,8,32,120
2019-09,63,39~96,良,20,72,0.63,9,35,98
2019-10,65,25~92,良,28,78,0.813,10,46,60
2019-11,79,33~175,良,51,83,1.127,10,47,36
2019-12,141,49~264,轻度污染,106,116,1.894,8,58,28
2020-01,171,75~262,中度污染,131,121,1.9,9,66,45
2020-02,107,35~281,轻度污染,80,82,1.386,9,38,85
2020-03,62,32~139,良,32,66,0.9,9,31,83
2020-04,86,35~194,良,25,116,0.62,8,28,106
2020-05,66,41~120,良,18,71,0.506,8,26,108
2020-06,66,37~104,良,17,67,0.603,8,26,110
2020-07,65,48~85,良,14,40,0.529,8,20,117
2020-08,64,39~96,良,19,30,0.532,8,11,115
2020-09,56,36~81,良,20,58,0.583,9,31,85
2020-10,69,33~139,良,34,86,0.816,10,44,64
2020-11,71,32~119,良,43,80,1.09,11,45,35
2020-12,185,68~307,中度污染,143,145,2.035,7,68,29
2021-01,143,52~271,轻度污染,108,110,1.565,7,62,46
2021-02,128,33~238,轻度污染,96,91,1.461,6,48,69
2021-03,75,35~160,良,45,56,0.939,7,37,80
2021-04,61,39~100,良,19,50,0.533,6,31,106
2021-05,87,45~439,良,16,48,0.49,6,25,118
2021-06,64,45~90,良,12,42,0.397,7,24,116
2021-07,74,39~104,良,14,47,0.458,7,25,128
2021-08,70,40~99,良,15,46,0.503,7,29,122
2021-09,66,44~96,良,18,65,0.593,9,35,104
2021-10,60,27~94,良,26,67,0.742,9,41,66
2021-11,75,35~144,良,41,95,0.92,9,42,47
2021-12,102,50~194,轻度污染,70,102,1.39,7,58,38
2022-01,152,69~288,中度污染,117,138,1.661,7,63,51
2022-02,166,50~363,中度污染,129,175,1.518,6,61,70
2022-03,54,32~99,良,28,47,0.665,6,33,77
2022-04,75,43~215,良,16,49,0.41,6,24,112
2022-05,75,37~183,良,17,46,0.377,7,17,117
2022-06,74,47~104,良,12,38,0.367,8,21,128
2022-07,72,48~110,良,13,44,0.371,7,21,126
2022-08,67,36~96,良,10,31,0.365,7,13,118
2022-09,71,24~130,良,14,55,0.423,7,16,116
2022-10,49,25~117,优,19,51,0.461,8,21,78
2022-11,51,30~90,良,30,55,0.683,7,28,59
2022-12,121,59~212,轻度污染,91,124,1.226,5,58,39
2023-01,137,32~302,轻度污染,104,146,1.355,6,61,52
2023-02,145,47~260,轻度污染,110,157,1.389,6,60,88
2023-03,81,35~199,良,43,97,0.726,7,38,89
2023-04,72,44~167,良,20,88,0.417,6,21,102
2023-05,62,43~91,良,15,49,0.365,6,19,111
2023-06,82,42~127,良,15,50,0.367,7,21,135
2023-07,77,48~104,良,13,44,0.39,6,24,130
2023-08,72,38~92,良,13,43,0.439,5,24,124
2023-09,53,33~121,良,13,45,0.417,5,26,94
2023-10,58,30~84,良,21,66,0.532,6,36,78
2023-11,59,29~82,良,33,66,0.74,6,37,40
2023-12,84,30~186,良,60,90,0.913,5,44,23
2024-01,99,48~199,良,74,105,1.052,5,52,47
2024-02,115,44~295,轻度污染,85,125,1.052,5,43,78
2024-03,66,32~130,良,38,69,0.616,5,33,90
2024-04,81,30~500,良,20,98,0.413,5,22,104
2024-05,70,38~131,良,18,61,0.371,7,19,115
2024-06,76,48~107,良,12,33,0.337,6,17,130
2024-07,79,46~101,良,11,32,0.339,6,17,134
2024-08,72,41~99,良,13,37,0.384,6,19,125
2024-09,50,30~75,优,14,39,0.42,6,23,94
2024-10,49,26~68,优,19,48,0.481,5,31,75
2024-11,68,27~128,良,46,70,0.817,5,42,45
2024-12,87,38~185,良,64,80,0.929,4,49,41
2025-01,130,36~270,轻度污染,98,123,1.203,4,58,52
2025-02,117,63~220,轻度污染,88,115,1.054,4,51,71
2025-03,58,40~84,良,29,64,0.487,5,25,91
2025-04,64,48~73,良,21,65,0.378,5,20,109
