month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,137,137~137,轻度污染,104,123,1.2,16,34,81
2015-01,145,48~259,轻度污染,110,142,1.461,28,43,33
2015-02,97,28~267,良,73,97,1.289,14,28,62
2015-03,83,45~136,良,59,89,1.087,24,36,88
2015-04,77,33~149,良,55,84,1.02,24,35,107
2015-05,80,37~151,良,40,63,0.874,22,32,129
2015-06,67,49~132,良,30,48,0.883,22,29,117
2015-07,69,32~100,良,34,52,0.903,20,29,118
2015-08,69,33~149,良,41,62,0.916,18,27,105
2015-09,54,35~127,良,35,52,0.95,15,27,69
2015-10,83,39~160,良,60,87,1.174,21,38,74
2015-11,76,34~117,良,55,78,1.213,16,34,40
2015-12,103,42~206,轻度污染,76,102,1.235,19,39,34
2016-01,96,30~182,良,71,107,1.29,17,38,45
2016-02,98,37~327,良,73,101,1.279,15,37,71
2016-03,83,30~128,良,59,99,1.261,26,44,82
2016-04,67,35~118,良,44,73,1.1,21,38,85
2016-05,75,34~169,良,43,70,0.942,18,30,120
2016-06,69,32~121,良,22,38,1.007,17,23,121
2016-07,67,39~116,良,26,42,0.829,17,24,116
2016-08,78,34~142,良,41,58,0.955,13,26,131
2016-09,55,36~84,良,33,47,0.983,16,31,89
2016-10,69,29~131,良,48,66,1.006,16,34,73
2016-11,112,35~202,轻度污染,83,120,1.193,19,39,59
2016-12,131,65~189,轻度污染,99,140,1.342,18,44,36
2017-01,162,44~408,中度污染,126,164,1.348,18,42,54
2017-02,120,50~220,轻度污染,91,123,1.186,13,40,67
2017-03,82,41~132,良,60,86,1.026,15,42,80
2017-04,75,36~137,良,45,70,0.81,15,34,115
2017-05,94,43~154,良,48,73,0.852,13,33,144
2017-06,76,31~119,良,33,50,0.83,12,29,125
2017-07,100,54~178,良,31,45,0.832,10,24,159
2017-08,65,24~100,良,23,33,0.794,5,18,115
2017-09,49,27~76,优,31,46,0.81,7,27,71
2017-10,49,25~91,优,32,45,0.835,7,30,46
2017-11,81,40~133,良,61,84,0.95,11,37,52
2017-12,121,39~225,轻度污染,80,109,1.181,12,49,26
2018-01,88,0~196,良,65,86,0.977,8,40,47
2018-02,82,0~214,良,60,85,0.771,6,30,65
2018-03,71,32~142,良,48,74,0.758,9,35,93
2018-04,75,31~125,良,45,78,0.82,8,38,113
2018-05,67,0~134,良,38,61,0.674,8,32,101
2018-06,49,29~111,优,25,37,0.74,7,27,85
2018-07,45,25~75,优,19,31,0.674,6,20,85
2018-08,51,24~78,良,28,44,0.774,6,22,94
2018-09,42,22~84,优,23,38,0.763,6,22,61
2018-10,56,24~137,良,37,58,0.845,7,31,40
2018-11,70,27~115,良,50,70,0.79,5,31,42
2018-12,82,0~192,良,59,79,0.945,6,32,26
2019-01,132,74~205,轻度污染,99,125,1.284,8,42,37
2019-02,86,33~155,良,64,78,1.018,6,28,52
2019-03,66,38~100,良,46,62,0.768,8,36,80
2019-04,70,33~145,良,35,51,0.697,8,31,116
2019-05,55,24~91,良,30,42,0.623,6,22,94
2019-06,63,28~146,良,23,34,0.67,7,22,110
2019-07,51,29~123,良,21,31,0.574,6,20,95
2019-08,70,35~150,良,26,39,0.665,7,22,119
2019-09,47,26~88,优,28,40,0.7,8,25,80
2019-10,46,27~73,优,27,40,0.71,8,29,62
2019-11,54,32~88,良,34,55,0.613,8,31,43
2019-12,94,43~169,良,69,96,0.855,9,37,42
2020-01,84,43~148,良,62,82,0.929,7,33,46
2020-02,74,33~129,良,52,69,0.759,7,19,67
2020-03,65,24~111,良,35,60,0.571,8,26,98
2020-04,62,28~120,良,31,50,0.633,6,31,102
2020-05,84,30~169,良,31,48,0.639,6,28,134
2020-06,72,30~129,良,23,37,0.717,6,23,122
2020-07,58,25~153,良,17,30,0.613,5,20,103
2020-08,55,22~115,良,18,29,0.613,4,19,98
2020-09,43,28~75,优,19,30,0.663,6,25,74
2020-10,42,25~80,优,24,40,0.645,6,29,47
2020-11,74,30~120,良,53,81,0.877,8,39,56
2020-12,80,35~217,良,59,78,0.848,6,36,25
2021-01,104,45~169,轻度污染,77,109,0.881,7,39,44
2021-02,85,24~200,良,61,83,0.832,6,27,84
2021-03,71,32~121,良,35,55,0.752,8,31,86
2021-04,53,29~126,良,26,41,0.677,7,25,86
2021-05,63,36~140,良,29,45,0.603,8,22,110
2021-06,72,25~157,良,27,44,0.747,8,25,121
2021-07,69,35~115,良,19,30,0.652,5,16,121
2021-08,63,30~157,良,16,28,0.674,6,18,111
