month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,229,229~229,重度污染,179,199,1.3,42,74,29
2014-01,120,30~245,轻度污染,88,134,1.077,50,47,29
2014-02,51,10~117,良,34,51,0.8,22,23,26
2014-03,60,15~88,良,35,72,0.813,28,27,40
2014-04,55,28~95,良,30,64,0.867,18,32,46
2014-05,74,28~133,良,43,95,0.684,24,26,51
2014-06,80,33~157,良,50,82,0.86,22,20,113
2014-07,55,20~95,良,32,60,0.603,23,17,84
2014-08,56,32~83,良,31,65,0.561,18,18,79
2014-09,65,33~114,良,40,78,0.623,23,23,89
2014-10,81,33~116,良,51,106,0.665,42,32,116
2014-11,74,24~193,良,47,91,0.847,54,36,61
2014-12,55,36~75,良,29,61,0.939,66,41,44
2015-01,93,24~191,良,67,108,1.265,52,43,51
2015-02,81,24~150,良,59,90,1.075,38,31,57
2015-03,57,27~99,良,35,64,0.881,37,28,60
2015-04,63,34~88,良,39,73,0.807,36,29,87
2015-05,92,33~220,良,65,90,0.939,43,25,104
2015-06,55,35~80,良,31,55,0.743,36,18,91
2015-07,62,37~102,良,34,56,0.742,33,17,105
2015-08,70,33~132,良,40,65,0.671,41,19,117
2015-09,70,29~107,良,40,63,0.68,40,22,116
2015-10,81,32~148,良,57,97,0.784,42,35,100
2015-11,58,33~84,良,40,55,0.83,35,35,35
2015-12,111,41~243,轻度污染,81,109,0.974,38,40,36
2016-01,99,42~208,良,71,93,0.981,33,36,38
2016-02,99,38~242,良,71,111,0.948,36,30,63
2016-03,97,32~268,良,71,104,0.923,42,36,69
2016-04,58,36~100,良,35,60,0.913,41,26,78
2016-05,72,45~109,良,44,77,0.903,41,25,109
2016-06,75,32~137,良,32,57,0.86,35,19,124
2016-07,61,22~112,良,31,57,0.735,23,15,104
2016-08,72,38~150,良,32,61,0.974,17,18,121
2016-09,77,26~134,良,42,72,0.917,22,24,125
2016-10,57,29~108,良,35,50,0.884,15,27,67
2016-11,77,23~142,良,55,80,1.057,24,37,52
2016-12,108,40~213,轻度污染,81,107,1.01,25,46,61
2017-01,114,32~273,轻度污染,74,80,1.071,22,37,58
2017-02,94,45~168,良,70,78,0.957,21,32,82
2017-03,74,45~128,良,52,63,0.761,18,31,81
2017-04,78,36~130,良,43,78,0.753,21,32,112
2017-05,92,41~136,良,41,69,0.69,21,29,136
2017-06,60,27~122,良,30,43,0.667,19,21,102
2017-07,64,23~131,良,26,56,0.623,21,18,112
2017-08,55,26~90,良,21,46,0.655,17,17,100
2017-09,66,33~115,良,27,57,0.717,17,21,107
2017-10,62,25~112,良,34,60,0.587,16,27,102
2017-11,96,40~168,良,70,97,0.85,20,42,74
2017-12,104,35~229,轻度污染,77,101,0.945,22,48,31
2018-01,94,23~196,良,69,74,0.903,13,35,44
2018-02,84,29~170,良,61,81,0.757,12,29,60
2018-03,61,32~104,良,39,65,0.606,12,30,74
2018-04,73,24~112,良,38,90,0.593,14,29,94
2018-05,55,0~113,良,26,52,0.597,11,21,100
2018-06,65,23~146,良,25,46,0.57,11,19,113
2018-07,52,28~103,良,20,42,0.523,12,18,96
2018-08,66,30~118,良,22,47,0.548,10,15,116
2018-09,70,27~128,良,27,59,0.683,13,22,119
2018-10,84,57~130,良,46,76,0.706,15,34,108
2018-11,71,29~202,良,50,63,0.687,12,35,56
2018-12,85,22~246,良,62,65,0.894,11,31,40
2019-01,111,40~222,轻度污染,83,91,0.91,11,37,44
2019-02,78,27~186,良,57,61,0.793,8,24,45
2019-03,72,41~110,良,49,73,0.597,10,35,78
2019-04,67,41~103,良,45,63,0.673,12,30,82
2019-05,75,40~100,良,40,74,0.603,13,31,114
2019-06,70,33~123,良,27,46,0.557,10,23,118
2019-07,60,27~95,良,23,44,0.561,9,18,108
2019-08,83,34~152,良,26,50,0.697,10,18,137
2019-09,94,39~132,良,37,59,0.59,11,22,151
2019-10,78,45~123,良,48,70,0.61,12,33,106
2019-11,74,28~115,良,49,79,0.637,13,41,84
2019-12,91,29~176,良,68,74,0.723,13,45,48
2020-01,81,28~142,良,59,67,0.7,9,27,50
2020-02,55,26~95,良,37,46,0.562,9,16,73
2020-03,62,28~102,良,40,59,0.539,11,26,81
2020-04,81,37~129,良,41,69,0.587,14,35,128
2020-05,73,38~143,良,32,57,0.642,13,27,120
2020-06,44,29~71,优,16,29,0.58,9,20,82
2020-07,48,25~80,优,19,33,0.626,8,18,90
2020-08,64,25~112,良,20,36,0.561,9,20,114
2020-09,69,30~130,良,30,45,0.68,9,26,117
2020-10,70,32~121,良,39,60,0.681,9,31,102
2020-11,67,24~98,良,45,68,0.67,10,35,75
2020-12,108,38~212,轻度污染,81,104,0.858,12,44,52
2021-01,86,52~162,良,57,98,0.726,10,43,46
2021-02,64,29~127,良,44,62,0.618,6,24,72
2021-03,55,33~84,良,34,52,0.7,7,30,68
2021-04,59,33~101,良,31,50,0.643,6,29,87
2021-05,59,35~104,良,25,48,0.613,8,24,100
2021-06,60,35~112,良,20,35,0.56,7,18,105
2021-07,55,26~93,良,17,32,0.494,7,15,99
2021-08,56,26~120,良,19,34,0.555,7,16,102
2021-09,75,37~114,良,23,42,0.553,8,21,127
2021-10,60,30~100,良,31,48,0.532,9,29,98
2021-11,64,25~103,良,39,66,0.567,10,40,74
2021-12,85,34~163,良,59,87,0.684,11,46,63
2022-01,91,28~170,良,67,85,0.742,8,36,58
2022-02,61,29~144,良,44,56,0.579,7,28,72
2022-03,59,27~104,良,27,48,0.565,8,32,89
2022-04,67,34~125,良,27,50,0.58,8,27,118
2022-05,71,28~114,良,29,46,0.655,7,25,118
2022-06,56,21~133,良,15,28,0.64,7,17,99
2022-07,63,24~126,良,16,28,0.713,8,16,113
2022-08,64,31~110,良,17,31,0.774,8,16,114
2022-09,94,44~145,良,27,50,0.817,11,22,151
2022-10,66,20~119,良,27,47,0.716,9,25,111
2022-11,55,23~92,良,33,53,0.863,10,31,74
2022-12,76,24~193,良,52,79,0.81,11,37,59
2023-01,77,33~163,良,55,82,0.903,9,30,71
2023-02,66,37~112,良,45,61,0.918,9,33,61
2023-03,68,29~100,良,36,72,0.768,10,36,95
2023-04,74,33~273,良,30,72,0.667,10,25,108
2023-05,68,33~105,良,26,46,0.658,10,23,115
2023-06,74,30~137,良,21,35,0.717,10,20,126
2023-07,52,25~103,良,13,25,0.661,10,16,97
2023-08,75,29~121,良,20,32,0.777,10,18,128
2023-09,62,29~96,良,23,35,0.783,10,19,110
2023-10,76,29~133,良,41,61,0.887,11,33,121
2023-11,64,29~118,良,38,68,0.763,11,35,76
2023-12,74,29~248,良,53,74,0.858,11,37,34
2024-01,84,34~168,良,61,81,0.884,10,41,61
2024-02,62,24~140,良,43,52,0.762,9,22,73
2024-03,65,33~102,良,37,63,0.784,11,32,96
2024-04,58,33~116,良,26,43,0.82,12,25,99
2024-05,76,35~128,良,24,42,0.697,12,23,128
2024-06,52,25~98,良,14,21,0.687,11,21,95
2024-07,50,22~91,良,12,20,0.6,11,15,95
2024-08,72,42~104,良,19,30,0.658,10,16,125
2024-09,74,31~113,良,23,37,0.717,11,17,126
2024-10,64,29~109,良,32,47,0.652,10,22,104
2024-11,58,28~100,良,33,53,0.653,11,30,85
2024-12,77,40~122,良,55,79,0.774,10,39,67
2025-01,86,36~204,良,62,92,0.784,10,38,81
2025-02,62,36~102,良,43,59,0.768,9,26,73
2025-03,67,36~121,良,35,55,0.632,8,28,99
2025-04,88,67~103,良,43,73,0.744,11,38,143
