month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,127,127~127,轻度污染,67,204,1,55,46,37
2014-01,124,36~312,轻度污染,94,132,1.31,44,26,52
2014-02,94,34~415,良,69,79,1.464,25,14,82
2014-03,95,59~195,良,65,90,1.784,21,19,104
2014-04,78,52~185,良,47,72,0.6,13,14,116
2014-05,123,55~324,轻度污染,54,67,0.739,17,12,169
2014-06,65,41~158,良,28,43,0.552,13,10,113
2014-07,67,28~149,良,38,51,0.842,15,6,113
2014-08,80,28~154,良,42,43,0.765,17,9,128
2014-09,64,28~105,良,35,38,1.077,18,9,110
2014-10,73,39~137,良,46,58,1.445,20,15,106
2014-11,92,44~216,良,67,82,1.541,34,21,74
2014-12,101,33~304,轻度污染,72,75,1.11,35,16,46
2015-01,97,32~307,良,72,91,1.061,42,18,51
2015-02,71,35~147,良,44,85,1.461,39,14,72
2015-03,66,40~125,良,38,78,1.468,26,14,84
2015-04,68,43~159,良,32,63,0.73,16,10,115
2015-05,62,36~101,良,22,53,0.752,17,12,109
2015-06,64,29~93,良,25,50,0.787,14,9,109
2015-07,74,31~145,良,18,38,0.716,13,9,126
2015-08,83,23~159,良,24,46,0.919,10,10,132
2015-09,74,43~116,良,18,38,0.783,12,13,128
2015-10,68,37~149,良,27,53,0.91,15,15,110
2015-11,57,26~99,良,36,63,0.843,16,16,65
2015-12,85,28~221,良,58,106,1.829,26,15,52
2016-01,70,25~175,良,44,87,1.329,30,20,48
2016-02,63,28~166,良,39,75,1.59,29,15,64
2016-03,62,32~147,良,32,76,1.287,22,13,86
2016-04,80,43~260,良,33,99,1.193,17,16,107
2016-05,77,41~120,良,25,59,0.974,17,18,130
2016-06,81,40~163,良,18,41,0.61,14,11,135
2016-07,74,27~139,良,17,37,0.784,13,8,126
2016-08,66,28~171,良,14,31,0.539,9,8,114
2016-09,79,36~144,良,25,46,0.567,8,12,133
2016-10,58,29~98,良,27,44,0.532,6,21,101
2016-11,63,33~111,良,39,70,0.853,11,29,75
2016-12,72,32~150,良,47,84,1.303,15,34,69
2017-01,74,36~175,良,48,83,1.484,16,30,74
2017-02,61,42~123,良,34,64,0.871,14,23,95
2017-03,68,48~105,良,35,64,0.735,13,30,117
2017-04,85,54~135,良,27,65,0.72,10,28,141
2017-05,92,42~168,良,23,72,0.648,8,19,143
2017-06,69,39~165,良,19,39,0.627,7,18,120
2017-07,73,31~207,良,22,40,1.597,3,12,116
2017-08,60,25~127,良,12,25,0.745,6,13,105
2017-09,75,37~133,良,19,42,0.64,8,13,129
2017-10,50,28~92,优,19,40,0.745,10,14,92
2017-11,54,31~102,良,26,59,0.933,12,15,81
2017-12,59,25~108,良,37,69,1.361,15,24,40
2018-01,61,34~117,良,35,72,1.342,14,25,72
2018-02,59,39~103,良,30,61,1.096,12,19,97
2018-03,67,43~139,良,25,49,0.781,9,16,119
2018-04,76,46~125,良,23,57,0.837,8,15,128
2018-05,83,46~161,良,19,43,0.774,6,13,138
2018-06,84,46~183,良,18,32,0.677,5,10,139
2018-07,43,19~115,优,12,24,0.568,5,8,82
2018-08,69,24~137,良,12,33,0.684,8,15,117
2018-09,76,34~135,良,17,36,0.733,10,25,130
2018-10,68,32~108,良,21,43,0.845,8,29,119
2018-11,72,33~226,良,37,86,1.163,8,34,88
2018-12,58,34~108,良,30,69,1.152,9,30,61
2019-01,75,40~132,良,45,95,1.59,13,38,72
2019-02,74,38~156,良,43,89,1.244,9,25,101
2019-03,68,43~132,良,33,73,0.961,7,24,111
2019-04,64,44~134,良,20,56,0.74,5,17,108
2019-05,83,44~154,良,19,54,0.739,6,17,135
2019-06,65,43~109,良,15,30,0.557,5,10,117
2019-07,63,37~94,良,18,32,0.697,5,9,115
2019-08,58,22~137,良,12,29,0.742,7,15,105
2019-09,68,38~110,良,17,41,0.733,7,22,120
2019-10,65,34~139,良,25,66,0.765,7,25,103
2019-11,51,27~75,良,20,58,0.763,7,25,64
2019-12,62,30~138,良,37,70,1.11,8,34,57
2020-01,64,32~145,良,41,71,1.545,11,27,72
2020-02,54,35~134,良,27,47,1.748,9,13,88
2020-03,56,40~102,良,21,46,0.813,9,18,101
2020-04,69,43~98,良,26,54,0.813,8,20,121
2020-05,68,44~112,良,14,31,0.755,5,14,120
2020-06,82,41~157,良,15,32,0.753,5,10,138
2020-07,63,23~151,良,13,25,0.648,5,10,112
2020-08,49,24~131,优,11,22,0.587,4,9,91
2020-09,62,41~119,良,14,30,0.68,7,19,113
2020-10,55,32~87,良,21,45,0.758,7,26,96
2020-11,49,26~96,优,21,50,0.827,7,28,71
2020-12,70,30~134,良,47,72,1.313,9,37,59
2021-01,69,32~133,良,42,77,1.171,9,32,66
2021-02,55,36~114,良,33,50,0.796,7,22,88
2021-03,79,38~296,良,38,88,0.768,7,26,102
2021-04,71,41~137,良,21,48,0.617,6,20,119
2021-05,79,33~160,良,21,57,0.581,6,16,125
2021-06,67,31~123,良,16,29,0.55,5,12,116
2021-07,45,0~98,优,10,18,0.426,4,9,85
2021-08,65,24~110,良,15,24,0.652,6,12,114
2021-09,61,0~100,良,12,27,0.68,5,15,115
2021-10,57,30~117,良,22,35,0.619,5,23,100
2021-11,28,0~88,优,13,24,0.38,3,17,42
2021-12,32,0~76,优,14,33,0.513,4,23,35
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
