month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,115,115~115,轻度污染,87,150,1.6,42,52,102
2014-01,94,28~230,良,63,87,2.155,29,39,108
2014-02,51,25~93,良,30,50,1.729,16,20,58
2014-03,48,15~94,优,24,46,1.732,15,27,53
2014-04,47,22~93,优,25,42,1.85,11,19,69
2014-05,45,20~101,优,19,41,1.71,10,19,64
2014-06,64,28~169,良,23,43,0.857,13,16,107
2014-07,48,22~88,优,17,30,1.019,13,15,89
2014-08,46,19~127,优,23,37,1.119,19,16,79
2014-09,54,19~108,良,33,53,1.417,21,20,90
2014-10,88,44~143,良,59,88,1.552,26,28,137
2014-11,59,18~106,良,40,60,1.903,25,26,78
2014-12,55,21~97,良,31,65,1.158,35,27,60
2015-01,75,18~158,良,49,81,1.303,28,38,69
2015-02,68,21~137,良,49,68,1.443,21,31,57
2015-03,46,16~91,优,32,44,1.229,15,34,29
2015-04,49,13~127,优,30,50,1.163,15,21,69
2015-05,40,21~81,优,24,36,0.948,11,18,47
2015-06,34,22~52,优,15,35,0.9,11,11,33
2015-07,43,22~76,优,23,43,1.081,15,14,46
2015-08,57,34~108,良,33,63,0.932,21,20,70
2015-09,59,28~107,良,37,63,1.083,18,21,61
2015-10,72,27~134,良,51,78,1.029,22,25,59
2015-11,59,26~107,良,38,61,1.097,17,29,41
2015-12,49,22~104,优,29,49,1.268,22,29,24
2016-01,53,27~104,良,32,46,1.403,21,33,23
2016-02,51,20~159,良,34,42,1.028,20,19,40
2016-03,62,16~124,良,40,56,1.094,19,35,35
2016-04,50,29~124,优,33,46,0.963,16,24,32
2016-05,56,30~104,良,34,51,0.748,13,20,67
2016-06,42,28~63,优,22,41,0.843,14,23,66
2016-07,47,27~116,优,22,44,0.897,17,19,73
2016-08,60,27~135,良,32,56,1,20,27,93
2016-09,59,29~117,良,32,56,1.097,19,30,98
2016-10,45,23~70,优,19,32,0.945,10,27,77
2016-11,66,20~147,良,45,69,1.06,12,36,74
2016-12,85,44~132,良,62,90,1.094,17,47,93
2017-01,88,27~297,良,64,79,1.152,12,35,83
2017-02,66,27~101,良,47,59,0.871,13,28,88
2017-03,63,25~98,良,37,61,1.042,13,38,63
2017-04,62,30~114,良,34,55,0.863,12,27,90
2017-05,67,35~166,良,32,55,0.852,11,29,106
2017-06,38,25~55,优,17,34,0.733,9,17,64
2017-07,55,20~132,良,25,45,0.787,15,24,91
2017-08,47,25~75,优,22,41,0.748,13,24,76
2017-09,68,25~170,良,36,63,0.93,17,33,107
2017-10,61,18~133,良,37,60,0.89,16,34,102
2017-11,58,21~112,良,39,56,0.983,14,36,64
2017-12,76,20~132,良,52,70,0.961,18,45,59
2018-01,83,24~185,良,60,71,0.91,15,43,70
2018-02,57,20~99,良,40,53,0.704,11,24,69
2018-03,56,26~123,良,32,51,0.671,11,29,87
