month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,119,119~119,轻度污染,90,48,2.4,80,74,19
2015-01,104,29~252,轻度污染,76,104,2.232,48,50,36
2015-02,92,39~191,良,59,122,2.089,43,41,76
2015-03,60,27~124,良,36,67,1.442,17,27,71
2015-04,71,29~221,良,38,83,0.743,13,27,93
2015-05,76,40~184,良,39,98,0.565,10,27,105
2015-06,60,32~101,良,28,63,0.507,8,23,93
2015-07,71,42~110,良,38,86,0.503,10,29,112
2015-08,73,36~145,良,31,93,0.574,11,28,102
2015-09,59,26~145,良,32,70,0.62,9,22,76
2015-10,81,26~203,良,53,104,1.332,12,29,56
2015-11,95,30~228,良,69,97,1.64,13,33,30
2015-12,233,38~479,重度污染,197,241,2.365,23,57,23
2016-01,240,147~369,重度污染,193,241,2.581,34,56,45
2016-02,273,58~424,重度污染,225,287,3,38,60,110
2016-03,129,33~288,轻度污染,95,117,1.574,20,31,78
2016-04,59,34~193,良,27,68,0.673,12,22,85
2016-05,51,35~70,良,19,44,0.529,9,18,91
2016-06,62,42~85,良,21,48,0.633,8,18,112
2016-07,69,41~105,良,20,51,0.619,5,19,121
2016-08,70,42~135,良,30,61,0.7,11,23,111
2016-09,71,0~108,良,33,93,0.803,13,29,94
2016-10,66,27~209,良,40,78,0.916,11,25,55
2016-11,102,22~268,轻度污染,74,114,1.303,18,30,36
2016-12,170,68~325,中度污染,133,208,2.106,19,43,23
2017-01,320,137~500,严重污染,268,341,3.261,37,73,31
2017-02,254,32~397,重度污染,209,299,2.957,26,58,49
2017-03,115,50~360,轻度污染,82,135,1.506,13,30,62
2017-04,57,31~90,良,24,64,1.18,10,27,75
2017-05,65,30~149,良,23,59,0.858,9,27,95
2017-06,65,32~96,良,19,58,0.84,9,26,113
2017-07,73,49~115,良,19,64,0.687,8,29,125
2017-08,62,38~143,良,15,53,0.745,8,28,105
2017-09,66,30~104,良,23,81,0.823,9,34,99
2017-10,84,26~146,良,49,113,1.339,15,48,65
2017-11,97,31~299,良,68,116,1.52,15,45,45
2017-12,136,56~315,轻度污染,103,146,2.097,16,44,17
2018-01,242,0~500,重度污染,211,290,2.826,20,59,31
2018-02,198,0~402,中度污染,164,216,2.379,21,47,58
2018-03,59,0~172,良,35,67,1.135,14,24,58
2018-04,61,0~128,良,22,72,0.827,11,23,101
2018-05,54,0~84,良,17,48,0.503,9,19,109
2018-06,69,39~90,良,17,50,0.497,10,20,119
2018-07,69,43~102,良,15,49,0.41,10,16,121
2018-08,61,0~91,良,15,55,0.481,11,20,114
2018-09,52,0~88,良,16,53,0.75,12,27,91
2018-10,60,0~118,良,31,73,0.981,11,32,65
2018-11,82,0~250,良,60,77,1.31,11,34,46
2018-12,199,0~446,中度污染,160,235,2.381,10,59,34
2019-01,223,31~416,重度污染,179,255,2.358,11,49,47
2019-02,173,34~282,中度污染,134,176,1.625,11,33,77
2019-03,127,37~306,轻度污染,94,136,1.7,9,29,81
2019-04,63,37~226,良,24,58,0.727,9,21,98
2019-05,80,40~500,良,39,64,0.613,7,22,109
2019-06,61,44~80,良,12,36,0.477,7,19,111
2019-07,71,48~93,良,17,51,0.458,9,20,124
2019-08,65,41~104,良,19,59,0.523,9,24,114
2019-09,60,33~90,良,19,64,0.523,11,29,96
2019-10,65,29~105,良,30,83,0.777,12,37,67
2019-11,95,24~261,良,64,111,1.17,12,39,39
2019-12,199,49~341,中度污染,158,223,2,10,51,27
2020-01,265,124~468,重度污染,217,293,2.342,14,58,55
2020-02,144,35~333,轻度污染,112,128,1.831,15,25,101
2020-03,71,35~351,良,42,55,0.965,10,22,84
2020-04,102,42~446,轻度污染,26,131,0.557,10,24,110
2020-05,68,45~119,良,20,78,0.445,10,20,106
2020-06,66,36~156,良,19,70,0.443,10,16,104
2020-07,59,45~82,良,14,41,0.465,8,13,109
2020-08,56,39~87,良,12,33,0.426,9,8,105
2020-09,54,35~76,良,15,55,0.55,10,20,87
2020-10,68,35~139,良,31,84,0.823,12,33,68
2020-11,75,23~124,良,44,91,1.127,14,35,40
2020-12,258,80~458,重度污染,210,285,2.494,9,65,31
2021-01,230,74~359,重度污染,187,250,2.197,12,54,45
2021-02,177,39~370,中度污染,141,202,1.739,10,32,89
2021-03,82,38~222,良,51,69,0.968,7,21,89
2021-04,62,34~110,良,21,55,0.583,7,23,103
2021-05,95,46~500,良,19,51,0.587,7,21,116
2021-06,63,46~84,良,16,44,0.403,8,20,114
2021-07,70,38~98,良,18,56,0.365,10,19,122
2021-08,70,40~99,良,17,50,0.287,12,26,122
2021-09,65,38~95,良,20,65,0.333,9,29,104
2021-10,63,24~116,良,30,80,0.658,9,32,67
2021-11,86,24~192,良,55,104,1.067,6,29,40
2021-12,189,43~305,中度污染,136,213,1.752,5,54,37
2022-01,244,84~388,重度污染,198,279,2.368,5,57,37
2022-02,250,57~461,重度污染,207,267,2.104,8,43,81
2022-03,61,26~186,良,36,55,0.823,6,19,73
2022-04,71,45~140,良,22,85,0.58,7,24,106
2022-05,72,40~142,良,23,79,0.494,7,20,115
2022-06,67,43~96,良,16,44,0.487,7,20,120
2022-07,65,45~97,良,18,53,0.503,8,19,117
2022-08,58,27~98,良,13,38,0.429,7,13,105
2022-09,67,25~170,良,18,72,0.457,8,20,102
2022-10,52,26~103,良,20,60,0.748,10,17,68
2022-11,62,23~152,良,41,67,0.857,10,21,46
2022-12,182,79~334,中度污染,142,190,1.7,7,50,39
2023-01,230,39~447,重度污染,185,225,1.906,9,55,60
2023-02,186,41~346,中度污染,146,185,1.879,8,35,113
2023-03,94,40~240,良,56,103,0.852,8,23,95
2023-04,71,43~161,良,22,86,0.42,6,13,99
2023-05,64,46~105,良,19,57,0.419,7,10,112
2023-06,75,40~114,良,22,60,0.46,8,14,126
2023-07,73,40~119,良,18,55,0.419,8,20,123
2023-08,72,35~93,良,17,53,0.439,9,20,122
2023-09,52,34~113,良,15,49,0.427,8,22,90
2023-10,66,33~115,良,24,83,0.574,6,28,71
2023-11,61,32~89,良,37,69,0.787,5,23,34
2023-12,120,20~256,轻度污染,90,120,1.113,5,27,20
2024-01,142,30~247,轻度污染,107,138,1.316,8,35,49
2024-02,150,38~332,轻度污染,115,155,1.348,10,25,89
2024-03,73,35~153,良,45,74,0.758,10,19,93
2024-04,79,31~481,良,20,87,0.413,7,14,97
2024-05,70,38~151,良,25,71,0.303,7,12,109
2024-06,72,54~94,良,16,45,0.287,7,13,124
2024-07,76,45~99,良,15,41,0.323,6,12,129
2024-08,69,44~101,良,17,47,0.339,5,13,121
2024-09,50,28~82,优,15,42,0.347,7,17,92
2024-10,56,26~89,良,24,64,0.452,6,26,73
2024-11,80,22~166,良,56,84,0.833,6,28,41
