month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,53,53~53,良,28,56,0.6,33,48,60
2015-01,104,54~203,轻度污染,77,96,1.2,36,43,53
2015-02,92,49~156,良,68,91,1.157,33,30,69
2015-03,76,41~130,良,53,72,1.277,30,31,71
2015-04,77,44~188,良,53,73,1.16,27,35,85
2015-05,73,50~99,良,50,81,0.681,36,19,74
2015-06,82,31~182,良,54,85,0.66,34,20,91
2015-07,61,44~100,良,41,63,0.384,31,25,66
2015-08,70,40~118,良,47,72,0.632,42,39,85
2015-09,85,44~135,良,61,93,0.91,33,42,87
2015-10,116,50~238,轻度污染,80,123,1.229,47,63,135
2015-11,91,42~168,良,61,86,1.21,40,40,84
2015-12,118,58~270,轻度污染,83,115,1.717,52,63,78
2016-01,111,48~236,轻度污染,80,114,1.445,37,59,56
2016-02,93,37~152,良,63,87,1.297,37,50,81
2016-03,86,46~148,良,55,80,0.884,32,38,120
2016-04,89,50~158,良,61,96,0.813,22,28,109
2016-05,86,60~121,良,48,82,0.781,28,33,131
2016-06,72,39~119,良,34,48,0.85,20,29,117
2016-07,64,0~100,良,35,44,1.013,14,25,110
2016-08,80,45~131,良,39,59,1.313,17,24,127
2016-09,71,38~122,良,41,68,1.317,30,37,106
2016-10,66,25~149,良,43,68,1.155,20,29,61
2016-11,103,40~240,轻度污染,76,113,1.157,30,35,78
2016-12,158,59~326,中度污染,121,160,1.406,39,47,73
2017-01,142,64~280,轻度污染,108,159,1.448,30,36,72
2017-02,142,62~266,轻度污染,107,161,1.157,30,37,100
2017-03,94,44~170,良,67,112,0.813,28,33,113
2017-04,88,57~145,良,50,98,0.857,18,24,129
2017-05,112,50~397,轻度污染,33,73,0.858,13,19,148
2017-06,120,55~205,轻度污染,39,76,0.857,13,19,180
2017-07,84,35~133,良,27,60,0.997,11,20,134
2017-08,85,40~126,良,28,55,1.058,15,17,142
2017-09,78,32~114,良,38,65,0.95,18,24,126
2017-10,88,31~220,良,63,89,1.103,24,40,104
2017-11,109,52~198,轻度污染,81,122,1.093,28,52,88
2017-12,155,60~334,中度污染,115,161,1.3,29,56,37
2018-01,145,57~315,轻度污染,110,149,1.023,18,41,59
2018-02,113,0~370,轻度污染,85,121,0.871,17,27,73
2018-03,91,48~152,良,65,95,0.745,13,27,101
2018-04,70,0~134,良,38,81,0.623,10,23,119
2018-05,68,0~140,良,36,61,0.59,10,17,131
2018-06,116,60~157,轻度污染,33,64,0.543,10,16,177
2018-07,58,20~115,良,20,39,0.461,9,13,104
2018-08,65,31~115,良,27,49,0.684,10,11,114
2018-09,70,34~111,良,32,63,0.78,14,21,116
2018-10,84,56~143,良,45,92,0.681,12,39,119
2018-11,88,0~259,良,65,93,0.957,8,37,71
2018-12,108,48~232,轻度污染,77,119,0.965,9,43,40
2019-01,143,57~279,轻度污染,108,138,1.2,10,43,54
2019-02,136,52~372,轻度污染,104,128,0.811,7,27,82
2019-03,85,54~147,良,57,94,0.477,7,28,109
2019-04,74,32~125,良,40,77,0.627,8,21,118
2019-05,89,47~136,良,29,75,0.768,10,16,142
2019-06,113,60~173,轻度污染,27,53,0.747,7,12,173
2019-07,88,50~151,良,23,38,0.739,5,14,144
2019-08,72,23~133,良,20,36,0.719,7,11,123
2019-09,94,47~140,良,31,61,0.807,11,19,150
2019-10,88,32~318,良,51,101,0.797,7,33,104
2019-11,109,38~168,轻度污染,74,132,0.803,9,43,86
2019-12,109,53~178,轻度污染,81,119,0.919,8,41,57
2020-01,152,52~273,中度污染,116,150,1.052,7,30,68
2020-02,85,38~152,良,62,82,0.672,6,14,84
2020-03,81,42~137,良,51,89,0.548,7,22,99
2020-04,88,54~140,良,43,80,0.417,8,21,137
2020-05,96,41~165,良,32,71,0.487,7,15,152
2020-06,91,39~155,良,22,53,0.383,4,13,146
2020-07,77,42~146,良,19,34,0.539,5,13,130
2020-08,63,26~119,良,18,38,0.635,5,14,113
2020-09,83,53~137,良,32,62,0.553,9,24,139
2020-10,75,0~144,良,52,99,0.626,9,40,90
2020-11,74,0~129,良,52,96,0.61,8,30,75
2020-12,87,0~216,良,62,98,0.703,9,35,59
2021-01,107,0~261,轻度污染,60,92,0.745,8,33,61
2021-02,76,40~124,良,46,82,0.582,6,16,90
2021-03,96,36~500,良,37,66,0.587,6,20,88
2021-04,78,42~268,良,33,72,0.48,7,18,106
2021-05,87,26~444,良,25,48,0.558,8,13,121
2021-06,104,36~160,轻度污染,20,53,0.617,7,12,162
2021-07,56,27~142,良,10,21,0.587,4,6,103
2021-08,64,31~102,良,19,36,0.713,4,8,114
2021-09,68,29~114,良,20,42,0.587,4,9,117
2021-10,72,16~140,良,43,78,0.639,6,24,102
2021-11,94,27~202,良,62,111,0.68,9,31,82
2021-12,94,35~217,良,67,107,0.706,6,30,63
2022-01,130,52~189,轻度污染,98,134,0.958,5,27,63
2022-02,71,46~113,良,50,77,0.5,5,15,88
2022-03,86,35~187,良,33,51,0.494,6,17,95
2022-04,76,49~101,良,35,65,0.507,7,13,125
2022-05,87,52~126,良,26,48,0.39,8,10,140
2022-06,111,40~193,轻度污染,18,51,0.503,7,9,171
2022-07,67,33~115,良,13,25,0.513,6,7,119
2022-08,67,30~102,良,16,31,0.632,8,8,117
2022-09,89,45~133,良,29,57,0.507,9,13,144
2022-10,71,20~122,良,42,68,0.51,7,21,110
2022-11,73,30~134,良,51,75,0.623,6,21,73
2022-12,106,54~244,轻度污染,71,120,0.61,7,23,63
2023-01,125,37~237,轻度污染,92,142,0.761,8,22,76
2023-02,79,39~133,良,56,86,0.536,7,18,81
2023-03,105,33~500,轻度污染,54,154,0.5,10,17,111
2023-04,111,37~500,轻度污染,40,129,0.45,9,12,120
2023-05,72,18~99,良,24,51,0.487,6,10,119
2023-06,99,34~191,良,20,44,0.547,6,10,155
2023-07,65,27~121,良,12,26,0.626,4,7,114
2023-08,79,46~119,良,20,37,0.648,8,9,134
2023-09,78,40~123,良,27,42,0.6,9,12,131
2023-10,84,40~148,良,52,79,0.535,12,28,131
2023-11,73,36~135,良,41,85,0.6,9,28,78
2023-12,85,36~190,良,56,100,0.681,7,27,36
2024-01,105,35~195,轻度污染,77,118,0.884,7,30,65
2024-02,89,36~279,良,65,90,0.766,7,14,91
2024-03,78,48~126,良,43,98,0.577,9,17,103
2024-04,79,37~107,良,33,77,0.52,10,14,127
2024-05,106,48~152,轻度污染,31,71,0.419,9,10,162
2024-06,116,59~155,轻度污染,24,57,0.477,5,12,177
2024-07,58,25~97,良,12,18,0.506,2,6,104
2024-08,69,37~111,良,18,34,0.526,9,8,121
2024-09,63,29~115,良,21,37,0.513,7,11,109
2024-10,79,36~128,良,50,81,0.481,7,21,115
2024-11,71,35~159,良,43,77,0.503,5,23,80
2024-12,84,45~172,良,57,102,0.613,6,33,61
2025-01,100,47~274,轻度污染,71,118,0.694,7,27,79
2025-02,79,46~134,良,51,91,0.525,7,19,86
2025-03,78,37~149,良,41,92,0.4,5,16,109
2025-04,79,56~94,良,37,91,0.467,7,13,130
