month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2021-12,101,77~122,轻度污染,75,109,1.65,15,57,90
2022-01,115,39~218,轻度污染,86,109,1.545,8,33,67
2022-02,76,36~158,良,55,72,1.239,7,20,85
2022-03,74,30~215,良,39,91,1.054,7,19,96
2022-04,70,30~115,良,29,54,1.157,7,10,121
2022-05,91,46~142,良,38,58,0.783,7,11,146
2022-06,71,32~166,良,18,29,1.172,6,6,120
2022-07,54,24~100,良,16,27,0.937,6,8,100
2022-08,62,33~97,良,18,33,0.873,7,7,113
2022-09,93,52~151,良,36,70,0.79,8,16,148
2022-10,77,22~139,良,45,72,0.923,8,17,114
2022-11,64,26~98,良,39,68,1.025,7,26,82
2022-12,98,51~193,良,68,114,1.124,8,33,65
2023-01,133,34~262,轻度污染,100,154,0.959,8,28,81
2023-02,85,23~158,良,62,96,0.856,7,25,69
2023-03,91,35~166,良,53,112,0.69,8,20,103
2023-04,81,34~289,良,34,91,0.659,7,14,115
2023-05,67,37~104,良,28,51,0.637,7,10,115
2023-06,73,35~124,良,22,38,0.621,6,9,125
2023-07,53,29~88,良,14,26,0.658,6,6,101
2023-08,76,38~116,良,19,39,0.73,7,9,130
2023-09,58,22~101,良,16,36,0.631,6,11,103
2023-10,76,30~165,良,43,78,0.716,7,23,114
2023-11,73,43~128,良,38,90,0.735,7,27,85
2023-12,72,22~195,良,47,86,0.821,7,28,68
2024-01,76,22~134,良,53,97,0.886,7,30,69
2024-02,68,26~142,良,46,72,0.75,7,13,81
2024-03,73,39~100,良,38,78,0.755,8,17,103
2024-04,65,27~107,良,28,60,0.807,6,13,108
2024-05,90,49~144,良,27,74,0.771,7,10,143
2024-06,66,22~115,良,13,32,0.737,7,7,116
2024-07,47,24~69,优,10,31,0.842,6,6,90
2024-08,65,36~95,良,20,41,0.865,7,9,116
2024-09,83,38~152,良,26,51,0.911,8,11,136
2024-10,77,20~129,良,38,73,0.973,7,20,121
2024-11,58,20~98,良,32,61,0.79,7,23,88
2024-12,59,40~94,良,38,66,0.956,8,28,67
