month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2015-01,55,28~86,良,33,63,0.581,17,26,55
2015-02,58,34~194,良,24,66,0.607,10,23,77
2015-03,55,36~98,良,23,55,0.552,7,16,98
2015-04,54,33~95,良,21,50,0.47,5,13,96
2015-05,40,27~62,优,17,33,0.352,5,10,77
2015-06,48,31~62,优,29,44,0.55,6,11,60
2015-07,53,34~64,良,35,48,0.6,6,11,58
2015-08,55,36~94,良,37,48,0.455,5,10,61
2015-09,40,17~63,优,18,41,0.437,7,10,50
2015-10,56,22~117,良,35,60,0.516,12,18,69
2015-11,55,23~248,良,32,57,0.693,13,25,53
2015-12,49,20~97,优,26,48,0.823,14,31,35
2016-01,51,23~101,良,29,49,0.897,14,25,50
2016-02,46,31~77,优,25,42,0.566,13,23,71
2016-03,45,36~75,优,16,33,0.49,9,16,85
2016-04,49,33~80,优,14,35,0.4,7,14,90
2016-05,51,26~119,良,13,31,0.361,15,13,94
2016-06,32,14~56,优,7,21,0.423,11,10,63
2016-07,34,12~77,优,5,19,0.513,6,4,66
2016-08,24,10~58,优,4,17,0.503,6,8,45
2016-09,28,15~66,优,11,22,0.65,5,11,47
2016-10,38,19~109,优,19,30,0.668,6,13,57
2016-11,55,25~108,良,37,52,0.527,9,24,52
2016-12,57,24~94,良,40,56,0.465,12,25,42
2017-01,72,25~139,良,52,69,0.652,13,27,46
2017-02,45,34~98,优,23,36,0.421,11,17,79
2017-03,45,39~57,优,14,26,0.361,8,14,91
2017-04,51,35~106,良,20,37,0.447,9,10,97
2017-05,63,25~137,良,15,35,0.423,8,9,105
2017-06,40,16~91,优,10,20,0.45,7,10,77
2017-07,42,22~77,优,11,22,0.503,8,9,81
2017-08,31,12~73,优,12,21,0.555,8,7,59
2017-09,27,15~55,优,11,20,0.453,8,9,53
2017-10,45,22~108,优,27,37,0.571,8,16,67
2017-11,57,23~223,良,38,52,0.57,9,18,52
2017-12,52,20~97,良,34,48,0.613,11,23,29
2018-01,61,25~107,良,43,58,0.597,13,21,50
2018-02,55,34~109,良,37,55,0.561,10,18,68
2018-03,53,41~80,良,25,43,0.455,8,14,97
2018-04,57,40~91,良,21,40,0.35,5,11,104
2018-05,51,22~93,良,13,26,0.316,5,11,97
2018-06,42,17~123,优,11,20,0.32,5,8,79
2018-07,36,13~92,优,11,19,0.452,5,11,69
2018-08,26,19~36,优,11,20,0.381,5,9,47
2018-09,30,16~52,优,13,27,0.42,5,14,54
2018-10,40,18~72,优,15,42,0.374,6,18,56
2018-11,42,23~87,优,22,44,0.51,8,19,46
2018-12,44,26~71,优,26,46,0.516,8,15,49
2019-01,48,26~132,优,31,49,0.758,8,21,50
2019-02,72,32~345,良,52,72,0.568,8,19,70
2019-03,49,32~212,优,24,42,0.487,7,16,81
2019-04,51,26~86,良,18,40,0.407,8,14,95
2019-05,44,22~102,优,16,32,0.439,7,11,80
2019-06,35,13~102,优,13,22,0.49,6,9,66
2019-07,36,15~62,优,12,24,0.632,6,10,70
2019-08,25,10~44,优,10,16,0.545,7,8,45
2019-09,34,16~80,优,10,18,0.48,7,9,66
2019-10,42,22~123,优,17,37,0.548,8,14,69
2019-11,30,21~49,优,17,26,0.543,8,12,51
2019-12,55,26~102,良,39,47,0.855,11,22,40
2020-01,85,35~188,良,62,69,1.006,12,27,52
2020-02,46,30~109,优,29,35,0.759,8,12,71
2020-03,44,32~78,优,20,30,0.674,7,11,83
2020-04,45,24~117,优,19,27,0.46,6,13,84
2020-05,49,23~106,优,15,24,0.419,7,13,92
2020-06,27,14~65,优,9,16,0.457,6,11,53
2020-07,44,29~101,优,13,22,0.49,8,11,85
2020-08,27,12~58,优,10,16,0.413,8,9,53
2020-09,26,12~52,优,10,19,0.533,7,12,46
2020-10,33,18~104,优,15,32,0.584,9,15,55
2020-11,33,22~87,优,18,32,0.503,9,16,45
2020-12,40,25~67,优,25,40,0.619,10,19,42
2021-01,69,33~98,良,50,58,0.845,13,21,48
2021-02,51,32~94,良,36,43,0.671,11,15,70
2021-03,47,36~84,优,26,39,0.71,9,14,81
2021-04,59,36~192,良,29,43,0.613,9,13,98
2021-05,51,29~104,良,14,26,0.555,8,10,95
2021-06,50,26~99,良,10,18,0.523,7,10,95
2021-07,41,22~54,优,11,19,0.626,9,9,81
2021-08,31,13~54,优,9,16,0.51,7,7,61
2021-09,30,18~61,优,10,21,0.67,7,10,57
2021-10,35,23~93,优,17,32,0.652,7,14,60
2021-11,41,25~72,优,26,39,0.723,8,18,46
2021-12,50,25~79,优,35,45,0.842,9,20,45
2022-01,58,36~97,良,41,51,0.771,7,22,46
2022-02,53,33~83,良,36,44,0.65,7,15,78
2022-03,46,39~60,优,18,30,0.584,6,11,91
2022-04,58,38~189,良,24,48,0.577,5,9,99
2022-05,48,21~87,优,12,22,0.4,6,9,92
2022-06,40,28~55,优,9,15,0.34,6,8,79
2022-07,35,17~53,优,7,13,0.345,6,8,69
2022-08,29,16~47,优,8,12,0.448,5,7,57
2022-09,36,22~84,优,10,20,0.48,6,9,68
2022-10,34,20~60,优,17,29,0.539,6,12,57
2022-11,50,23~114,优,35,47,0.7,6,14,47
2022-12,50,27~94,优,34,45,0.677,7,14,55
2023-01,60,35~108,良,43,53,0.845,8,17,56
2023-02,57,35~115,良,39,50,0.686,8,16,78
2023-03,65,35~470,良,30,61,0.61,7,13,92
2023-04,57,40~122,良,24,49,0.613,6,12,96
2023-05,58,31~129,良,15,37,0.481,7,9,101
2023-06,50,33~118,优,9,17,0.367,8,10,94
