month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,75,75~75,良,53,99,3.5,46,66,45
2015-01,104,49~226,轻度污染,77,108,3.471,38,51,39
2015-02,85,39~206,良,60,91,2.757,35,44,60
2015-03,54,30~82,良,29,60,1.587,23,27,75
2015-04,70,44~133,良,32,88,1.011,12,22,97
2015-05,61,42~124,良,22,64,0.887,6,14,101
2015-06,61,39~90,良,19,57,0.683,6,18,106
2015-07,70,43~124,良,29,71,0.981,6,26,118
2015-08,60,39~87,良,27,65,1.239,8,26,99
2015-09,58,27~108,良,29,65,0.977,8,27,81
2015-10,66,22~112,良,38,83,1.603,14,36,55
2015-11,80,35~180,良,54,82,2.773,24,43,36
2015-12,91,33~140,良,64,77,3.706,34,46,44
2016-01,125,43~244,轻度污染,94,108,3.848,35,55,43
2016-02,101,43~158,轻度污染,71,95,3.445,59,51,77
2016-03,56,28~76,良,29,60,1.5,25,30,76
2016-04,55,37~73,良,23,50,1.027,11,25,98
2016-05,60,38~80,良,15,40,0.926,7,20,108
2016-06,69,38~104,良,20,48,0.857,5,21,120
2016-07,72,45~118,良,18,42,1.068,4,19,124
2016-08,67,44~106,良,22,61,1.281,9,27,118
2016-09,65,47~81,良,27,72,1.197,11,29,100
2016-10,61,29~143,良,39,67,1.439,23,38,56
2016-11,96,37~229,良,69,91,2.417,34,47,48
2016-12,88,30~228,良,64,83,3.071,37,49,34
2017-01,149,52~322,轻度污染,114,132,4.381,49,72,53
2017-02,126,40~223,轻度污染,95,113,3.239,43,56,69
2017-03,68,34~123,良,46,73,1.635,22,32,70
2017-04,46,30~73,优,22,45,1.14,14,25,83
2017-05,62,41~80,良,29,56,0.897,13,23,109
2017-06,67,47~85,良,22,46,0.923,12,20,119
2017-07,91,70~113,良,26,59,0.981,12,24,149
2017-08,79,55~96,良,24,55,0.958,11,26,135
2017-09,73,35~87,良,34,91,1.103,12,35,116
2017-10,78,34~126,良,53,107,1.903,19,44,79
2017-11,75,35~121,良,54,94,2.243,28,44,50
2017-12,125,19~283,轻度污染,93,127,3.1,46,50,19
2018-01,171,38~272,中度污染,132,161,3.455,58,59,42
2018-02,115,50~205,轻度污染,86,102,2.361,40,46,73
2018-03,47,27~77,优,25,44,0.997,18,22,77
2018-04,60,36~171,良,25,60,0.713,11,20,94
2018-05,54,0~81,良,18,42,0.487,10,18,102
2018-06,64,34~82,良,14,32,0.527,9,16,114
2018-07,63,42~80,良,15,34,0.51,9,18,115
2018-08,59,42~78,良,19,44,0.61,9,20,107
2018-09,56,36~74,良,24,61,0.893,8,25,89
2018-10,63,26~95,良,34,78,0.994,10,31,61
2018-11,99,25~232,良,72,100,2.03,21,42,39
2018-12,125,28~216,轻度污染,94,115,3.171,31,51,36
2019-01,112,53~186,轻度污染,83,107,2.532,32,49,55
2019-02,87,39~173,良,64,81,2.079,29,46,80
2019-03,84,36~166,良,54,99,1.555,19,37,83
2019-04,51,35~69,良,22,47,0.713,10,20,90
2019-05,60,37~87,良,22,51,0.552,8,20,107
2019-06,63,41~95,良,15,33,0.6,8,19,114
2019-07,67,49~90,良,20,45,0.668,10,20,119
2019-08,63,34~114,良,22,52,0.729,10,26,110
2019-09,54,32~77,良,21,56,0.697,11,28,90
2019-10,56,29~92,良,31,65,1.061,15,34,67
2019-11,82,28~158,良,60,85,1.607,24,41,43
2019-12,124,39~217,轻度污染,93,119,3.406,28,58,34
2020-01,157,59~306,中度污染,120,146,3.055,29,57,50
2020-02,74,36~202,良,51,63,1.983,21,28,79
2020-03,55,33~136,良,29,58,1.048,13,19,92
2020-04,66,29~134,良,28,71,0.727,8,19,101
2020-05,62,35~96,良,19,46,0.597,8,17,111
2020-06,60,41~88,良,16,45,0.61,8,18,108
2020-07,62,50~73,良,15,38,0.687,9,17,112
2020-08,54,32~65,良,14,28,0.777,9,9,102
2020-09,51,37~65,良,21,49,0.813,8,27,80
2020-10,68,30~100,良,40,86,1.571,14,40,71
2020-11,84,30~130,良,60,90,2.147,18,41,42
2020-12,140,64~260,轻度污染,107,125,2.89,25,56,42
2021-01,135,33~336,轻度污染,103,124,3.126,28,61,56
2021-02,65,32~120,良,42,57,2,15,41,64
2021-03,49,31~74,优,26,49,1.084,9,26,77
2021-04,58,38~77,良,24,58,0.663,7,24,103
2021-05,60,38~158,良,17,45,0.548,7,19,104
2021-06,56,34~73,良,14,36,0.573,8,18,105
2021-07,66,44~83,良,16,47,0.71,9,21,118
2021-08,66,39~83,良,18,51,0.729,8,23,118
2021-09,72,49~153,良,25,80,0.813,10,34,101
2021-10,49,28~78,优,29,45,1.148,11,19,77
2021-11,74,25~143,良,48,88,1.657,13,32,61
2021-12,89,33~153,良,65,97,2.023,14,43,42
2022-01,117,37~199,轻度污染,85,122,2.397,13,46,45
2022-02,82,37~147,良,59,79,1.832,13,43,79
2022-03,48,33~79,优,24,41,0.9,7,25,77
2022-04,64,43~123,良,25,71,0.52,7,25,104
2022-05,59,38~85,良,19,46,0.513,7,20,106
2022-06,75,49~104,良,14,37,0.47,8,19,129
