month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,132,24~214,轻度污染,100,138,1.36,50,70,70
2014-01,116,54~191,轻度污染,88,135,1.477,38,70,92
2014-02,54,14~123,良,38,52,1.232,18,42,56
2014-03,64,22~155,良,45,66,1.313,26,59,49
2014-04,60,43~94,良,41,59,1.203,23,52,70
2014-05,51,30~105,良,31,49,1.013,21,49,66
2014-06,68,31~149,良,34,53,0.85,19,37,109
2014-07,73,24~157,良,28,46,0.832,20,28,120
2014-08,62,25~132,良,22,37,0.777,21,26,108
2014-09,77,24~138,良,30,46,0.827,25,30,127
2014-10,106,65~165,轻度污染,65,90,0.913,29,49,155
2014-11,77,23~153,良,53,75,1.157,31,58,87
2014-12,79,25~178,良,57,85,1.142,35,62,57
2015-01,79,25~146,良,58,87,1.239,25,63,75
2015-02,71,22~145,良,52,69,1.061,14,44,75
2015-03,51,19~105,良,35,51,1.126,14,44,36
2015-04,62,25~133,良,33,53,0.877,18,38,93
2015-05,43,23~103,优,24,38,0.839,13,37,65
2015-06,40,26~64,优,20,34,0.67,15,27,71
2015-07,63,32~141,良,31,47,0.774,13,29,104
2015-08,82,40~146,良,41,61,0.787,18,36,123
2015-09,78,38~187,良,38,55,0.853,15,30,120
2015-10,77,23~165,良,53,78,0.884,23,46,104
2015-11,65,33~123,良,42,69,0.99,20,45,71
2015-12,65,27~186,良,43,66,1.087,17,42,41
2016-01,57,28~135,良,37,51,1.039,14,41,38
2016-02,55,24~97,良,37,49,0.797,10,32,65
2016-03,76,33~142,良,47,69,0.929,16,58,68
2016-04,62,38~90,良,33,51,0.847,13,46,64
2016-05,70,32~155,良,29,48,0.761,12,35,109
2016-06,60,30~142,良,21,37,0.657,11,31,101
2016-07,68,27~201,良,26,43,0.671,14,28,105
2016-08,85,28~200,良,37,56,0.739,15,35,129
2016-09,80,37~159,良,40,59,0.763,14,36,121
2016-10,62,42~98,良,37,53,0.784,14,37,96
2016-11,79,33~199,良,52,78,0.977,16,53,83
2016-12,89,39~133,良,64,94,1.039,18,64,89
2017-01,91,34~279,良,67,86,1.087,11,53,87
2017-02,74,37~156,良,49,67,0.832,13,47,98
2017-03,72,43~110,良,45,79,0.952,13,56,62
2017-04,81,40~187,良,40,69,0.847,13,48,100
2017-05,97,41~206,良,39,65,0.884,12,41,145
2017-06,50,33~105,良,19,36,0.74,9,27,87
2017-07,69,27~180,良,24,39,0.8,10,35,106
2017-08,67,27~126,良,22,37,0.71,11,29,110
2017-09,98,40~203,良,35,55,0.827,13,41,149
2017-10,80,26~157,良,35,57,0.816,13,40,129
2017-11,69,38~115,良,42,68,0.953,15,51,70
2017-12,86,35~145,良,58,93,1.052,21,66,49
2018-01,82,29~173,良,56,90,0.974,15,61,63
2018-02,61,20~123,良,41,61,0.679,7,31,77
2018-03,68,30~132,良,35,62,0.723,10,43,100
2018-04,68,33~130,良,34,68,0.717,10,40,89
2018-05,62,35~146,良,20,36,0.616,9,25,103
2018-06,71,28~192,良,19,34,0.643,8,27,110
2018-07,54,28~123,良,16,31,0.545,7,26,91
2018-08,69,35~135,良,24,38,0.658,9,33,112
2018-09,71,29~120,良,27,45,0.647,10,30,119
2018-10,83,40~153,良,36,65,0.768,13,43,116
2018-11,70,38~108,良,42,74,0.83,11,51,82
2018-12,56,29~111,良,33,60,0.845,8,44,46
2019-01,68,39~108,良,45,79,1.168,10,51,59
2019-02,49,23~100,优,26,50,0.989,6,30,46
2019-03,62,40~102,良,30,56,0.9,9,49,63
2019-04,56,32~120,良,25,47,0.833,8,41,66
2019-05,58,37~155,良,21,40,0.765,6,36,86
2019-06,56,30~154,良,14,30,0.697,6,29,93
2019-07,53,30~128,良,17,34,0.732,7,28,88
2019-08,84,25~182,良,23,41,0.752,8,30,133
2019-09,115,32~196,轻度污染,30,56,0.76,10,36,172
2019-10,101,50~166,轻度污染,37,66,0.839,11,37,154
2019-11,98,40~162,良,44,89,0.813,13,57,151
2019-12,81,44~118,良,45,90,1.006,14,66,87
2020-01,57,27~120,良,28,53,0.881,8,39,77
2020-02,47,18~88,优,22,35,0.6,6,25,78
2020-03,51,34~82,良,22,42,0.697,6,35,61
2020-04,75,32~197,良,26,50,0.727,9,39,102
2020-05,59,26~149,良,18,35,0.642,7,26,105
2020-06,42,28~81,优,9,23,0.517,6,21,73
2020-07,54,30~126,良,10,23,0.497,7,17,96
2020-08,67,24~148,良,17,31,0.555,7,24,111
2020-09,67,35~153,良,22,38,0.763,7,32,106
2020-10,69,36~129,良,27,52,0.681,8,31,115
2020-11,71,35~122,良,32,66,0.773,9,41,113
2020-12,61,34~109,良,35,67,0.819,9,44,71
2021-01,82,42~153,良,48,89,0.871,11,61,91
2021-02,72,20~139,良,26,43,0.636,6,24,115
2021-03,64,30~142,良,30,62,0.771,7,37,83
2021-04,71,28~184,良,24,49,0.753,6,32,105
2021-05,47,28~130,优,13,29,0.487,6,18,89
2021-06,56,27~148,良,14,30,0.473,6,22,98
2021-07,66,28~133,良,14,29,0.455,7,20,114
2021-08,55,32~120,良,14,28,0.542,7,24,99
2021-09,92,38~163,良,21,40,0.577,8,28,146
2021-10,63,22~132,良,20,37,0.619,7,29,103
2021-11,62,27~102,良,24,51,0.6,10,42,95
2021-12,67,34~104,良,33,62,0.735,9,52,83
2022-01,61,24~134,良,32,55,0.952,6,46,68
2022-02,38,18~115,优,16,24,0.725,5,25,58
2022-03,65,28~150,良,24,46,0.687,6,36,100
2022-04,70,28~155,良,21,42,0.697,7,28,110
2022-05,64,28~161,良,19,34,0.716,6,28,104
2022-06,36,23~81,优,10,20,0.563,5,18,67
2022-07,62,20~124,良,15,27,0.484,5,17,106
2022-08,53,25~96,良,13,22,0.49,6,22,95
2022-09,113,30~159,轻度污染,31,52,0.687,7,27,171
2022-10,94,32~181,良,25,49,0.619,8,28,151
2022-11,58,27~141,良,24,40,0.703,6,35,81
2022-12,50,23~84,优,27,44,0.639,7,33,68
2023-01,48,18~84,优,28,41,0.658,6,23,68
2023-02,65,24~135,良,31,53,0.743,7,37,97
2023-03,74,32~153,良,29,56,0.661,7,35,104
2023-04,57,26~139,良,23,43,0.67,6,31,87
2023-05,62,26~128,良,20,37,0.652,6,25,104
2023-06,59,26~148,良,14,24,0.58,5,21,99
2023-07,52,30~121,良,11,20,0.532,6,16,96
2023-08,54,36~144,良,14,23,0.597,6,19,99
2023-09,63,23~142,良,15,25,0.597,6,24,101
2023-10,68,25~166,良,23,38,0.69,6,28,111
2023-11,75,24~149,良,33,62,0.7,8,43,116
2023-12,60,26~103,良,33,59,0.752,8,45,46
2024-01,65,27~128,良,37,62,0.771,8,43,89
2024-02,37,20~69,优,18,29,0.638,7,17,58
2024-03,55,27~88,良,26,49,0.69,7,35,69
2024-04,46,27~105,优,19,33,0.58,7,27,71
2024-05,77,28~191,良,20,34,0.616,6,29,117
2024-06,39,27~68,优,12,19,0.573,6,20,70
2024-07,44,25~78,优,9,16,0.487,6,17,82
2024-08,61,33~105,良,17,27,0.581,7,23,106
2024-09,75,22~159,良,19,30,0.613,7,26,124
2024-10,80,46~162,良,24,41,0.629,9,26,133
2024-11,54,27~98,良,22,37,0.61,9,30,91
2024-12,69,36~107,良,44,71,0.781,10,48,103
2025-01,70,33~103,良,41,68,0.655,9,46,108
2025-02,52,20~79,良,28,45,0.643,6,31,81
2025-03,62,27~144,良,23,43,0.616,6,34,94
2025-04,82,46~130,良,35,63,0.7,7,42,127
