month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,118,118~118,轻度污染,90,113,2.8,16,42,47
2015-01,85,26~296,良,63,88,1.497,18,27,49
2015-02,70,30~166,良,45,83,0.732,17,25,74
2015-03,52,34~108,良,27,48,0.594,14,16,92
2015-04,61,32~90,良,34,62,0.557,11,15,104
2015-05,48,30~99,优,17,37,0.552,9,12,88
2015-06,53,30~106,良,16,31,0.61,9,17,99
2015-07,56,22~107,良,17,34,0.703,8,23,101
2015-08,42,19~104,优,15,29,0.735,9,18,77
2015-09,40,20~74,优,12,20,0.853,6,23,76
2015-10,47,21~99,优,26,46,0.945,8,21,65
2015-11,69,28~265,良,47,89,1.427,11,26,56
2015-12,69,27~133,良,47,76,1.845,18,34,47
2016-01,57,38~105,良,32,59,1.394,20,28,62
2016-02,63,40~104,良,42,65,1.076,16,28,90
2016-03,64,39~162,良,38,58,0.916,11,24,96
2016-04,65,39~122,良,35,57,0.68,7,19,104
2016-05,62,34~120,良,24,39,0.458,7,18,112
2016-06,52,31~103,良,24,38,0.557,9,19,96
2016-07,55,22~104,良,21,35,0.542,7,17,102
2016-08,38,19~70,优,13,22,0.516,8,15,75
2016-09,34,16~67,优,13,20,0.54,8,18,66
2016-10,46,20~145,优,28,41,0.565,8,22,61
2016-11,78,36~166,良,57,68,0.733,17,34,54
2016-12,82,40~189,良,60,79,1.145,22,41,48
2017-01,106,29~239,轻度污染,80,100,1.374,21,38,60
2017-02,57,36~155,良,39,49,0.85,13,28,83
2017-03,54,36~103,良,34,48,0.761,11,31,95
2017-04,65,39~120,良,40,61,0.637,10,26,109
2017-05,63,28~168,良,19,46,0.558,10,18,106
2017-06,45,14~90,优,15,29,0.563,7,20,84
2017-07,53,24~100,良,16,32,0.574,9,19,99
2017-08,37,16~80,优,14,30,0.561,6,16,68
2017-09,37,25~54,优,13,32,0.507,5,17,69
2017-10,102,27~500,轻度污染,81,110,0.861,9,31,71
2017-11,83,27~401,良,62,74,0.62,9,24,58
2017-12,64,22~143,良,44,59,0.765,11,25,33
2018-01,73,25~173,良,53,65,0.642,14,23,56
2018-02,76,36~165,良,55,72,0.682,12,23,71
2018-03,54,0~109,良,34,45,0.535,9,22,94
2018-04,63,0~209,良,37,53,0.523,6,21,101
2018-05,54,32~87,良,18,36,0.416,4,21,101
2018-06,49,21~102,优,15,26,0.4,4,18,91
2018-07,45,17~120,优,17,30,0.471,4,20,79
2018-08,32,18~50,优,12,28,0.468,4,15,56
2018-09,38,18~71,优,15,36,0.447,5,17,57
2018-10,44,18~83,优,19,48,0.474,7,23,56
2018-11,49,23~135,优,30,52,0.533,7,22,48
2018-12,65,25~347,良,46,67,0.645,9,20,49
2019-01,60,31~162,良,39,61,0.839,10,23,53
2019-02,79,31~314,良,58,75,0.757,14,20,73
2019-03,69,36~251,良,45,58,0.61,9,23,85
2019-04,59,35~125,良,29,60,0.45,7,18,100
2019-05,51,28~150,良,17,37,0.387,5,13,91
2019-06,40,13~100,优,14,26,0.393,6,16,76
2019-07,41,10~66,优,16,27,0.452,7,14,78
2019-08,28,15~49,优,12,20,0.568,4,11,52
2019-09,39,19~70,优,13,34,0.5,4,16,66
2019-10,45,21~107,优,21,42,0.506,6,21,64
2019-11,33,21~70,优,19,30,0.513,8,15,48
2019-12,78,24~214,良,57,66,0.79,13,27,45
2020-01,104,50~211,轻度污染,77,83,0.926,14,28,66
