month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,112,112~112,轻度污染,84,120,2.8,26,43,39
2015-01,80,54~140,良,59,76,1.326,23,24,74
2015-02,82,57~155,良,61,61,1.482,18,17,94
2015-03,83,53~143,良,59,70,0.671,13,21,124
2015-04,65,48~88,良,36,57,0.56,16,9,113
2015-05,71,54~99,良,45,61,0.597,17,13,123
2015-06,51,30~103,良,24,44,0.487,18,13,91
2015-07,51,25~92,良,23,38,0.626,11,17,90
2015-08,36,22~60,优,20,36,0.745,10,14,58
2015-09,39,29~52,优,18,33,0.657,10,18,66
2015-10,48,31~64,优,24,46,0.697,9,16,78
2015-11,55,40~71,良,32,61,1.067,15,18,63
2015-12,60,35~78,良,40,67,1.652,17,18,77
2016-01,66,45~94,良,46,70,0.887,14,22,87
2016-02,73,40~197,良,38,68,0.769,16,22,116
2016-03,63,43~102,良,28,56,0.723,14,16,112
2016-04,70,50~102,良,22,57,0.55,11,11,123
2016-05,59,37~87,良,16,44,0.694,21,9,108
2016-06,39,23~77,优,9,26,0.327,11,8,73
2016-07,30,16~60,优,9,24,0.519,9,9,53
2016-08,50,21~80,优,13,33,0.371,12,10,93
2016-09,40,24~69,优,11,32,0.457,7,11,76
2016-10,44,18~70,优,13,28,0.968,7,11,81
2016-11,43,22~63,优,17,34,0.96,9,13,82
2016-12,55,40~72,良,33,57,1.81,9,17,91
2017-01,59,43~85,良,39,38,1.69,11,15,102
2017-02,75,55~102,良,46,50,1.086,10,13,127
2017-03,71,40~95,良,34,52,0.806,9,16,122
2017-04,73,47~133,良,32,51,1.173,8,15,125
2017-05,68,41~99,良,26,43,1.09,9,12,122
2017-06,47,24~92,优,15,26,1.023,7,9,88
2017-07,37,20~70,优,17,30,0.984,7,12,66
2017-08,36,23~68,优,16,27,1.155,6,11,65
2017-09,34,25~51,优,14,28,1.17,6,10,66
2017-10,40,23~63,优,17,34,1.006,5,10,76
2017-11,44,29~60,优,18,38,0.83,8,14,81
