month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,77,48~111,良,0,103,0,30,23,0
2013-06,61,42~85,良,0,72,0,40,21,0
2013-07,51,32~85,良,0,53,0,34,20,0
2013-08,42,32~62,优,0,40,0,35,18,0
2013-09,64,38~150,良,0,76,0,38,22,0
2013-10,96,57~167,良,0,142,0,56,36,0
2013-11,91,57~158,良,0,125,0,44,45,0
2013-12,154,68~305,中度污染,102,184,1.403,61,57,54
2014-01,205,102~360,重度污染,161,221,1.568,58,60,59
2014-02,106,39~230,轻度污染,71,99,0.95,30,31,46
2014-03,106,63~170,轻度污染,76,124,0.89,35,37,91
2014-04,98,57~156,良,59,96,0.524,29,28,108
2014-05,112,59~233,轻度污染,70,126,0.519,25,21,136
2014-06,130,52~263,轻度污染,84,94,0.58,11,19,160
2014-07,84,34~155,良,52,76,0.487,15,15,126
2014-08,84,36~186,良,57,88,0.597,26,26,109
2014-09,82,26~183,良,54,79,0.753,20,23,92
2014-10,125,54~249,轻度污染,92,135,0.794,21,33,105
2014-11,112,57~366,轻度污染,82,127,0.917,21,43,63
2014-12,104,57~201,轻度污染,70,135,0.868,34,40,58
2015-01,150,72~272,中度污染,115,170,1.181,31,52,60
2015-02,128,63~203,轻度污染,93,156,1.018,25,40,81
2015-03,102,67~244,轻度污染,71,123,0.813,19,31,93
2015-04,98,60~152,良,64,100,0.71,17,29,113
2015-05,119,62~237,轻度污染,85,127,0.706,16,20,132
2015-06,78,28~145,良,47,80,0.63,15,17,106
2015-07,66,37~107,良,37,63,0.584,16,17,106
2015-08,72,40~111,良,34,65,0.813,18,23,120
2015-09,81,44~120,良,47,87,0.843,17,29,123
2015-10,104,40~214,轻度污染,70,117,0.894,21,32,111
2015-11,87,38~186,良,64,93,0.933,17,24,48
2015-12,147,50~341,轻度污染,111,166,1.135,19,47,52
2016-01,148,63~367,轻度污染,112,164,1.342,17,45,55
2016-02,119,47~240,轻度污染,83,135,1.007,26,27,95
2016-03,105,49~198,轻度污染,72,126,0.748,18,33,117
2016-04,77,33~132,良,39,81,0.76,14,26,121
2016-05,81,43~141,良,39,80,0.571,13,19,129
2016-06,62,29~120,良,31,57,0.62,15,16,107
2016-07,51,30~118,良,21,41,0.503,10,12,92
2016-08,67,33~124,良,37,63,0.568,10,17,102
2016-09,94,44~132,良,45,77,0.6,14,27,137
2016-10,59,30~112,良,39,62,0.661,9,31,60
2016-11,96,33~267,良,72,112,0.883,12,36,57
2016-12,131,68~389,轻度污染,100,152,1.229,21,46,63
2017-01,99,0~226,良,73,114,0.984,22,44,51
2017-02,79,0~172,良,58,89,0.746,17,33,78
2017-03,75,0~137,良,52,88,0.697,18,37,85
2017-04,75,0~108,良,39,66,0.887,13,25,117
2017-05,78,0~138,良,32,51,0.677,9,20,136
2017-06,73,0~162,良,38,56,0.657,7,17,125
2017-07,57,23~113,良,28,51,0.574,6,13,89
2017-08,66,27~134,良,30,56,0.639,7,15,116
2017-09,71,29~142,良,28,59,0.68,9,20,115
2017-10,68,29~152,良,43,75,0.665,11,28,93
2017-11,61,0~230,良,42,75,0.913,13,41,85
2017-12,118,0~346,轻度污染,89,135,1.348,14,44,78
2018-01,120,0~234,轻度污染,90,134,1.161,10,40,70
2018-02,83,0~172,良,60,100,1.032,11,31,86
2018-03,76,0~129,良,48,76,0.787,10,23,104
2018-04,71,0~124,良,36,73,0.69,9,19,125
2018-05,71,0~137,良,31,65,0.565,6,16,120
2018-06,89,0~153,良,28,46,0.507,6,14,145
2018-07,60,25~123,良,26,43,0.445,6,13,102
2018-08,76,30~130,良,27,45,0.513,7,14,127
2018-09,76,35~163,良,29,54,0.52,7,21,123
2018-10,86,49~161,良,40,71,0.577,8,31,130
2018-11,78,0~170,良,57,79,0.9,7,37,78
2018-12,119,0~312,轻度污染,90,134,1.065,8,44,43
2019-01,140,74~316,轻度污染,106,145,1.087,7,39,58
2019-02,115,60~179,轻度污染,87,110,0.9,5,23,74
2019-03,81,56~124,良,51,89,0.587,7,25,114
2019-04,77,0~122,良,41,69,0.617,6,22,122
2019-05,85,52~126,良,31,71,0.526,6,15,134
2019-06,92,38~131,良,24,45,0.54,6,12,149
2019-07,78,46~144,良,21,37,0.355,6,12,133
2019-08,89,37~140,良,23,42,0.365,8,14,144
2019-09,98,44~153,良,28,53,0.343,6,21,155
2019-10,67,28~129,良,33,59,0.371,5,27,103
2019-11,82,31~159,良,54,92,0.56,7,35,89
2019-12,99,54~196,良,73,106,0.929,7,40,57
2020-01,114,53~229,轻度污染,85,111,1.087,6,32,64
2020-02,72,32~182,良,50,69,0.783,6,13,86
2020-03,70,34~122,良,40,74,0.694,6,19,101
2020-04,84,49~139,良,36,65,0.647,7,21,128
2020-05,83,43~124,良,28,53,0.632,7,13,136
2020-06,65,34~99,良,20,34,0.457,5,9,114
2020-07,55,31~94,良,21,34,0.503,4,9,102
2020-08,61,26~120,良,18,33,0.497,5,9,109
2020-09,81,37~119,良,27,48,0.547,6,15,134
2020-10,70,38~110,良,42,73,0.606,8,28,95
2020-11,71,37~132,良,45,74,0.703,7,32,82
2020-12,96,40~165,良,70,101,0.919,8,36,70
2021-01,118,56~288,轻度污染,72,107,0.981,7,36,64
2021-02,78,53~139,良,54,89,0.85,5,20,89
2021-03,89,42~500,良,30,53,0.661,5,22,86
2021-04,72,37~162,良,33,55,0.463,5,20,104
2021-05,65,29~98,良,27,45,0.406,7,12,112
2021-06,79,36~139,良,22,38,0.503,7,11,131
2021-07,49,31~85,优,15,26,0.41,7,8,94
2021-08,55,37~81,良,19,30,0.445,7,9,103
2021-09,65,29~119,良,22,37,0.48,7,14,113
2021-10,65,19~144,良,36,57,0.426,6,25,99
2021-11,80,36~202,良,53,83,0.523,8,34,88
2021-12,87,49~195,良,62,90,0.642,9,36,74
2022-01,138,52~244,轻度污染,104,118,0.894,8,31,64
2022-02,79,44~144,良,57,75,0.529,7,20,92
