month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2021-01,53,35~85,良,28,50,0.59,6,13,92
2021-02,42,24~52,优,19,32,0.514,3,7,81
2021-03,41,26~75,优,19,38,0.558,5,10,76
2021-04,41,25~54,优,16,32,0.643,7,9,80
2021-05,33,24~44,优,10,24,0.471,10,9,65
2021-06,33,22~50,优,11,24,0.51,8,9,65
2021-07,25,16~34,优,9,19,0.439,8,9,49
2021-08,24,16~35,优,10,19,0.474,10,10,47
2021-09,22,13~40,优,9,19,0.47,9,9,43
2021-10,26,12~48,优,11,21,0.542,5,8,51
2021-11,50,23~100,优,20,38,0.493,7,10,89
2021-12,46,17~86,优,22,38,0.542,7,15,75
2022-01,33,20~50,优,16,28,0.619,5,11,58
2022-02,25,15~43,优,12,19,0.621,5,10,40
2022-03,31,18~49,优,16,30,0.523,7,11,46
2022-04,36,14~91,优,17,31,0.527,8,10,62
2022-05,27,13~47,优,10,21,0.539,7,8,51
2022-06,29,20~36,优,8,19,0.543,4,9,57
2022-07,26,16~39,优,8,17,0.539,5,9,52
2022-08,24,15~41,优,6,15,0.619,4,8,47
2022-09,46,15~86,优,16,27,0.663,5,9,87
2022-10,54,15~104,良,17,33,0.568,8,10,96
2022-11,32,17~77,优,10,22,0.483,4,11,63
2022-12,53,20~87,良,23,41,0.639,5,14,92
2023-01,43,19~72,优,22,37,0.623,6,9,76
2023-02,43,22~74,优,17,32,0.521,5,5,82
2023-03,53,26~101,良,22,43,0.558,5,7,97
2023-04,46,32~69,优,22,37,0.577,5,7,86
2023-05,44,22~76,优,14,27,0.523,6,5,86
2023-06,34,23~62,优,9,19,0.487,4,4,67
2023-07,29,18~47,优,7,16,0.547,4,4,57
2023-08,28,18~43,优,9,18,0.481,3,4,56
2023-09,29,16~60,优,8,16,0.537,4,4,57
2023-10,41,18~85,优,13,23,0.629,5,4,80
2023-11,47,22~94,优,15,32,0.55,4,6,88
2023-12,41,18~70,优,18,32,0.697,4,9,50
2024-01,44,20~64,优,16,30,0.652,5,7,81
2024-02,39,21~59,优,18,29,0.638,6,6,70
2024-03,42,20~79,优,17,29,0.655,7,6,80
2024-04,50,34~74,优,25,38,0.58,6,6,94
2024-05,40,27~65,优,12,22,0.51,4,4,78
2024-06,29,17~36,优,8,16,0.487,5,3,57
2024-07,24,17~35,优,6,13,0.471,6,3,47
2024-08,30,20~42,优,9,16,0.535,5,4,59
2024-09,36,20~55,优,9,17,0.55,4,4,72
2024-10,57,25~99,良,17,30,0.494,6,5,103
2024-11,55,29~111,良,20,33,0.543,6,7,101
2024-12,59,38~93,良,27,45,0.603,6,10,105
2025-01,69,35~110,良,27,45,0.619,7,9,121
2025-02,41,28~64,优,14,27,0.646,5,5,81
2025-03,46,20~111,优,18,31,0.681,5,9,84
2025-04,66,29~153,良,28,71,0.563,5,8,99
