month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,116,116~116,轻度污染,88,122,1.4,26,49,39
2014-01,98,38~157,良,72,108,1.355,16,44,43
2014-02,73,37~187,良,52,73,1.025,8,28,72
2014-03,75,44~104,良,50,82,1.032,10,30,92
2014-04,83,35~261,良,32,110,0.84,6,17,88
2014-05,63,43~91,良,27,69,0.848,5,15,106
2014-06,70,46~105,良,26,53,0.813,5,17,123
2014-07,72,49~138,良,26,64,1.684,5,18,117
2014-08,59,42~90,良,31,65,1.497,6,21,105
2014-09,60,48~96,良,32,69,1.457,6,25,83
2014-10,56,27~100,良,28,64,1.497,6,47,58
2014-11,56,28~100,良,32,68,1.653,8,40,41
2014-12,81,39~163,良,57,100,1.819,8,36,39
2015-01,72,37~106,良,51,86,1.697,7,29,64
2015-02,91,37~189,良,63,111,1.518,9,26,77
2015-03,54,36~100,良,25,60,0.877,7,18,79
2015-04,56,41~124,良,23,59,1.01,8,16,96
2015-05,53,40~112,良,19,50,0.884,9,11,95
2015-06,56,42~80,良,21,47,0.997,8,12,103
2015-07,64,51~82,良,20,49,1.023,9,13,115
2015-08,67,46~97,良,19,57,1.119,9,16,116
2015-09,53,39~91,良,17,46,1.247,8,15,98
2015-10,56,34~89,良,21,56,1.335,9,21,97
2015-11,51,34~74,良,26,51,1.493,5,23,57
2015-12,88,35~201,良,61,106,1.79,6,23,55
2016-01,86,55~173,良,63,104,1.765,5,26,69
2016-02,99,43~148,良,72,125,1.572,7,33,80
2016-03,54,35~129,良,29,57,0.694,7,23,83
2016-04,57,38~75,良,14,36,0.737,6,13,106
2016-05,62,48~95,良,11,30,0.69,6,11,114
2016-06,68,53~90,良,10,29,0.937,7,10,122
2016-07,72,49~89,良,10,28,0.942,4,11,126
2016-08,68,52~88,良,12,35,1.065,5,13,121
2016-09,62,45~83,良,15,45,1.33,6,14,113
2016-10,45,33~72,优,20,41,1.219,8,12,77
2016-11,66,32~118,良,42,72,1.373,11,25,58
2016-12,76,30~152,良,54,83,1.155,9,26,52
2017-01,127,73~205,轻度污染,97,147,1.652,18,40,58
2017-02,93,42~154,良,69,110,1.129,12,33,78
2017-03,63,47~91,良,40,72,0.913,8,22,89
2017-04,54,34~80,良,14,53,0.723,7,15,99
2017-05,65,47~89,良,13,46,0.761,6,15,118
2017-06,66,41~91,良,15,41,0.86,7,16,119
2017-07,79,59~94,良,18,46,0.965,7,16,135
2017-08,63,46~89,良,16,47,0.926,6,17,116
2017-09,59,35~73,良,20,61,0.853,6,22,102
2017-10,54,28~85,良,23,66,0.877,8,31,66
2017-11,56,26~96,良,33,63,0.893,7,26,44
2017-12,71,35~143,良,49,74,1.055,7,26,22
2018-01,91,39~193,良,67,90,0.958,10,24,49
2018-02,82,41~147,良,59,91,0.921,12,25,71
2018-03,42,0~65,优,15,41,0.587,6,13,78
2018-04,55,38~77,良,14,44,0.557,5,10,102
2018-05,59,0~75,良,14,40,0.574,5,11,111
2018-06,63,49~79,良,13,37,0.617,5,12,115
2018-07,61,37~78,良,16,33,0.681,5,12,110
2018-08,54,37~70,良,11,37,0.723,5,14,103
2018-09,44,32~55,优,10,42,0.773,6,20,78
2018-10,52,25~67,良,14,56,0.729,7,23,64
2018-11,47,0~90,优,25,55,0.813,6,30,49
2018-12,83,0~159,良,56,97,1.206,7,35,46
2019-01,85,55~118,良,62,100,1.229,6,47,52
2019-02,67,46~120,良,46,72,0.871,7,30,82
2019-03,64,39~117,良,36,70,0.774,5,23,89
2019-04,57,34~81,良,10,48,0.44,5,15,105
2019-05,67,47~95,良,12,44,0.526,5,14,119
2019-06,68,49~86,良,8,31,0.487,5,14,121
2019-07,71,56~93,良,13,41,0.535,5,16,124
2019-08,65,42~90,良,11,45,0.684,6,21,117
2019-09,55,41~83,良,12,47,0.563,5,22,99
2019-10,52,26~68,良,16,58,0.645,6,29,74
2019-11,52,25~79,良,21,58,0.697,5,29,52
2019-12,82,34~166,良,60,87,1.055,5,39,40
2020-01,117,49~144,轻度污染,88,119,1.31,11,40,62
2020-02,70,32~143,良,49,54,1,8,17,79
2020-03,44,34~68,优,14,40,0.59,6,13,77
2020-04,64,37~107,良,15,64,0.52,6,17,99
2020-05,57,44~73,良,10,32,0.448,6,12,107
2020-06,56,38~80,良,10,30,0.437,6,13,106
2020-07,62,47~81,良,9,28,0.506,5,14,113
2020-08,60,45~70,良,11,23,0.813,5,9,111
2020-09,48,28~71,优,11,38,0.523,5,19,88
2020-10,47,29~68,优,14,50,0.526,6,25,68
2020-11,50,24~69,良,21,55,0.61,7,30,42
2020-12,99,32~188,良,73,96,0.842,6,47,37
2021-01,78,30~144,良,56,79,0.803,4,36,53
2021-02,77,30~182,良,54,67,0.8,5,27,71
2021-03,46,32~113,优,17,34,0.432,5,18,83
2021-04,56,41~88,良,12,38,0.413,5,17,106
2021-05,64,46~156,良,11,33,0.371,5,15,111
2021-06,56,40~80,良,9,27,0.41,6,14,106
2021-07,63,46~80,良,9,27,0.497,7,14,115
2021-08,61,45~86,良,10,30,0.494,6,16,113
2021-09,53,34~78,良,13,43,0.46,7,20,95
2021-10,48,28~83,优,15,50,0.468,7,26,68
2021-11,62,25~126,良,31,79,0.56,8,32,48
2021-12,107,30~500,轻度污染,52,144,0.832,8,34,39
2022-01,112,42~192,轻度污染,82,136,1.055,8,41,49
2022-02,105,36~160,轻度污染,78,111,1.068,9,37,86
2022-03,45,34~93,优,17,31,0.471,6,15,84
2022-04,62,39~101,良,12,54,0.343,7,13,107
2022-05,61,43~120,良,13,45,0.326,8,11,108
2022-06,61,47~79,良,9,25,0.273,8,11,113
2022-07,58,47~76,良,9,25,0.29,9,11,109
2022-08,54,35~75,良,9,24,0.277,7,12,102
2022-09,51,26~72,良,11,35,0.287,6,17,97
2022-10,39,23~61,优,11,30,0.384,5,14,71
2022-11,36,21~63,优,17,33,0.413,5,18,53
2022-12,76,52~169,良,55,81,0.697,6,38,43
2023-01,88,32~183,良,64,88,0.819,8,35,63
2023-02,76,39~153,良,53,77,0.768,6,30,92
2023-03,52,36~70,良,20,48,0.358,6,16,89
2023-04,56,46~83,良,12,43,0.283,7,9,103
2023-05,58,45~79,良,11,27,0.239,7,7,108
2023-06,67,48~84,良,12,30,0.267,7,10,120
2023-07,67,51~89,良,9,27,0.245,7,10,120
2023-08,61,44~79,良,9,26,0.284,9,12,113
2023-09,46,32~62,优,9,25,0.343,8,12,90
2023-10,43,22~64,优,12,36,0.374,8,18,76
2023-11,36,22~64,优,16,33,0.42,7,21,44
2023-12,57,21~115,良,39,57,0.626,6,26,28
2024-01,71,28~159,良,51,68,0.642,6,31,61
2024-02,80,39~170,良,55,84,0.703,7,29,88
2024-03,48,35~67,优,22,38,0.416,8,18,92
2024-04,68,40~178,良,15,63,0.27,8,10,102
2024-05,60,49~81,良,11,29,0.255,8,9,111
2024-06,67,50~83,良,9,22,0.227,9,8,120
2024-07,67,55~79,良,9,22,0.277,7,9,120
2024-08,61,43~78,良,9,25,0.284,8,10,113
2024-09,47,37~74,优,9,25,0.313,8,12,92
2024-10,40,25~60,优,10,26,0.274,6,15,78
2024-11,39,22~62,优,22,36,0.5,6,22,48
2024-12,58,24~138,良,41,55,0.739,5,30,45
2025-01,87,34~156,良,64,80,0.945,6,27,69
2025-02,84,48~122,良,62,80,0.893,5,26,89
2025-03,48,38~64,优,17,35,0.381,6,12,92
2025-04,56,47~63,良,12,36,0.278,7,9,105
