month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,72,72~72,良,25,95,0.2,9,26,34
2015-01,91,45~187,良,65,103,0.939,17,30,49
2015-02,75,28~160,良,55,84,0.861,10,12,42
2015-03,70,23~141,良,49,77,0.723,11,17,46
2015-04,70,36~102,良,49,80,0.903,10,20,57
2015-05,90,51~164,良,66,101,0.787,7,16,75
2015-06,56,27~95,良,37,55,0.747,13,15,74
2015-07,58,33~119,良,40,56,0.645,12,13,62
2015-08,66,38~92,良,44,67,0.674,19,15,67
2015-09,64,37~83,良,42,74,0.533,13,17,83
2015-10,85,28~147,良,62,104,0.745,13,24,79
2015-11,88,23~173,良,64,101,0.927,14,18,47
2015-12,143,60~314,轻度污染,107,170,1.048,16,34,31
2016-01,92,36~198,良,67,91,1.158,16,32,36
2016-02,75,27~147,良,52,81,0.759,16,26,49
2016-03,82,30~204,良,57,88,0.955,14,37,75
2016-04,69,47~112,良,42,79,0.743,11,30,109
2016-05,74,45~121,良,46,81,0.645,11,25,117
2016-06,68,39~101,良,36,61,0.68,12,27,113
2016-07,60,40~82,良,31,56,0.59,11,23,104
2016-08,79,45~122,良,35,68,0.623,11,34,130
2016-09,87,35~131,良,42,59,0.67,14,38,141
2016-10,56,38~103,良,32,47,0.723,13,37,68
2016-11,73,38~150,良,47,73,0.773,16,49,65
2016-12,96,52~134,良,68,105,1.019,15,65,61
2017-01,95,40~189,良,68,100,1.1,17,49,69
2017-02,85,49~135,良,63,96,0.904,15,41,98
2017-03,82,50~133,良,53,89,0.797,12,48,114
2017-04,87,44~109,良,44,81,0.833,9,36,132
2017-05,99,46~204,良,36,62,0.761,8,31,148
2017-06,87,37~152,良,35,63,0.667,10,31,142
2017-07,60,33~102,良,26,51,0.484,13,26,107
2017-08,57,31~102,良,23,45,0.552,14,24,103
2017-09,66,29~114,良,29,55,0.697,15,28,108
2017-10,67,30~133,良,42,75,0.694,11,40,97
2017-11,90,42~155,良,63,112,0.807,7,53,84
2017-12,111,50~254,轻度污染,78,124,0.958,8,53,38
2018-01,96,42~175,良,71,101,0.806,7,34,78
2018-02,74,0~125,良,52,85,0.704,8,29,81
2018-03,68,41~100,良,42,71,0.606,7,29,106
2018-04,76,0~113,良,39,81,0.593,7,32,128
2018-05,64,0~121,良,29,53,0.616,5,25,117
2018-06,89,43~142,良,33,62,0.58,6,22,144
2018-07,56,23~97,良,22,44,0.51,6,22,102
2018-08,69,36~130,良,24,47,0.616,6,24,120
2018-09,68,33~126,良,28,59,0.567,6,30,115
2018-10,76,50~153,良,41,84,0.6,6,36,113
2018-11,76,0~212,良,54,86,0.773,6,45,77
2018-12,96,35~195,良,68,104,0.79,9,56,50
2019-01,122,43~239,轻度污染,91,126,0.952,7,44,62
2019-02,89,29~176,良,66,87,0.771,6,28,57
2019-03,80,45~147,良,52,93,0.681,9,42,74
2019-04,61,26~87,良,38,70,0.607,10,30,72
2019-05,58,32~107,良,27,63,0.571,6,29,85
2019-06,59,27~89,良,19,41,0.693,5,15,106
2019-07,64,34~117,良,17,39,0.655,4,15,114
2019-08,73,18~128,良,17,41,0.645,5,17,126
2019-09,86,47~136,良,31,65,0.717,5,28,140
2019-10,76,35~139,良,39,84,0.726,6,35,105
2019-11,77,30~138,良,46,93,0.71,6,42,93
2019-12,82,37~178,良,59,88,0.887,6,44,62
2020-01,92,35~175,良,68,84,0.958,4,27,60
2020-02,60,27~134,良,40,56,0.697,5,15,83
2020-03,66,34~130,良,39,72,0.703,5,28,94
2020-04,77,52~108,良,35,71,0.64,5,29,125
2020-05,89,39~139,良,28,58,0.71,5,27,145
2020-06,69,36~119,良,17,31,0.69,6,21,121
2020-07,61,35~102,良,18,28,0.706,6,13,109
2020-08,64,32~102,良,18,33,0.632,6,14,115
2020-09,90,48~175,良,27,52,0.64,6,24,145
2020-10,72,39~111,良,42,74,0.713,7,33,102
2020-11,71,31~166,良,46,81,0.753,6,39,80
2020-12,95,46~156,良,69,108,0.913,7,42,69
2021-01,95,44~170,良,49,89,0.803,6,36,65
2021-02,65,39~113,良,41,68,0.746,6,21,94
2021-03,74,28~158,良,30,55,0.648,6,26,94
2021-04,73,34~146,良,32,68,0.623,6,27,112
2021-05,70,35~100,良,22,55,0.584,6,19,121
2021-06,82,35~140,良,20,44,0.66,6,18,135
2021-07,48,27~100,优,11,24,0.51,6,15,92
2021-08,58,30~101,良,16,33,0.671,5,15,108
2021-09,73,31~148,良,19,46,0.74,5,17,124
2021-10,56,24~90,良,26,55,0.765,6,23,91
2021-11,72,22~104,良,41,89,0.627,7,35,91
2021-12,84,33~155,良,58,95,0.619,8,42,72
2022-01,102,33~208,轻度污染,76,101,0.681,7,36,71
2022-02,71,39~142,良,50,71,0.475,6,22,82
2022-03,72,30~138,良,24,44,0.413,7,22,100
2022-04,76,40~110,良,25,50,0.33,7,11,128
2022-05,80,47~119,良,26,51,0.355,7,15,133
2022-06,75,32~146,良,14,30,0.38,8,7,128
2022-07,56,34~90,良,12,22,0.355,8,7,105
2022-08,60,23~110,良,14,29,0.348,8,8,109
2022-09,79,47~123,良,21,51,0.4,9,17,132
2022-10,60,18~111,良,28,54,0.365,7,22,101
2022-11,59,23~134,良,39,62,0.52,6,25,74
2022-12,93,41~183,良,63,101,0.513,7,33,58
2023-01,91,38~216,良,65,101,0.587,6,27,74
2023-02,69,29~107,良,48,72,0.496,6,26,71
2023-03,82,36~163,良,42,97,0.455,7,22,109
2023-04,93,32~500,良,33,99,0.38,6,15,121
2023-05,69,29~99,良,22,46,0.397,5,12,117
2023-06,84,28~137,良,15,34,0.433,5,11,137
2023-07,47,22~93,优,10,22,0.287,6,6,90
2023-08,75,36~122,良,15,31,0.477,7,9,129
2023-09,59,30~111,良,16,34,0.53,6,13,103
2023-10,68,32~110,良,28,54,0.516,7,24,116
2023-11,68,34~141,良,37,80,0.5,6,29,75
2023-12,83,26~260,良,58,86,0.703,5,32,36
2024-01,89,29~203,良,66,90,0.742,5,34,65
2024-02,65,28~124,良,46,57,0.597,4,15,84
2024-03,77,42~109,良,47,80,0.619,5,22,105
2024-04,76,34~128,良,39,60,0.58,5,17,123
2024-05,92,43~143,良,28,50,0.471,6,14,148
2024-06,85,28~145,良,19,30,0.483,6,10,139
2024-07,43,28~93,优,12,17,0.365,6,6,82
2024-08,66,32~102,良,16,28,0.387,6,8,117
2024-09,64,23~105,良,22,36,0.453,4,10,109
2024-10,68,32~172,良,35,49,0.503,4,19,105
2024-11,61,30~125,良,37,59,0.567,4,27,84
2024-12,79,51~134,良,56,85,0.735,5,36,70
2025-01,100,36~216,良,71,102,0.774,6,31,84
2025-02,72,41~117,良,49,74,0.689,4,21,83
2025-03,76,34~140,良,41,74,0.581,5,21,108
2025-04,82,66~94,良,34,75,0.6,6,21,138
