month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,178,178~178,中度污染,135,211,1,33,33,44
2015-01,99,49~173,良,74,99,0.961,21,27,33
2015-02,80,55~163,良,59,86,0.921,20,23,45
2015-03,77,42~123,良,55,89,0.713,13,23,40
2015-04,64,36~99,良,42,73,0.603,11,29,56
2015-05,59,24~108,良,39,66,0.471,11,25,70
2015-06,43,25~72,优,25,44,0.437,9,21,58
2015-07,56,24~84,良,35,61,0.481,10,28,67
2015-08,54,23~93,良,34,60,0.565,13,29,49
2015-09,46,27~94,优,27,45,0.533,12,26,59
2015-10,60,29~110,良,41,66,0.655,16,25,70
2015-11,59,38~102,良,39,65,0.76,17,25,65
2015-12,63,29~182,良,43,66,0.877,25,28,58
2016-01,74,36~122,良,53,85,1.094,26,30,63
2016-02,81,47~199,良,58,86,0.962,15,24,66
2016-03,73,29~113,良,50,89,0.903,12,28,66
2016-04,61,36~94,良,37,73,0.757,11,29,63
2016-05,59,26~79,良,33,70,0.632,12,23,72
2016-06,47,27~62,优,21,48,0.64,17,22,65
2016-07,48,26~59,优,20,49,0.558,22,23,77
2016-08,56,33~77,良,31,61,0.787,25,30,88
2016-09,62,36~89,良,39,71,0.82,23,32,72
2016-10,57,32~80,良,34,65,0.742,17,24,56
2016-11,68,35~99,良,47,81,0.84,24,33,60
2016-12,89,35~142,良,66,98,1.155,26,29,52
2017-01,70,40~139,良,51,70,1.1,25,27,52
2017-02,75,42~123,良,55,76,0.896,23,22,65
2017-03,76,47~151,良,55,83,0.994,20,28,89
2017-04,70,42~111,良,45,87,0.83,16,25,105
2017-05,63,40~95,良,32,69,0.645,15,23,108
2017-06,51,30~79,良,25,48,0.69,16,24,85
2017-07,48,26~78,优,22,50,0.571,16,24,76
2017-08,50,29~70,优,22,52,0.623,16,23,76
2017-09,52,33~78,良,30,56,0.563,18,20,66
2017-10,49,29~98,优,30,49,0.668,19,24,52
2017-11,75,34~123,良,54,86,0.867,24,27,70
2017-12,85,24~217,良,59,93,1.219,33,35,50
2018-01,58,25~94,良,40,61,0.913,26,26,67
2018-02,64,30~92,良,46,61,0.911,27,21,75
2018-03,60,30~109,良,39,64,0.758,19,22,85
2018-04,52,23~79,良,28,54,0.597,16,18,91
2018-05,46,22~67,优,20,41,0.565,13,18,86
2018-06,41,24~70,优,14,26,0.59,12,20,79
2018-07,36,23~52,优,17,26,0.4,11,17,70
2018-08,45,29~70,优,23,40,0.661,13,22,82
2018-09,35,25~54,优,17,30,0.547,11,20,63
2018-10,39,27~59,优,22,37,0.748,15,24,57
2018-11,51,28~70,良,32,55,0.773,22,28,67
2018-12,48,25~77,优,30,49,0.987,24,26,48
2019-01,47,30~73,优,31,48,1.042,19,22,52
2019-02,49,28~90,优,31,49,0.971,15,21,63
2019-03,55,29~85,良,31,52,0.732,14,23,89
2019-04,62,28~93,良,25,47,0.633,10,20,111
2019-05,46,26~77,优,18,36,0.587,9,17,87
2019-06,37,20~70,优,14,26,0.54,10,12,73
2019-07,34,26~50,优,14,24,0.432,8,11,66
2019-08,47,25~69,优,19,34,0.432,11,17,90
2019-09,43,23~72,优,20,34,0.447,8,13,82
2019-10,35,20~50,优,20,29,0.542,9,10,67
2019-11,38,20~55,优,25,37,0.643,10,12,61
2019-12,54,22~87,良,37,55,0.948,18,19,65
2020-01,41,28~65,优,25,36,0.99,15,14,63
2020-02,50,22~93,优,35,47,0.69,13,9,72
2020-03,53,24~85,良,32,49,0.555,10,15,90
2020-04,49,18~77,优,27,44,0.58,11,18,86
2020-05,51,41~65,良,20,38,0.448,9,17,98
2020-06,37,26~50,优,13,23,0.4,7,14,74
2020-07,37,23~59,优,12,22,0.419,7,14,72
2020-08,37,25~65,优,12,21,0.423,7,12,74
2020-09,34,22~50,优,13,19,0.673,8,15,67
2020-10,36,22~63,优,20,30,0.752,7,16,59
2020-11,46,26~79,优,27,44,0.86,10,20,73
2020-12,39,23~79,优,24,32,1.01,10,16,45
2021-01,50,22~98,良,33,48,1.039,13,19,68
2021-02,58,32~94,良,41,54,0.807,7,13,72
2021-03,57,32~84,良,38,61,0.665,5,13,87
2021-04,43,20~73,优,23,38,0.613,4,12,76
2021-05,44,26~63,优,18,29,0.548,4,11,85
2021-06,41,28~72,优,17,27,0.527,5,11,80
2021-07,40,27~65,优,15,23,0.545,6,12,79
2021-08,45,27~80,优,14,24,0.565,5,11,86
2021-09,43,29~64,优,15,23,0.483,5,11,84
2021-10,35,22~62,优,17,24,0.516,5,10,64
2021-11,45,22~90,优,28,40,0.7,8,14,67
2021-12,62,25~172,良,45,54,0.826,9,16,60
2022-01,43,26~68,优,29,36,0.935,9,14,57
2022-02,41,20~65,优,26,29,0.829,9,10,61
2022-03,63,29~119,良,39,56,0.671,6,11,100
2022-04,50,23~70,优,22,33,0.557,6,12,95
2022-05,43,24~69,优,13,21,0.519,5,11,83
2022-06,45,29~72,优,13,25,0.497,6,12,87
2022-07,52,31~88,良,13,22,0.429,6,10,99
2022-08,46,34~64,优,12,20,0.465,6,8,91
2022-09,46,22~95,优,16,24,0.623,6,13,87
2022-10,43,18~80,优,22,31,0.635,7,13,76
2022-11,57,37~85,良,36,48,0.803,9,16,92
2022-12,45,15~92,优,30,37,0.761,11,18,54
2023-01,51,25~85,良,34,46,0.874,15,16,76
2023-02,59,23~142,良,39,51,0.982,10,19,80
2023-03,55,28~79,良,28,40,0.665,8,16,96
2023-04,75,20~113,良,27,45,0.73,6,13,127
2023-05,62,22~95,良,19,32,0.467,5,12,110
2023-06,57,37~76,良,15,25,0.54,6,13,106
2023-07,47,28~89,优,12,19,0.519,6,11,90
