month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,47,47~47,优,33,43,0.3,29,23,51
2015-01,67,33~140,良,46,69,0.823,22,24,58
2015-02,77,35~162,良,53,78,0.775,15,18,74
2015-03,61,36~135,良,38,64,0.606,11,15,93
2015-04,68,44~166,良,36,82,0.423,10,13,98
2015-05,58,39~108,良,25,52,0.423,6,12,104
2015-06,63,42~96,良,35,63,0.617,10,14,104
2015-07,71,39~116,良,28,70,0.79,15,16,118
2015-08,53,31~77,良,25,54,0.59,5,13,90
2015-09,47,22~92,优,20,49,0.58,7,16,71
2015-10,51,26~119,良,24,56,0.648,9,19,69
2015-11,84,31~208,良,58,93,0.98,17,29,57
2015-12,66,29~142,良,47,57,1.077,23,27,56
2016-01,49,28~152,优,29,40,0.826,20,18,61
2016-02,52,37~148,良,28,42,0.738,16,13,79
2016-03,61,36~128,良,37,63,0.8,14,18,82
2016-04,60,38~159,良,31,64,0.76,10,18,89
2016-05,66,39~145,良,36,72,0.681,8,14,104
2016-06,60,39~97,良,35,55,0.687,8,18,105
2016-07,77,45~150,良,42,67,0.694,9,24,120
2016-08,54,27~87,良,23,53,0.552,8,22,94
2016-09,49,33~89,优,27,51,0.66,7,24,69
2016-10,44,27~93,优,26,45,0.629,8,22,61
2016-11,61,30~255,良,42,52,0.793,11,25,60
2016-12,47,26~100,优,31,43,0.845,14,22,53
2017-01,45,28~98,优,29,41,0.826,12,18,58
2017-02,43,36~66,优,18,30,0.489,9,13,80
2017-03,51,40~124,良,25,44,0.5,7,17,92
2017-04,55,35~97,良,20,54,0.403,6,16,97
2017-05,75,33~500,良,21,66,0.397,5,14,100
2017-06,58,31~120,良,19,47,0.467,5,15,104
2017-07,63,38~104,良,15,37,0.613,7,18,114
2017-08,47,27~76,优,14,31,0.539,5,11,88
2017-09,39,24~72,优,10,31,0.467,7,14,71
2017-10,47,27~121,优,21,48,0.523,8,21,69
2017-11,39,22~70,优,18,36,0.51,10,15,54
2017-12,47,13~117,优,29,44,0.955,15,18,31
2018-01,36,25~85,优,18,27,0.494,10,9,60
2018-02,43,33~79,优,21,33,0.496,11,8,70
2018-03,50,0~83,优,26,42,0.565,10,9,92
2018-04,55,43~82,良,20,47,0.487,6,13,95
2018-05,57,41~84,良,14,39,0.416,8,13,106
2018-06,56,30~104,良,14,27,0.393,5,11,102
2018-07,48,0~104,优,19,28,0.484,5,9,90
2018-08,35,19~59,优,13,23,0.361,4,8,69
2018-09,38,22~95,优,14,27,0.453,4,12,72
2018-10,43,22~89,优,22,43,0.49,5,18,62
2018-11,47,27~77,优,27,49,0.573,9,16,55
2018-12,47,27~100,优,28,47,0.584,8,14,53
2019-01,54,29~95,良,34,56,0.629,10,18,59
2019-02,61,34~175,良,41,59,0.5,9,14,74
2019-03,60,39~138,良,36,62,0.477,7,16,85
2019-04,59,44~111,良,25,61,0.393,6,13,102
2019-05,64,32~212,良,21,58,0.316,5,13,102
2019-06,52,24~96,良,15,24,0.323,5,11,99
2019-07,54,22~80,良,15,22,0.345,5,13,101
2019-08,35,19~72,优,16,20,0.332,4,11,68
