month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,62,62~62,良,45,70,0.5,11,30,109
2015-01,60,29~113,良,40,62,0.965,29,29,85
2015-02,56,41~73,良,29,51,0.986,29,20,104
2015-03,72,53~99,良,27,49,0.99,22,18,126
2015-04,63,35~88,良,19,35,1.043,27,18,114
2015-05,79,44~101,良,21,37,0.99,23,18,134
2015-06,57,41~93,良,17,30,0.92,24,17,107
2015-07,66,38~105,良,24,38,0.981,25,19,117
2015-08,55,35~89,良,22,35,0.739,19,19,99
2015-09,42,26~60,优,23,36,0.907,19,21,71
2015-10,51,32~84,良,30,49,0.99,28,22,88
2015-11,53,35~78,良,28,51,1.35,32,28,90
2015-12,55,39~112,良,33,53,1.281,29,27,70
2016-01,57,38~83,良,36,57,1.219,29,26,94
2016-02,55,36~109,良,30,44,1.234,25,19,92
2016-03,63,46~84,良,21,39,1.223,24,21,115
2016-04,61,39~83,良,20,36,0.943,25,21,110
2016-05,68,36~101,良,22,39,1,22,19,120
2016-06,56,29~95,良,19,31,1.007,28,18,96
2016-07,44,23~95,优,20,34,0.984,27,18,79
2016-08,61,36~106,良,23,34,0.881,30,17,108
2016-09,51,32~80,良,24,37,1.09,45,21,71
2016-10,53,25~82,良,27,43,0.871,34,22,81
2016-11,47,29~65,优,26,42,0.957,32,26,79
2016-12,57,30~93,良,38,57,0.913,32,31,70
2017-01,55,34~82,良,34,53,0.948,27,29,96
2017-02,54,33~70,良,29,49,0.911,23,25,99
2017-03,63,40~81,良,19,36,0.771,17,23,114
2017-04,68,41~116,良,22,39,0.843,17,23,118
2017-05,69,33~100,良,22,38,0.823,17,21,120
2017-06,55,28~95,良,20,32,0.76,13,20,101
2017-07,63,25~120,良,25,39,0.894,17,21,110
2017-08,54,29~107,良,17,26,0.748,12,16,99
2017-09,40,23~66,优,16,25,0.81,14,19,78
2017-10,35,21~54,优,18,26,0.819,15,22,63
2017-11,44,27~60,优,25,39,1.043,18,30,76
2017-12,53,21~88,良,35,53,1.074,17,32,48
2018-01,49,27~75,优,25,38,0.848,16,26,81
2018-02,54,36~89,良,23,35,1.021,15,19,92
2018-03,63,44~84,良,16,25,0.961,16,16,114
2018-04,66,38~90,良,15,27,0.89,16,16,117
2018-05,62,32~88,良,15,26,0.545,14,19,110
2018-06,48,28~99,优,13,20,0.683,13,17,91
2018-07,47,24~95,优,15,22,0.697,14,15,90
2018-08,57,32~90,良,19,28,0.842,13,15,105
2018-09,36,21~63,优,16,25,0.82,14,18,65
2018-10,37,21~48,优,19,29,0.784,17,19,65
2018-11,42,32~54,优,24,39,0.833,16,23,78
2018-12,43,32~65,优,23,38,0.958,17,24,75
2019-01,49,35~60,优,25,41,0.948,17,20,92
2019-02,52,42~65,良,16,27,0.746,15,11,101
2019-03,62,39~87,良,20,35,0.674,14,14,113
2019-04,76,37~106,良,19,36,0.677,14,17,130
2019-05,77,43~108,良,19,37,0.668,13,13,131
2019-06,61,35~112,良,17,30,0.76,14,14,110
