month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,139,55~256,轻度污染,98,198,3.197,125,59,33
2014-01,126,67~236,轻度污染,76,198,3.103,113,57,34
2014-02,110,34~193,轻度污染,74,150,1.925,85,50,43
2014-03,114,38~271,轻度污染,48,173,1.371,63,45,55
2014-04,97,61~181,良,44,145,1.01,38,41,92
2014-05,125,48~373,轻度污染,46,190,0.9,41,37,120
2014-06,82,54~138,良,34,103,0.91,29,37,125
2014-07,94,41~155,良,39,97,0.997,31,39,148
2014-08,76,51~114,良,35,92,1.01,26,41,117
2014-09,78,38~123,良,40,105,1.097,32,47,92
2014-10,110,56~217,轻度污染,60,163,1.339,40,53,70
2014-11,105,33~235,轻度污染,64,157,2.113,53,54,49
2014-12,104,55~168,轻度污染,61,151,2.203,69,49,39
2015-01,106,52~221,轻度污染,75,147,2.394,76,54,38
2015-02,101,34~295,轻度污染,62,131,1.843,56,41,58
2015-03,89,35~151,良,46,124,1.384,42,39,79
2015-04,72,38~199,良,33,96,1.107,32,37,92
2015-05,84,48~138,良,35,108,0.874,24,31,120
2015-06,83,49~125,良,31,78,0.9,18,29,133
2015-07,100,52~159,良,37,84,0.865,26,32,158
2015-08,80,46~120,良,31,78,1.003,24,35,132
2015-09,66,39~102,良,33,70,0.973,24,37,103
2015-10,82,33~133,良,46,113,1.316,34,47,75
2015-11,100,42~218,轻度污染,71,121,1.637,45,47,38
2015-12,139,33~269,轻度污染,102,166,2.381,59,60,30
2016-01,84,40~231,良,54,104,1.7,50,41,55
2016-02,77,39~270,良,49,87,1.421,43,34,73
2016-03,110,41~475,轻度污染,59,152,1.377,34,42,92
2016-04,89,43~153,良,40,127,1.107,22,35,109
2016-05,104,58~375,轻度污染,45,132,1.158,21,31,130
2016-06,75,48~135,良,31,74,0.763,20,32,127
2016-07,93,46~144,良,30,67,0.758,17,27,149
2016-08,75,39~126,良,28,66,0.874,16,31,125
2016-09,62,45~92,良,29,68,1.03,24,39,104
2016-10,75,41~135,良,45,97,1.365,30,45,77
2016-11,114,31~192,轻度污染,74,159,2.257,47,57,53
2016-12,104,48~213,轻度污染,75,124,2.268,52,58,43
2017-01,107,36~437,轻度污染,80,126,2.265,52,50,56
2017-02,94,43~216,良,69,97,1.832,41,47,75
2017-03,68,41~155,良,41,72,1.197,24,37,97
