month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,116,34~210,轻度污染,85,121,1.37,19,25,111
2014-01,110,61~198,轻度污染,81,117,1.581,17,20,123
2014-02,61,36~139,良,37,64,1.236,9,9,73
2014-03,53,26~75,良,28,58,0.99,11,8,63
2014-04,53,34~99,良,21,51,1.143,13,7,87
2014-05,52,29~77,良,14,46,1.281,12,11,94
2014-06,45,32~106,优,11,40,1.063,10,9,84
2014-07,40,29~62,优,10,34,1.027,11,8,71
2014-08,37,24~79,优,6,27,1.106,11,11,70
2014-09,46,24~82,优,17,35,1.023,8,12,86
2014-10,84,41~138,良,49,81,1.171,13,15,134
2014-11,64,18~117,良,39,63,1.163,12,15,94
2014-12,77,29~126,良,56,81,1.377,18,24,92
2015-01,78,24~146,良,56,80,1.281,13,22,105
2015-02,83,30~161,良,60,75,1.1,7,17,96
2015-03,56,33~89,良,32,49,1.081,6,15,85
2015-04,64,24~121,良,31,53,1.023,7,15,107
2015-05,52,38~73,良,14,35,0.965,6,12,101
2015-06,41,26~53,优,9,29,0.943,8,10,82
2015-07,46,25~80,优,15,35,0.906,8,9,88
2015-08,56,27~115,良,17,40,0.968,9,9,100
2015-09,44,32~74,优,20,36,1.143,9,12,81
2015-10,62,32~103,良,41,63,1.032,12,16,99
2015-11,49,30~83,优,27,46,1.14,10,14,81
2015-12,50,26~149,良,33,48,1.11,11,17,65
2016-01,55,28~97,良,37,50,1.123,9,19,69
2016-02,71,28~176,良,51,66,0.959,9,15,79
2016-03,59,34~110,良,38,56,0.987,9,16,91
2016-04,61,38~90,良,29,49,0.95,8,11,108
2016-05,63,38~118,良,18,38,0.881,7,9,113
2016-06,43,31~60,优,10,26,0.807,6,6,86
2016-07,35,23~50,优,10,30,0.594,8,7,68
2016-08,44,32~76,优,16,32,0.7,8,10,84
2016-09,60,27~103,良,25,43,0.75,11,12,108
2016-10,67,30~102,良,29,46,0.748,12,12,117
2016-11,53,20~110,良,25,40,0.743,11,14,95
2016-12,78,53~109,良,49,70,1.113,12,19,126
2017-01,78,35~130,良,49,62,1.326,9,16,117
2017-02,67,42~106,良,43,57,1.236,9,13,110
2017-03,54,30~104,良,32,50,1.235,8,13,86
