month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,76,76~76,良,23,101,1,22,28,86
2015-01,109,57~256,轻度污染,81,119,0.874,43,52,52
2015-02,98,61~163,良,72,113,0.739,28,38,65
2015-03,93,48~206,良,67,105,0.916,19,35,77
2015-04,65,36~124,良,40,78,0.817,23,30,78
2015-05,71,45~138,良,44,83,0.842,20,22,93
2015-06,64,29~117,良,40,67,0.997,16,19,73
2015-07,65,39~106,良,42,69,1.039,22,17,99
2015-08,59,29~87,良,37,60,0.955,25,16,92
2015-09,74,31~138,良,51,79,1.34,22,18,90
2015-10,84,37~173,良,57,96,1.594,33,21,70
2015-11,63,31~109,良,43,61,1.197,23,23,31
2015-12,103,47~189,轻度污染,74,115,1.271,42,28,32
2016-01,134,42~274,轻度污染,99,146,1.668,25,38,65
2016-02,85,37~170,良,56,100,1.303,17,29,74
2016-03,96,46~175,良,67,119,1.313,25,36,82
2016-04,70,46~122,良,46,81,1.377,20,25,89
2016-05,65,28~117,良,36,72,1.206,18,19,97
2016-06,59,34~91,良,29,53,1.187,21,16,102
2016-07,55,34~78,良,29,48,1.206,15,12,93
2016-08,62,30~92,良,39,58,0.916,10,20,102
2016-09,75,40~108,良,48,70,1.297,14,32,106
2016-10,51,30~100,良,32,47,1.226,12,29,53
2016-11,74,32~198,良,52,77,1.43,13,37,39
2016-12,109,55~251,轻度污染,82,109,1.452,16,45,38
2017-01,103,43~226,轻度污染,77,101,1.555,17,36,47
2017-02,81,43~125,良,59,79,1.446,18,36,67
2017-03,74,40~145,良,53,71,1.319,20,37,87
2017-04,69,38~110,良,37,61,1.2,18,31,100
2017-05,70,38~100,良,34,54,1.026,21,24,118
2017-06,79,45~121,良,39,55,0.933,18,25,132
2017-07,75,43~127,良,31,44,0.897,16,21,128
2017-08,68,34~110,良,33,48,0.968,14,23,118
2017-09,52,33~95,良,28,43,1.05,14,27,85
2017-10,47,26~82,优,28,41,1.006,14,32,51
2017-11,71,40~149,良,50,75,1.087,18,44,60
2017-12,94,57~201,良,69,100,1.239,23,57,31
2018-01,98,48~166,良,72,90,1.165,20,41,57
2018-02,75,0~158,良,53,80,1.089,17,33,63
2018-03,73,35~119,良,51,81,0.965,13,33,84
2018-04,64,34~96,良,33,74,0.923,11,24,101
2018-05,61,0~95,良,28,57,0.794,12,19,96
2018-06,70,39~97,良,28,42,0.777,13,16,123
2018-07,61,22~109,良,27,38,0.748,13,15,109
2018-08,72,46~110,良,26,40,0.742,12,14,126
2018-09,50,23~87,优,22,41,0.833,11,20,84
2018-10,54,35~75,良,30,54,0.8,15,28,84
2018-11,56,0~238,良,36,64,0.907,13,33,54
2018-12,83,0~198,良,61,101,1.126,15,37,38
2019-01,128,62~280,轻度污染,96,141,1.342,19,47,43
2019-02,87,57~134,良,63,93,1.082,14,28,62
2019-03,63,38~83,良,36,75,0.839,12,30,84
2019-04,59,40~89,良,34,65,0.867,9,26,96
2019-05,69,38~149,良,28,66,0.771,7,21,108
2019-06,70,28~109,良,25,43,0.817,7,18,119
2019-07,68,30~119,良,21,37,0.758,7,16,119
2019-08,67,38~116,良,23,42,0.835,6,16,116
2019-09,63,24~122,良,26,46,0.86,6,20,106
2019-10,47,24~93,优,25,45,0.858,6,22,66
2019-11,69,27~115,良,44,80,0.947,7,33,59
2019-12,80,50~134,良,57,90,0.961,7,37,43
2020-01,73,39~125,良,52,75,1.09,6,25,56
2020-02,58,32~152,良,37,51,1.079,4,10,76
2020-03,58,32~90,良,29,59,1.081,5,14,95
2020-04,66,44~113,良,32,56,0.74,6,22,105
2020-05,69,30~115,良,25,48,0.745,6,17,116
2020-06,66,36~119,良,24,38,0.737,6,15,116
2020-07,58,27~97,良,22,33,0.787,5,15,105
2020-08,51,28~90,良,20,30,0.677,4,14,94
2020-09,63,38~96,良,26,40,0.687,6,20,111
2020-10,55,24~91,良,32,61,0.765,6,27,62
2020-11,64,29~103,良,43,71,0.903,7,34,65
2020-12,79,51~152,良,56,88,0.881,6,36,44
2021-01,93,49~218,良,62,108,0.971,6,39,59
2021-02,64,28~100,良,43,69,0.739,5,21,74
2021-03,73,33~200,良,27,44,0.668,5,24,76
2021-04,54,34~96,良,25,42,0.673,5,21,89
2021-05,61,23~111,良,26,54,0.655,6,17,100
2021-06,63,24~117,良,21,34,0.647,5,13,110
2021-07,53,28~85,良,16,27,0.645,5,12,99
2021-08,50,23~96,优,18,28,0.729,5,13,91
2021-09,49,23~102,优,18,31,0.7,6,16,90
2021-10,42,22~71,优,23,38,0.652,6,21,69
2021-11,61,31~109,良,38,67,0.703,8,30,67
2021-12,64,41~122,良,42,67,0.726,9,33,52
2022-01,86,38~178,良,63,76,0.984,7,26,64
2022-02,70,54~99,良,51,67,0.707,7,19,80
2022-03,77,27~265,良,38,98,0.697,7,20,89
2022-04,65,36~101,良,29,61,0.617,7,17,113
2022-05,68,39~101,良,28,53,0.616,8,14,116
2022-06,77,45~126,良,20,38,0.617,7,11,131
2022-07,69,38~100,良,19,32,0.513,6,9,121
2022-08,71,26~95,良,18,32,0.565,7,9,123
2022-09,67,39~110,良,24,44,0.577,8,16,117
2022-10,56,18~113,良,28,48,0.594,8,19,94
2022-11,60,26~139,良,40,63,0.8,7,23,64
2022-12,70,48~92,良,44,85,0.716,8,25,60
2023-01,81,53~152,良,51,98,0.874,7,20,70
2023-02,79,25~155,良,55,88,0.964,7,24,73
2023-03,69,35~139,良,34,84,0.752,7,20,92
2023-04,82,29~270,良,37,96,0.813,7,12,111
2023-05,55,21~91,良,22,39,0.677,6,9,100
2023-06,64,29~128,良,18,33,0.62,6,7,112
2023-07,58,34~100,良,16,31,0.552,5,6,106
2023-08,65,36~97,良,19,32,0.626,5,7,116
2023-09,53,19~87,良,19,31,0.687,6,11,96
2023-10,43,25~69,优,21,35,0.665,6,14,78
2023-11,52,26~117,良,28,59,0.673,7,23,56
2023-12,67,26~152,良,44,73,0.835,7,26,30
2024-01,67,35~132,良,47,72,0.894,7,29,63
2024-02,78,27~500,良,46,85,0.81,7,16,77
2024-03,63,38~83,良,35,71,0.794,8,23,94
2024-04,61,34~127,良,29,58,0.677,9,17,98
2024-05,74,40~110,良,26,39,0.639,8,12,127
2024-06,71,43~110,良,25,39,0.707,6,11,123
2024-07,41,19~64,优,15,25,0.594,5,10,80
2024-08,59,29~89,良,18,29,0.59,6,10,107
2024-09,66,25~130,良,24,33,0.737,7,13,116
2024-10,53,23~85,良,27,37,0.6,7,17,96
2024-11,46,24~80,优,29,41,0.637,7,22,69
2024-12,64,36~119,良,46,55,0.784,10,28,61
2025-01,86,26~205,良,61,76,0.852,8,27,67
2025-02,79,35~137,良,54,72,0.775,10,18,69
2025-03,63,37~115,良,37,58,0.648,11,19,92
2025-04,64,60~70,良,38,72,0.611,7,16,107
