month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,195,61~386,中度污染,155,243,1.62,61,87,37
2014-01,166,65~347,中度污染,129,201,1.374,46,73,56
2014-02,105,24~242,轻度污染,78,109,1.021,24,44,66
2014-03,107,55~256,轻度污染,75,141,0.826,33,62,107
2014-04,93,47~144,良,60,108,0.697,22,53,125
2014-05,134,70~270,轻度污染,85,172,0.887,26,56,177
2014-06,130,49~216,轻度污染,90,128,0.813,20,45,161
2014-07,98,35~169,良,65,92,0.816,13,36,128
2014-08,59,26~126,良,42,59,0.758,11,31,64
2014-09,77,36~142,良,51,82,0.733,13,37,105
2014-10,96,60~176,良,67,120,0.79,17,54,105
2014-11,111,37~243,轻度污染,82,132,1.037,21,60,58
2014-12,98,65~148,良,63,136,1.065,30,58,41
2015-01,129,46~281,轻度污染,96,154,1.313,30,66,40
2015-02,101,29~212,轻度污染,73,115,1.175,21,44,70
2015-03,83,31~186,良,56,96,1.113,20,49,83
2015-04,87,44~153,良,50,95,0.92,20,56,123
2015-05,95,45~145,良,52,90,0.887,18,47,141
2015-06,89,28~185,良,46,77,0.863,14,39,132
2015-07,77,28~146,良,36,64,0.713,12,36,117
2015-08,93,30~166,良,33,65,0.745,14,38,147
2015-09,84,50~145,良,30,62,0.733,15,44,138
2015-10,92,42~201,良,56,112,0.932,22,61,119
2015-11,84,39~190,良,57,88,1.087,17,53,59
2015-12,131,60~241,轻度污染,94,143,1.21,25,65,49
2016-01,111,47~234,轻度污染,79,124,1.345,26,58,58
2016-02,100,47~153,轻度污染,69,116,1.345,22,47,93
2016-03,110,42~200,轻度污染,77,133,1.216,21,57,95
2016-04,86,41~143,良,45,89,0.993,18,45,131
2016-05,97,51~235,良,43,88,1.039,15,37,141
2016-06,80,43~152,良,37,62,0.94,17,34,124
2016-07,76,34~140,良,30,56,1.006,18,30,115
2016-08,97,39~203,良,26,54,0.829,16,31,152
2016-09,102,32~179,轻度污染,33,67,0.817,14,37,154
2016-10,56,33~109,良,25,47,1.019,11,39,74
2016-11,72,30~123,良,43,84,1.227,18,51,64
2016-12,96,40~158,良,66,113,1.306,23,65,75
2017-01,89,46~206,良,59,96,1.223,20,51,73
2017-02,85,46~125,良,60,94,1.286,20,53,93
2017-03,77,56~112,良,47,89,1.168,18,54,105
2017-04,93,43~124,良,42,93,1.227,18,51,136
2017-05,111,34~200,轻度污染,30,69,1.061,18,45,160
2017-06,109,40~200,轻度污染,31,61,0.95,13,37,164
2017-07,79,31~149,良,19,46,1.013,13,34,127
2017-08,64,35~130,良,17,39,0.974,12,33,112
2017-09,72,36~146,良,26,49,0.95,10,40,112
2017-10,63,30~128,良,31,56,0.781,10,43,97
2017-11,81,31~127,良,50,104,0.91,16,60,72
2017-12,115,52~304,轻度污染,63,112,1.139,18,67,29
2018-01,113,0~267,轻度污染,82,111,0.977,13,56,52
2018-02,77,0~188,良,54,85,0.793,12,43,67
2018-03,70,38~108,良,45,80,0.661,12,48,87
2018-04,71,0~134,良,35,79,0.617,12,46,122
2018-05,65,0~107,良,30,58,0.687,8,36,114
2018-06,96,35~167,良,27,52,0.55,9,28,150
2018-07,71,30~123,良,23,42,0.5,8,27,118
2018-08,73,31~160,良,21,37,0.548,8,21,124
2018-09,70,30~126,良,27,53,0.607,8,34,116
2018-10,73,45~131,良,34,71,0.568,8,44,114
2018-11,83,30~227,良,56,83,0.867,9,52,70
2018-12,77,33~142,良,50,78,0.79,10,47,43
2019-01,102,38~193,轻度污染,74,108,0.997,11,55,46
2019-02,82,32~158,良,60,82,0.882,8,36,68
2019-03,82,41~118,良,54,97,0.932,14,51,93
2019-04,73,37~134,良,41,74,0.74,12,42,109
2019-05,90,35~157,良,31,69,0.71,13,38,143
2019-06,104,39~179,轻度污染,29,52,0.75,10,29,161
2019-07,85,25~166,良,25,46,0.716,8,30,139
2019-08,85,17~161,良,19,38,0.652,8,25,137
2019-09,84,32~147,良,24,47,0.713,8,36,136
2019-10,78,32~222,良,37,82,0.787,9,47,103
2019-11,74,35~111,良,37,85,0.817,9,54,82
2019-12,81,38~143,良,53,82,1.058,9,58,53
2020-01,86,35~176,良,60,78,0.816,6,41,58
2020-02,51,24~95,良,32,45,0.672,6,25,83
2020-03,60,36~90,良,30,58,0.732,7,38,99
2020-04,80,46~126,良,32,68,0.863,9,43,130
2020-05,96,36~157,良,31,60,0.845,9,33,150
2020-06,72,33~150,良,20,36,0.84,6,25,121
2020-07,61,31~144,良,23,37,0.806,5,26,103
2020-08,79,33~131,良,16,37,0.697,6,24,131
2020-09,81,37~141,良,22,45,0.727,8,34,135
2020-10,65,35~110,良,23,54,0.69,7,41,100
2020-11,60,32~97,良,29,63,0.733,6,43,72
2020-12,86,31~139,良,58,93,0.948,9,56,51
2021-01,82,57~120,良,42,81,0.865,7,48,56
2021-02,58,37~99,良,33,55,0.721,5,24,85
2021-03,73,34~183,良,29,53,0.703,5,38,91
2021-04,70,27~139,良,25,55,0.647,5,35,110
2021-05,81,29~136,良,23,45,0.681,6,29,131
2021-06,95,32~173,良,23,42,0.61,6,23,150
2021-07,57,24~123,良,15,30,0.523,5,17,102
2021-08,74,37~130,良,21,39,0.661,5,20,126
2021-09,85,38~136,良,20,41,0.667,5,23,139
2021-10,63,31~117,良,25,49,0.61,5,35,102
2021-11,63,29~100,良,31,68,0.683,6,45,82
2021-12,76,29~118,良,47,81,0.835,6,52,62
2022-01,82,33~137,良,58,82,0.787,5,44,65
2022-02,57,32~90,良,38,58,0.625,5,32,86
2022-03,75,30~114,良,24,43,0.668,5,31,113
2022-04,84,34~122,良,25,51,0.58,6,26,138
2022-05,92,43~148,良,26,51,0.59,6,25,148
2022-06,90,40~164,良,17,34,0.52,5,14,145
2022-07,74,38~151,良,15,29,0.584,4,14,127
2022-08,78,26~126,良,16,34,0.581,5,16,131
2022-09,76,30~141,良,18,40,0.52,5,20,128
2022-10,59,24~116,良,18,40,0.455,4,26,105
2022-11,53,28~85,良,30,52,0.567,4,34,76
2022-12,76,39~163,良,44,86,0.632,6,44,55
2023-01,70,23~123,良,44,82,0.642,6,34,75
2023-02,58,33~107,良,37,62,0.561,5,31,74
2023-03,75,35~113,良,38,90,0.558,7,34,106
