month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,151,151~151,中度污染,116,197,1,27,50,41
2014-01,198,115~301,中度污染,154,222,1.416,40,49,38
2014-02,141,46~239,轻度污染,107,152,1.214,36,39,36
2014-03,98,53~170,良,72,119,0.897,25,36,39
2014-04,70,35~138,良,50,82,0.787,19,29,47
2014-05,96,50~139,良,72,116,0.671,17,25,52
2014-06,69,34~125,良,50,75,0.627,17,19,47
2014-07,65,31~101,良,47,75,0.639,24,26,66
2014-08,64,31~103,良,46,68,0.539,23,25,75
2014-09,58,28~109,良,41,61,0.54,20,27,62
2014-10,83,37~158,良,61,95,0.655,21,35,63
2014-11,70,30~112,良,50,75,0.757,19,36,34
2014-12,114,52~203,轻度污染,85,128,0.932,26,43,26
2015-01,148,41~248,轻度污染,112,152,1.348,19,33,24
2015-02,122,43~204,轻度污染,92,131,1.543,13,32,30
2015-03,82,38~122,良,60,100,1.303,13,27,26
2015-04,70,24~148,良,49,84,0.82,10,20,41
2015-05,73,43~109,良,51,86,0.745,12,20,65
2015-06,56,29~84,良,37,64,0.63,13,23,53
2015-07,82,35~140,良,47,80,0.697,13,20,108
2015-08,70,30~98,良,44,64,0.629,11,27,100
2015-09,62,33~108,良,44,59,0.58,10,34,59
2015-10,83,37~133,良,61,90,0.668,10,45,59
2015-11,69,42~103,良,50,74,0.773,9,38,30
2015-12,103,57~214,轻度污染,76,115,0.926,8,47,38
2016-01,117,54~185,轻度污染,88,117,1.029,10,41,41
2016-02,117,46~259,轻度污染,88,124,1.021,8,34,47
2016-03,94,35~142,良,70,101,1.035,10,34,52
2016-04,71,48~133,良,51,73,0.867,11,33,73
2016-05,71,30~137,良,50,77,0.787,14,29,89
2016-06,57,30~85,良,36,58,0.64,15,23,94
2016-07,53,37~71,良,32,51,0.613,12,20,92
2016-08,59,36~88,良,38,60,0.623,12,21,99
2016-09,69,48~119,良,50,72,0.763,14,28,80
2016-10,57,27~110,良,41,59,0.8,12,28,60
2016-11,81,35~144,良,60,88,0.893,13,34,45
2016-12,109,51~148,轻度污染,81,119,1.126,12,39,46
2017-01,115,42~208,轻度污染,86,127,1.184,11,41,62
2017-02,80,38~133,良,59,86,0.986,12,40,77
2017-03,67,36~114,良,42,66,0.806,12,42,88
2017-04,66,32~116,良,36,59,0.66,11,35,107
2017-05,87,32~149,良,49,77,0.732,13,36,126
2017-06,70,37~132,良,34,52,0.73,14,28,120
2017-07,77,33~123,良,31,52,0.59,15,28,131
2017-08,76,27~115,良,27,46,0.594,10,24,130
2017-09,57,29~101,良,29,48,0.673,15,27,94
2017-10,44,26~73,优,27,41,0.665,13,28,67
2017-11,73,45~113,良,53,83,0.88,12,35,66
2017-12,109,57~162,轻度污染,74,114,1.097,10,40,43
2018-01,88,29~208,良,65,100,0.977,11,45,68
2018-02,91,43~200,良,66,101,0.918,10,37,89
2018-03,68,32~113,良,48,74,0.755,9,37,91
2018-04,75,42~117,良,40,73,0.607,11,33,121
2018-05,73,42~125,良,39,65,0.565,10,28,119
2018-06,64,33~146,良,26,41,0.52,9,24,112
2018-07,54,24~95,良,27,39,0.519,7,23,98
2018-08,64,41~104,良,36,53,0.642,8,24,114
2018-09,45,23~73,优,26,38,0.567,9,24,79
2018-10,59,35~119,良,41,60,0.665,7,31,64
2018-11,67,26~105,良,48,68,0.72,6,29,54
2018-12,81,0~173,良,60,77,0.848,7,26,50
2019-01,114,58~210,轻度污染,85,111,1.116,5,36,49
2019-02,85,30~200,良,62,85,0.907,5,23,63
2019-03,65,31~95,良,45,70,0.7,5,30,75
2019-04,62,33~98,良,34,57,0.7,5,27,105
2019-05,66,30~134,良,40,65,0.626,5,23,99
2019-06,55,29~118,良,25,42,0.643,8,24,96
2019-07,48,23~74,优,22,38,0.487,6,23,86
2019-08,67,23~111,良,32,55,0.552,5,23,115
2019-09,51,19~108,良,32,50,0.63,4,24,80
2019-10,42,21~89,优,23,38,0.584,5,23,68
2019-11,62,29~87,良,43,70,0.657,5,30,41
2019-12,88,39~148,良,64,87,0.832,7,33,40
2020-01,78,38~134,良,57,74,0.919,7,27,53
2020-02,79,45~139,良,56,72,0.686,8,19,66
2020-03,58,30~92,良,37,61,0.565,6,28,83
2020-04,59,30~103,良,35,55,0.583,5,31,100
2020-05,69,38~111,良,39,66,0.581,5,29,114
2020-06,48,25~90,优,23,42,0.597,5,25,85
2020-07,38,23~67,优,17,34,0.506,6,20,69
2020-08,47,24~75,优,21,40,0.445,4,20,87
2020-09,44,24~72,优,25,42,0.527,3,20,73
2020-10,44,19~109,优,27,43,0.597,3,22,51
2020-11,60,25~92,良,41,67,0.73,4,33,65
2020-12,83,29~196,良,61,80,0.823,5,33,47
2021-01,100,58~190,良,74,105,0.948,6,40,58
2021-02,83,26~219,良,60,82,0.821,4,30,75
