month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,148,30~204,轻度污染,111,162,1.577,41,63,97
2014-01,147,66~250,轻度污染,112,162,1.532,35,57,93
2014-02,72,24~157,良,52,72,1.225,15,34,58
2014-03,69,33~116,良,49,78,1.306,15,40,42
2014-04,61,41~94,良,38,70,1.16,14,32,67
2014-05,61,35~95,良,33,64,1.074,13,29,93
2014-06,57,29~125,良,29,57,0.937,13,26,93
2014-07,44,19~69,优,21,47,0.829,12,25,67
2014-08,50,27~90,良,21,53,0.771,11,27,76
2014-09,56,27~108,良,33,63,0.86,12,29,91
2014-10,95,41~167,良,70,113,1.013,18,44,124
2014-11,71,22~147,良,49,84,0.96,15,41,64
2014-12,97,29~182,良,71,120,1.065,24,50,73
2015-01,96,30~207,良,71,112,1.165,18,46,80
2015-02,99,35~211,良,73,97,1.1,13,36,65
2015-03,56,23~115,良,39,59,1.003,10,30,57
2015-04,68,33~112,良,43,82,0.947,13,31,102
2015-05,53,32~79,良,28,56,0.829,9,25,88
2015-06,43,28~56,优,19,43,0.697,8,21,75
2015-07,53,19~106,良,29,57,0.79,11,26,88
2015-08,58,24~98,良,34,68,0.803,13,29,88
2015-09,49,27~89,优,29,53,0.903,11,27,75
2015-10,79,33~127,良,53,105,1.039,18,41,98
2015-11,56,33~92,良,34,61,1.043,13,34,52
2015-12,62,31~128,良,41,67,1.003,15,38,40
2016-01,63,35~110,良,43,70,1.216,13,40,40
2016-02,82,28~285,良,60,89,1.014,16,32,72
2016-03,68,40~113,良,47,80,1.055,12,38,56
2016-04,61,37~103,良,38,66,0.913,9,29,83
2016-05,52,34~89,良,27,54,0.829,10,26,79
2016-06,43,27~64,优,17,37,0.723,8,22,79
2016-07,40,23~75,优,19,41,0.694,9,21,67
2016-08,49,23~91,优,27,49,0.752,10,26,88
2016-09,62,25~101,良,39,66,0.793,14,31,101
2016-10,59,29~94,良,36,62,0.852,15,32,91
2016-11,49,27~75,优,29,51,0.89,13,35,61
2016-12,79,38~130,良,57,91,1.074,19,50,75
2017-01,80,30~181,良,59,81,1.287,14,39,66
2017-02,67,34~119,良,47,66,1.154,15,31,77
2017-03,52,28~95,良,33,50,1.245,11,35,50
2017-04,55,38~92,良,33,57,1.06,11,32,82
2017-05,51,28~93,良,28,48,0.987,9,34,89
2017-06,41,27~71,优,19,37,0.947,8,27,71
2017-07,45,24~93,优,23,42,1.006,8,28,78
2017-08,43,25~84,优,19,37,0.974,8,28,74
2017-09,50,30~81,优,24,44,1.017,9,30,92
2017-10,59,28~118,良,36,57,1.058,11,34,99
2017-11,70,32~128,良,47,75,1.19,12,46,70
2017-12,85,43~150,良,58,84,1.248,19,55,44
2018-01,75,30~159,良,51,77,1.174,13,47,59
2018-02,69,25~135,良,49,67,1,10,33,74
2018-03,58,38~85,良,37,59,0.916,10,37,83
2018-04,54,0~107,良,30,59,0.83,10,32,85
2018-05,41,30~72,优,18,33,0.739,7,22,78
2018-06,43,20~80,优,19,35,0.82,8,23,80
2018-07,36,23~109,优,17,31,0.745,7,22,65
2018-08,47,23~78,优,24,42,0.848,8,29,82
2018-09,47,22~89,优,26,44,0.763,9,27,83
2018-10,61,33~112,良,34,63,0.961,12,40,82
2018-11,61,33~98,良,39,69,1.077,12,45,61
2018-12,50,25~90,优,30,48,0.981,9,33,36
2019-01,58,31~118,良,37,56,1.19,9,36,39
2019-02,48,25~156,优,31,45,1.079,8,23,36
2019-03,52,29~100,良,31,52,0.919,8,34,45
2019-04,46,32~58,优,25,47,0.78,7,24,65
2019-05,48,27~93,优,25,48,0.752,8,25,71
2019-06,41,27~85,优,16,34,0.677,6,20,77
2019-07,40,27~66,优,17,34,0.723,6,20,75
2019-08,56,20~96,良,23,43,0.7,8,24,98
2019-09,75,25~144,良,36,64,0.783,11,32,126
2019-10,57,34~105,良,31,56,0.829,10,29,89
2019-11,70,25~105,良,47,81,0.88,13,41,95
2019-12,66,35~110,良,44,75,0.952,14,43,65
