month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,63,63~63,良,45,65,1.3,30,10,64
2015-01,64,26~111,良,45,66,1.503,23,13,74
2015-02,62,29~116,良,42,61,1.546,17,14,76
2015-03,47,20~84,优,25,43,1.316,18,12,79
2015-04,60,25~105,良,31,53,1.163,20,14,102
2015-05,53,37~78,良,21,50,0.852,12,14,80
2015-06,40,24~72,优,18,36,0.643,6,9,70
2015-07,34,19~81,优,19,27,0.71,11,9,63
2015-08,38,18~84,优,20,29,0.832,14,12,72
2015-09,51,24~102,良,24,35,0.863,16,12,91
2015-10,50,23~107,优,29,40,0.977,17,12,86
2015-11,37,23~59,优,22,31,1.03,15,20,47
2015-12,39,22~62,优,23,33,1.087,16,20,41
2016-01,40,24~68,优,23,36,1.116,16,21,44
2016-02,48,24~140,优,30,42,0.979,14,14,72
2016-03,57,26~98,良,37,45,1.081,7,23,81
2016-04,52,29~86,良,26,37,1.327,7,20,87
2016-05,50,30~87,优,25,34,1.158,8,15,89
2016-06,35,24~50,优,16,29,0.997,7,13,66
2016-07,47,19~86,优,21,38,0.881,9,13,87
2016-08,47,27~93,优,22,37,0.945,10,13,89
2016-09,51,21~84,良,25,40,0.903,12,15,90
2016-10,36,25~60,优,19,32,0.794,12,17,63
2016-11,38,20~60,优,23,37,0.78,16,22,54
2016-12,56,26~113,良,38,54,0.926,19,29,64
2017-01,50,25~155,良,34,45,0.994,11,22,61
2017-02,45,24~73,优,30,39,0.968,12,22,78
2017-03,45,22~83,优,26,38,0.932,11,24,69
2017-04,60,26~95,良,27,43,0.877,11,22,102
2017-05,57,31~125,良,23,38,0.774,9,18,106
2017-06,35,20~63,优,13,25,0.873,8,14,67
2017-07,42,17~109,优,14,28,0.719,7,11,82
2017-08,47,20~75,优,17,31,0.755,8,13,92
2017-09,60,34~101,良,20,36,0.743,9,16,109
2017-10,58,31~99,良,23,36,0.726,10,17,107
2017-11,47,17~91,优,26,39,0.787,12,22,79
2017-12,55,21~84,良,37,50,0.774,14,31,46
2018-01,42,17~72,优,26,36,0.706,10,23,63
2018-02,57,18~261,良,39,47,0.632,10,16,73
2018-03,49,29~65,优,25,37,0.642,9,20,85
2018-04,56,23~96,良,30,48,0.673,8,18,95
2018-05,56,32~84,良,19,31,0.648,7,12,104
2018-06,45,22~79,优,14,24,0.623,7,11,86
2018-07,40,23~68,优,13,23,0.548,7,10,78
2018-08,44,23~77,优,14,23,0.629,7,9,85
2018-09,44,22~88,优,15,26,0.667,7,12,84
2018-10,54,18~91,良,26,37,0.748,10,20,96
2018-11,33,20~54,优,19,27,0.72,8,19,58
2018-12,34,15~65,优,22,30,0.797,9,21,36
2019-01,41,25~82,优,26,36,0.981,8,23,52
2019-02,32,15~62,优,16,23,0.807,6,12,48
2019-03,45,23~79,优,23,35,0.794,8,17,78
2019-04,45,29~69,优,22,35,0.813,7,15,84
2019-05,49,23~80,优,20,32,0.661,6,12,91
2019-06,43,22~87,优,14,24,0.587,6,12,81
2019-07,39,24~56,优,13,25,0.571,6,10,76
2019-08,45,26~75,优,16,26,0.535,7,9,86
2019-09,62,23~108,良,19,32,0.57,8,14,109
2019-10,59,23~81,良,27,41,0.658,8,18,107
2019-11,52,25~88,良,26,41,0.617,9,22,96
2019-12,45,22~71,优,28,38,0.652,9,26,70
2020-01,41,20~63,优,24,30,0.726,6,15,69
2020-02,42,16~64,优,22,27,0.497,6,9,77
2020-03,40,16~70,优,19,26,0.519,6,13,71
2020-04,59,26~95,良,24,36,0.48,6,15,106
2020-05,51,32~90,良,18,30,0.503,6,11,97
2020-06,45,23~72,优,13,24,0.467,7,11,86
2020-07,48,27~90,优,15,27,0.452,7,12,90
2020-08,39,23~55,优,12,22,0.445,6,9,76
2020-09,44,25~75,优,15,25,0.59,6,11,85
2020-10,49,21~68,优,22,34,0.552,7,15,93
2020-11,46,22~89,优,23,37,0.607,8,22,83
2020-12,41,17~62,优,26,33,0.526,6,19,55
2021-01,50,25~85,良,33,47,0.59,8,28,78
2021-02,50,15~122,良,29,38,0.525,6,13,86
2021-03,48,19~85,优,27,39,0.642,6,16,82
2021-04,51,28~89,良,20,32,0.58,5,13,95
2021-05,40,19~98,优,14,25,0.587,5,11,78
2021-06,40,25~63,优,12,23,0.553,5,9,79
2021-07,43,26~63,优,13,23,0.532,5,9,84
2021-08,39,27~55,优,10,22,0.542,5,8,78
2021-09,48,25~75,优,15,25,0.497,7,11,92
2021-10,38,19~65,优,16,24,0.484,6,12,74
2021-11,38,23~59,优,22,32,0.55,7,18,66
2021-12,45,28~72,优,29,38,0.671,7,23,65
2022-01,39,20~92,优,24,28,0.716,6,17,60
2022-02,33,15~67,优,15,16,0.568,6,9,61
2022-03,50,26~76,优,23,33,0.706,6,14,93
2022-04,55,28~90,良,20,30,0.627,6,12,99
2022-05,45,25~88,优,15,23,0.561,6,11,84
2022-06,35,21~55,优,11,18,0.593,5,9,69
2022-07,50,24~82,良,17,27,0.529,6,9,94
2022-08,48,33~65,优,15,21,0.532,6,9,93
2022-09,75,36~118,良,21,33,0.587,7,13,128
2022-10,51,25~85,良,17,28,0.51,7,13,98
2022-11,31,18~44,优,15,20,0.693,6,14,61
2022-12,38,15~137,优,24,27,0.581,6,17,49
2023-01,43,18~99,优,28,36,0.587,5,13,58
2023-02,43,15~124,优,24,33,0.668,5,17,71
2023-03,54,20~90,良,26,39,0.652,5,19,97
2023-04,49,20~85,优,20,36,0.733,5,13,90
2023-05,48,31~80,优,17,28,0.681,5,12,90
2023-06,41,23~78,优,14,25,0.63,5,10,80
2023-07,38,22~66,优,10,20,0.587,6,9,75
2023-08,42,24~57,优,11,22,0.623,5,8,82
2023-09,43,20~65,优,14,24,0.6,5,9,83
2023-10,42,20~94,优,18,25,0.626,5,13,81
2023-11,43,18~70,优,23,35,0.657,6,21,78
2023-12,38,18~68,优,25,33,0.748,6,22,32
2024-01,46,21~83,优,31,38,0.755,7,24,66
2024-02,35,14~127,优,21,26,0.738,6,12,51
2024-03,47,18~85,优,27,37,0.732,6,19,78
2024-04,43,21~67,优,19,28,0.747,5,13,81
2024-05,52,20~110,良,15,24,0.635,5,12,96
2024-06,32,18~57,优,9,18,0.66,4,10,62
2024-07,38,21~56,优,9,17,0.59,5,10,75
2024-08,46,31~62,优,12,23,0.597,5,9,89
2024-09,37,25~58,优,10,19,0.53,5,10,73
2024-10,39,19~62,优,14,21,0.455,4,11,77
2024-11,36,19~60,优,15,22,0.447,4,14,69
2024-12,46,22~79,优,31,40,0.555,5,24,71
2025-01,52,36~127,良,32,46,0.594,6,23,92
2025-02,39,16~77,优,23,31,0.589,5,12,67
2025-03,50,19~110,良,22,31,0.71,5,17,90
2025-04,64,38~88,良,25,39,0.722,5,17,115
