month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,169,43~336,中度污染,132,185,1.273,54,58,60
2014-01,126,45~290,轻度污染,94,133,0.945,33,43,72
2014-02,86,35~246,良,61,79,0.761,15,21,85
2014-03,97,45~205,良,70,112,0.771,32,44,97
2014-04,82,52~138,良,55,83,0.637,22,38,118
2014-05,109,58~243,轻度污染,74,129,0.832,33,49,147
2014-06,90,37~208,良,62,83,0.617,17,28,124
2014-07,86,41~158,良,50,71,0.648,21,30,124
2014-08,70,36~169,良,41,62,0.645,19,24,114
2014-09,66,37~115,良,37,59,0.593,20,22,113
2014-10,86,56~147,良,52,88,0.661,26,39,123
2014-11,91,43~192,良,66,100,0.76,30,47,90
2014-12,104,52~220,轻度污染,75,129,1.032,49,53,55
2015-01,127,34~271,轻度污染,96,135,1.135,42,47,60
2015-02,97,37~243,良,70,105,0.907,23,33,83
2015-03,85,40~196,良,58,90,0.961,31,39,99
2015-04,84,45~152,良,55,93,0.97,33,42,124
2015-05,80,45~148,良,41,71,0.587,25,28,132
2015-06,92,41~177,良,47,76,0.733,27,33,141
2015-07,83,35~190,良,43,64,0.752,28,31,131
2015-08,80,26~202,良,38,55,0.655,26,25,129
2015-09,75,44~183,良,35,52,0.597,24,26,127
2015-10,91,49~172,良,58,94,0.806,34,41,131
2015-11,79,36~162,良,57,78,0.81,24,40,76
2015-12,115,49~254,轻度污染,85,123,0.987,34,48,62
2016-01,101,34~209,轻度污染,73,106,0.961,36,40,73
2016-02,89,42~189,良,64,96,0.821,29,36,83
2016-03,87,46~137,良,59,86,0.748,32,42,100
2016-04,88,48~179,良,51,89,0.747,28,43,126
2016-05,96,44~172,良,46,78,0.755,25,37,145
2016-06,78,44~171,良,34,55,0.693,21,35,121
2016-07,88,26~188,良,34,61,0.648,21,32,137
2016-08,68,27~142,良,22,38,0.577,20,19,117
2016-09,75,27~160,良,33,53,0.73,23,27,123
2016-10,47,34~65,优,23,38,0.555,16,25,87
2016-11,74,36~148,良,50,73,0.773,24,46,75
2016-12,90,31~192,良,64,87,0.861,28,45,70
2017-01,78,37~183,良,56,69,0.887,18,29,80
2017-02,86,34~144,良,61,73,1.054,21,36,97
2017-03,76,48~125,良,46,68,1.113,21,39,120
2017-04,94,48~179,良,41,81,0.963,24,42,146
2017-05,105,40~204,轻度污染,30,61,0.69,23,37,157
2017-06,93,36~202,良,31,60,0.7,21,30,147
2017-07,99,41~203,良,33,61,0.8,24,47,151
2017-08,88,39~167,良,28,54,0.768,18,31,140
2017-09,69,34~189,良,25,46,0.633,20,30,117
2017-10,53,35~81,良,21,39,0.539,16,24,99
2017-11,69,37~116,良,40,74,0.883,24,51,83
2017-12,88,42~232,良,53,79,1.161,23,58,38
2018-01,91,0~257,良,65,75,0.839,16,40,64
2018-02,72,38~159,良,48,69,0.907,16,35,78
2018-03,65,35~107,良,34,59,0.881,16,45,90
2018-04,82,41~177,良,43,77,0.59,17,42,123
2018-05,71,0~151,良,33,52,0.632,16,35,118
2018-06,80,36~165,良,32,53,0.46,13,26,130
2018-07,60,21~175,良,22,47,0.435,13,21,97
2018-08,49,23~97,优,18,34,0.403,13,15,90
2018-09,63,25~150,良,26,42,0.557,15,23,110
2018-10,67,41~104,良,39,58,0.49,16,32,112
2018-11,83,34~217,良,58,68,0.7,15,39,88
2018-12,69,30~176,良,47,63,0.752,17,38,59
2019-01,80,28~159,良,56,77,0.826,11,36,64
2019-02,73,36~144,良,51,65,0.689,7,23,82
2019-03,80,44~142,良,54,77,0.684,12,44,97
2019-04,63,29~115,良,35,55,0.617,12,35,106
2019-05,87,34~181,良,33,63,0.532,14,38,135
2019-06,79,32~148,良,23,40,0.447,11,27,128
2019-07,80,24~146,良,23,42,0.487,12,27,130
2019-08,64,22~159,良,21,36,0.6,13,19,108
2019-09,54,17~111,良,21,35,0.453,8,20,98
2019-10,68,22~137,良,37,64,0.545,9,31,103
2019-11,64,29~121,良,35,69,0.567,9,37,78
2019-12,77,31~130,良,54,64,0.81,9,43,62
2020-01,84,32~221,良,60,62,0.797,6,25,68
2020-02,55,29~104,良,35,40,0.645,5,18,81
2020-03,58,36~102,良,31,45,0.648,7,26,95
2020-04,77,40~173,良,38,58,0.74,10,33,126
2020-05,80,37~140,良,34,55,0.668,12,29,130
2020-06,65,30~144,良,24,39,0.72,13,25,110
2020-07,53,28~110,良,22,35,0.568,14,23,92
2020-08,69,27~138,良,21,36,0.587,9,26,115
2020-09,69,35~154,良,30,40,0.78,8,30,117
2020-10,58,35~97,良,26,37,0.603,6,23,101
2020-11,56,28~118,良,36,48,0.697,7,30,79
2020-12,80,27~233,良,57,64,0.823,7,37,62
2021-01,73,38~112,良,43,65,0.761,7,38,61
2021-02,59,32~108,良,37,50,0.696,6,23,83
2021-03,68,35~253,良,35,50,0.61,6,26,94
2021-04,63,36~99,良,29,45,0.593,6,25,103
2021-05,85,34~188,良,25,41,0.668,6,30,133
2021-06,69,27~188,良,24,35,0.61,6,23,114
2021-07,62,23~135,良,19,30,0.61,6,16,105
2021-08,66,24~144,良,18,28,0.613,4,14,114
2021-09,70,20~153,良,18,31,0.59,6,16,121
2021-10,57,28~146,良,20,33,0.455,5,21,100
2021-11,65,34~102,良,35,57,0.657,8,41,87
2021-12,72,32~125,良,46,65,0.784,10,44,67
2022-01,69,32~152,良,47,59,0.671,6,28,82
2022-02,56,40~137,良,32,45,0.564,7,20,95
2022-03,65,38~104,良,33,54,0.587,6,31,106
2022-04,83,37~147,良,28,48,0.567,7,24,136
2022-05,84,46~134,良,22,37,0.597,8,23,139
2022-06,89,33~196,良,18,31,0.563,8,21,143
2022-07,80,26~173,良,18,30,0.639,6,19,131
2022-08,98,40~193,良,18,35,0.655,8,20,155
2022-09,64,24~190,良,16,30,0.483,5,15,112
2022-10,54,32~103,良,17,32,0.413,5,20,102
2022-11,48,28~95,优,24,39,0.477,6,25,81
2022-12,65,33~124,良,40,68,0.552,7,31,65
2023-01,68,30~163,良,44,73,0.616,7,29,77
2023-02,55,37~95,良,30,52,0.429,6,23,86
2023-03,73,33~115,良,36,82,0.535,7,34,109
2023-04,85,40~174,良,33,86,0.533,7,24,125
2023-05,80,30~145,良,24,48,0.537,7,25,132
2023-06,88,29~185,良,19,31,0.633,7,22,141
2023-07,66,16~170,良,14,24,0.616,7,20,111
2023-08,67,25~174,良,12,23,0.568,7,13,115
2023-09,61,30~132,良,14,25,0.573,7,16,110
2023-10,72,41~138,良,24,43,0.545,8,31,124
2023-11,64,33~114,良,35,63,0.613,8,38,82
2023-12,76,25~199,良,53,76,0.726,8,44,33
2024-01,83,33~201,良,59,81,0.781,8,41,68
2024-02,64,31~204,良,41,55,0.583,7,20,85
2024-03,65,36~102,良,36,69,0.613,8,32,98
2024-04,63,35~93,良,20,46,0.567,8,21,109
2024-05,78,39~161,良,16,39,0.523,8,20,130
2024-06,76,29~147,良,12,25,0.64,8,20,125
