month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,128,128~128,轻度污染,97,122,0.3,28,24,20
2015-01,80,35~163,良,59,78,0.474,25,17,19
2015-02,81,37~138,良,54,100,0.582,20,18,23
2015-03,60,25~107,良,29,72,1.061,21,11,19
2015-04,63,27~192,良,25,80,1.097,24,11,25
2015-05,46,19~93,优,16,51,0.997,15,8,19
2015-06,38,27~64,优,14,37,0.673,14,9,46
2015-07,51,31~76,良,20,55,0.519,15,14,56
2015-08,52,32~80,良,21,55,0.758,19,16,78
2015-09,49,23~72,优,19,53,0.743,19,15,61
2015-10,66,26~115,良,31,84,1.129,24,27,49
2015-11,58,31~124,良,33,69,1.386,35,25,34
2015-12,83,31~158,良,59,99,2.068,43,25,24
2016-01,99,62~178,良,74,123,2.274,28,12,32
2016-02,97,36~157,良,61,134,2.424,37,17,20
2016-03,66,32~125,良,37,76,1.081,20,26,74
2016-04,66,46~103,良,21,69,0.4,13,22,112
2016-05,61,43~81,良,19,47,0.677,8,19,112
2016-06,64,0~84,良,16,46,0.95,11,17,112
2016-07,66,49~89,良,15,39,1.026,11,17,119
2016-08,65,49~83,良,19,53,0.974,17,18,116
2016-09,63,47~84,良,22,67,0.933,20,25,109
2016-10,58,30~94,良,32,67,1.21,14,27,55
2016-11,66,30~126,良,37,76,1.92,20,31,42
2016-12,71,37~118,良,48,82,2.339,25,35,35
2017-01,108,77~160,轻度污染,81,130,2.694,33,43,59
2017-02,85,42~122,良,63,109,1.543,21,36,77
2017-03,64,47~94,良,43,77,1.11,10,22,83
2017-04,59,37~92,良,23,62,0.773,9,18,101
2017-05,71,50~106,良,21,58,0.89,9,19,123
2017-06,70,47~97,良,19,48,0.76,8,18,124
2017-07,75,58~91,良,19,44,0.735,9,17,130
2017-08,65,44~83,良,18,42,0.626,11,19,118
2017-09,67,28~95,良,24,73,0.773,11,24,106
2017-10,66,29~99,良,34,85,1.242,17,35,74
2017-11,71,34~130,良,39,95,1.477,15,30,36
2017-12,66,36~100,良,47,73,1.574,15,30,23
2018-01,87,0~165,良,67,101,1.81,21,33,39
2018-02,82,40~140,良,60,99,1.661,24,31,67
2018-03,40,0~61,优,23,41,0.774,15,16,60
2018-04,55,0~100,良,20,57,0.507,13,14,91
2018-05,46,0~71,优,17,44,0.365,12,10,93
2018-06,50,29~66,优,16,35,0.3,10,13,95
2018-07,40,0~62,优,15,34,0.271,9,11,82
2018-08,46,0~68,优,13,31,0.316,11,10,92
2018-09,38,0~56,优,16,47,0.343,10,13,77
2018-10,55,21~72,良,21,61,0.545,9,20,58
2018-11,64,0~138,良,34,80,0.823,12,21,43
2018-12,75,34~110,良,44,100,1.145,13,28,54
2019-01,71,48~107,良,46,91,1.194,16,31,58
2019-02,60,47~94,良,35,68,0.943,15,26,75
2019-03,62,35~96,良,34,71,0.765,10,23,83
2019-04,63,34~108,良,15,57,0.507,7,18,110
2019-05,70,44~119,良,15,61,0.429,7,17,117
2019-06,65,32~90,良,11,31,0.273,12,15,115
2019-07,71,52~84,良,17,47,0.31,12,15,125
2019-08,63,36~82,良,16,46,0.345,9,17,114
2019-09,56,35~124,良,15,54,0.34,12,21,96
2019-10,55,25~79,良,19,63,0.471,15,27,68
2019-11,61,25~95,良,25,75,0.663,12,26,42
2019-12,64,27~98,良,42,78,1.187,10,36,35
2020-01,77,48~113,良,56,88,1.506,16,35,57
2020-02,56,32~107,良,35,55,0.934,24,17,80
2020-03,63,30~280,良,18,75,0.539,18,15,78
2020-04,71,38~135,良,18,80,0.34,11,18,105
2020-05,60,37~91,良,13,44,0.194,9,17,108
2020-06,60,42~77,良,12,46,0.207,9,17,107
2020-07,59,45~70,良,11,37,0.245,9,15,111
2020-08,54,42~65,良,10,24,0.197,12,7,103
2020-09,50,36~72,良,14,49,0.29,12,21,81
2020-10,60,29~90,良,20,70,0.519,14,30,62
2020-11,61,35~91,良,23,74,0.667,13,25,38
2020-12,73,30~105,良,52,92,1.152,16,41,47
2021-01,65,34~110,良,43,76,0.897,15,33,58
2021-02,58,35~122,良,37,61,0.629,11,20,71
2021-03,50,35~85,良,21,52,0.419,9,15,78
2021-04,65,37~113,良,16,63,0.237,7,16,109
2021-05,65,43~135,良,12,43,0.216,7,13,110
2021-06,59,45~85,良,10,40,0.187,6,12,108
2021-07,63,48~83,良,10,38,0.187,6,13,114
2021-08,59,40~74,良,9,30,0.19,7,8,110
2021-09,60,42~90,良,14,61,0.26,10,18,94
2021-10,57,27~101,良,20,67,0.352,8,26,67
2021-11,74,31~131,良,29,100,0.527,9,25,39
2021-12,84,34~194,良,44,119,0.748,11,26,31
2022-01,98,53~149,良,69,128,1.081,12,29,48
2022-02,73,37~134,良,50,86,0.696,15,23,85
2022-03,46,28~98,优,21,45,0.432,9,13,77
2022-04,84,40~307,良,19,104,0.24,6,12,107
2022-05,65,41~122,良,15,53,0.258,5,10,111
2022-06,62,46~89,良,11,30,0.307,4,8,114
2022-07,60,44~74,良,11,32,0.413,4,8,111
2022-08,58,42~75,良,11,30,0.484,7,5,108
2022-09,60,42~99,良,16,47,0.397,8,10,107
2022-10,52,32~82,良,19,59,0.552,11,17,71
2022-11,50,25~78,良,23,55,0.507,10,15,45
2022-12,70,51~105,良,47,86,0.916,10,31,42
2023-01,81,40~224,良,56,94,0.977,15,29,64
2023-02,79,38~159,良,54,92,0.954,10,24,85
