month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,103,103~103,轻度污染,51,156,1.5,104,62,33
2014-01,106,32~243,轻度污染,78,107,1.097,93,55,43
2014-02,68,27~122,良,46,62,0.929,45,35,73
2014-03,78,53~116,良,51,96,0.832,51,37,94
2014-04,73,41~125,良,42,82,0.637,24,29,113
2014-05,92,51~178,良,40,92,0.565,27,34,145
2014-06,77,39~125,良,36,56,0.533,20,27,129
2014-07,93,39~169,良,42,64,0.629,16,24,148
2014-08,84,40~168,良,39,66,0.532,16,31,139
2014-09,68,34~106,良,31,60,0.63,15,29,116
2014-10,75,39~144,良,39,89,0.629,21,32,108
2014-11,123,46~230,轻度污染,91,143,1.28,48,41,59
2014-12,108,54~258,轻度污染,78,133,1.594,81,34,35
2015-01,98,33~235,良,71,111,1.548,66,27,42
2015-02,85,42~146,良,61,100,1.429,58,30,58
2015-03,68,36~111,良,43,85,0.955,45,30,72
2015-04,73,40~116,良,40,95,0.703,26,24,94
2015-05,66,39~113,良,36,80,0.665,33,21,102
2015-06,74,42~118,良,36,72,0.52,31,18,124
2015-07,74,34~140,良,29,60,0.5,20,18,125
2015-08,82,27~180,良,34,63,0.526,13,28,134
2015-09,74,35~151,良,31,62,0.6,39,32,119
2015-10,87,42~156,良,57,88,0.619,16,35,114
2015-11,90,32~192,良,66,95,0.987,24,37,64
2015-12,150,41~337,轻度污染,115,160,1.765,56,59,39
2016-01,121,47~320,轻度污染,90,132,1.6,60,50,43
2016-02,95,31~186,良,69,101,1.255,44,36,57
2016-03,82,43~168,良,50,107,0.826,26,36,72
2016-04,97,41~365,良,54,134,0.69,19,32,93
2016-05,108,48~204,轻度污染,42,83,0.532,13,29,162
2016-06,115,46~179,轻度污染,31,52,0.477,10,18,175
2016-07,91,27~148,良,33,51,0.487,9,15,145
2016-08,72,28~205,良,22,45,0.487,11,19,119
2016-09,99,35~195,良,38,70,0.517,15,25,155
2016-10,67,38~117,良,40,71,0.626,9,32,92
2016-11,92,31~195,良,64,117,1.173,21,46,57
2016-12,112,39~250,轻度污染,83,135,1.497,34,51,46
2017-01,106,39~258,轻度污染,77,120,1.539,31,43,59
2017-02,85,0~222,良,59,98,1.064,25,33,76
2017-03,76,48~119,良,50,93,0.803,17,39,98
2017-04,90,60~153,良,45,105,0.68,13,38,136
2017-05,114,47~188,轻度污染,34,100,0.51,9,25,163
2017-06,105,53~207,轻度污染,25,54,0.463,6,20,164
2017-07,97,32~168,良,29,63,0.603,5,17,153
2017-08,77,33~159,良,21,44,0.568,5,19,128
2017-09,90,36~157,良,26,54,0.593,7,27,144
2017-10,58,28~107,良,31,54,0.577,7,32,93
2017-11,74,30~189,良,46,81,0.88,15,45,65
2017-12,90,38~198,良,59,118,1.448,28,61,26
2018-01,87,34~202,良,56,113,1.365,25,51,51
2018-02,67,45~107,良,42,77,0.961,18,31,82
2018-03,72,35~111,良,41,81,0.858,10,32,113
2018-04,86,39~163,良,35,91,0.71,9,28,129
2018-05,87,48~134,良,28,59,0.623,6,22,143
