month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,70,27~110,良,48,74,0.803,22,42,94
2014-01,75,34~140,良,53,74,0.81,23,48,101
2014-02,48,21~83,优,30,45,0.668,13,33,76
2014-03,67,35~105,良,42,72,0.648,20,48,92
2014-04,64,52~86,良,40,67,0.707,18,38,100
2014-05,61,30~104,良,40,59,0.803,13,40,88
2014-06,49,26~94,优,27,45,0.523,10,22,86
2014-07,44,27~71,优,21,41,0.545,14,27,84
2014-08,56,23~92,良,32,53,0.658,16,33,101
2014-09,52,35~81,良,28,49,0.557,10,23,96
2014-10,58,38~85,良,37,60,0.632,10,23,96
2014-11,55,33~86,良,36,57,0.68,12,30,71
2014-12,59,31~96,良,41,64,0.616,14,36,61
2015-01,69,24~124,良,49,72,0.723,13,39,66
2015-02,55,30~94,良,39,56,0.786,8,25,73
2015-03,51,27~90,良,33,52,0.635,8,33,73
2015-04,50,28~78,良,28,52,0.527,10,33,83
2015-05,51,32~87,良,33,53,0.597,11,30,64
2015-06,40,26~61,优,23,40,0.393,9,24,62
2015-07,41,24~68,优,21,37,0.477,10,25,72
2015-08,42,28~64,优,20,37,0.484,10,31,67
2015-09,48,30~60,优,27,47,0.613,8,25,80
2015-10,49,30~73,优,29,51,0.603,8,22,73
2015-11,48,30~65,优,25,51,0.657,7,23,47
2015-12,53,34~78,良,29,55,0.687,9,32,39
2016-01,56,34~89,良,34,53,0.761,9,36,40
2016-02,51,25~94,良,34,52,0.628,7,26,50
2016-03,63,30~133,良,43,61,0.794,11,38,61
2016-04,56,32~77,良,32,54,0.73,11,36,65
2016-05,46,24~69,优,24,45,0.613,10,26,65
2016-06,33,19~50,优,14,32,0.46,9,18,48
2016-07,41,16~117,优,16,38,0.452,11,22,65
2016-08,51,24~82,良,23,43,0.584,14,34,87
2016-09,52,28~79,良,22,39,0.623,9,27,94
2016-10,45,29~90,优,21,40,0.535,10,27,73
2016-11,61,33~144,良,34,63,0.62,13,37,71
2016-12,65,39~98,良,40,71,0.7,15,44,67
2017-01,59,34~98,良,39,57,0.745,12,37,72
2017-02,60,39~96,良,36,53,0.675,11,38,81
2017-03,74,44~129,良,40,72,0.719,14,56,88
2017-04,63,29~108,良,31,62,0.64,13,38,91
2017-05,51,33~86,良,25,47,0.555,10,27,86
2017-06,35,20~50,优,16,27,0.463,8,23,61
2017-07,33,21~58,优,14,26,0.403,10,21,63
2017-08,45,26~69,优,20,34,0.465,9,24,86
2017-09,54,29~90,良,24,40,0.59,10,23,100
2017-10,51,30~85,良,23,46,0.545,9,23,96
2017-11,54,30~81,良,26,49,0.637,13,37,83
2017-12,60,20~98,良,33,63,0.661,12,39,46
2018-01,51,31~74,良,27,45,0.61,10,34,64
2018-02,51,30~85,良,28,48,0.575,8,27,71
2018-03,56,36~116,良,30,50,0.626,10,40,79
2018-04,56,30~84,良,29,59,0.523,11,29,86
2018-05,44,23~65,优,21,39,0.432,10,24,84
2018-06,45,24~83,优,16,30,0.447,8,21,84
2018-07,41,27~78,优,17,35,0.429,8,24,76
2018-08,47,23~81,优,17,29,0.484,8,25,87
2018-09,51,31~90,良,18,35,0.5,7,24,95
2018-10,65,38~96,良,24,48,0.571,7,25,114
2018-11,46,30~59,优,22,42,0.607,7,30,78
2018-12,47,24~78,优,24,44,0.645,8,32,67
2019-01,52,28~75,良,30,51,0.758,6,31,71
2019-02,47,29~128,优,26,36,0.614,5,18,70
2019-03,60,37~93,良,30,47,0.606,6,34,97
2019-04,54,30~92,良,27,38,0.57,6,32,91
2019-05,55,34~86,良,25,41,0.494,6,24,98
2019-06,40,19~89,优,16,25,0.447,5,18,74
2019-07,37,23~62,优,15,28,0.439,4,17,72
2019-08,45,22~74,优,16,30,0.526,4,19,86
2019-09,67,26~111,良,19,36,0.517,4,17,116
2019-10,78,49~108,良,29,50,0.545,8,15,133
2019-11,63,32~108,良,24,51,0.52,6,21,111
2019-12,55,32~92,良,31,44,0.652,6,32,85
2020-01,54,33~92,良,30,40,0.571,5,21,90
2020-02,53,28~77,良,21,32,0.431,5,15,98
2020-03,54,37~93,良,24,40,0.519,6,24,89
2020-04,59,33~86,良,23,45,0.463,6,24,105
2020-05,51,19~111,良,17,29,0.519,6,18,94
2020-06,34,20~57,优,8,19,0.35,5,13,66
2020-07,37,21~75,优,11,21,0.355,6,15,71
2020-08,38,22~79,优,13,24,0.413,6,17,74
2020-09,62,35~91,良,19,32,0.577,6,18,111
2020-10,59,34~80,良,17,41,0.458,5,13,109
2020-11,52,36~90,良,18,42,0.53,5,20,95
2020-12,46,31~73,优,21,34,0.552,5,23,83
2021-01,53,36~70,良,31,54,0.561,7,29,90
2021-02,54,33~75,良,29,42,0.496,5,18,100
2021-03,57,33~85,良,30,47,0.545,6,25,93
2021-04,66,32~97,良,23,41,0.49,6,20,113
2021-05,48,24~97,优,17,32,0.468,5,18,88
2021-06,43,27~60,优,13,25,0.41,5,16,83
2021-07,43,20~95,优,13,27,0.394,5,15,82
2021-08,42,23~67,优,13,24,0.371,4,16,82
2021-09,58,28~105,良,15,28,0.383,5,15,106
2021-10,52,26~96,良,14,30,0.358,3,10,95
2021-11,50,23~77,优,20,39,0.473,5,20,94
2021-12,52,31~75,良,26,46,0.568,6,24,88
2022-01,47,31~83,优,24,36,0.539,5,20,83
2022-02,43,25~75,优,15,21,0.464,3,16,82
2022-03,60,33~95,良,27,45,0.532,5,32,99
2022-04,60,24~81,良,23,42,0.413,5,26,102
2022-05,52,23~104,良,16,29,0.419,4,23,94
2022-06,34,19~60,优,10,20,0.377,3,19,59
2022-07,51,19~110,良,15,30,0.342,4,19,92
2022-08,51,15~149,良,13,27,0.381,4,17,93
2022-09,77,41~118,良,21,41,0.423,3,17,131
2022-10,57,28~81,良,14,33,0.374,4,17,105
2022-11,46,26~70,优,16,30,0.507,4,25,85
2022-12,42,26~60,优,16,33,0.571,4,26,77
2023-01,50,24~104,优,23,37,0.661,3,26,76
2023-02,57,34~92,良,27,46,0.493,4,35,89
2023-03,62,29~93,良,28,52,0.41,5,33,103
2023-04,56,27~80,良,25,49,0.417,3,22,96
2023-05,51,25~87,良,21,42,0.332,3,16,95
2023-06,40,16~80,优,13,24,0.343,3,10,75
2023-07,36,22~97,优,10,22,0.306,2,10,68
2023-08,39,21~65,优,15,28,0.326,2,17,77
2023-09,40,15~59,优,13,25,0.297,2,13,78
2023-10,51,31~89,良,19,33,0.413,3,13,96
2023-11,54,29~92,良,21,43,0.49,3,18,99
2023-12,43,13~72,优,25,43,0.532,3,26,46
2024-01,56,29~85,良,35,54,0.594,3,30,91
2024-02,46,23~143,优,26,35,0.593,3,16,76
2024-03,59,27~93,良,28,51,0.632,3,29,93
2024-04,43,27~85,优,22,33,0.537,2,22,74
2024-05,42,20~74,优,17,30,0.426,2,16,76
2024-06,24,13~50,优,9,17,0.317,2,11,45
2024-07,22,13~46,优,7,17,0.306,3,7,42
2024-08,42,19~70,优,18,29,0.416,3,17,83
2024-09,35,21~84,优,12,21,0.363,2,10,68
2024-10,47,21~108,优,14,26,0.387,2,10,90
2024-11,41,19~75,优,13,26,0.387,2,13,80
2024-12,49,27~70,优,24,42,0.497,3,20,92
2025-01,62,46~100,良,28,51,0.49,3,19,112
2025-02,52,31~95,良,25,37,0.504,2,19,90
2025-03,57,31~109,良,20,35,0.477,3,26,100
2025-04,74,39~100,良,27,52,0.533,3,31,126
