month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,106,106~106,轻度污染,79,108,1.1,25,26,49
2015-01,100,32~263,良,75,104,1.035,26,24,45
2015-02,100,32~226,轻度污染,68,117,0.993,25,24,57
2015-03,61,38~128,良,38,75,0.635,22,22,78
2015-04,63,37~100,良,40,74,0.793,16,20,85
2015-05,53,28~175,良,24,61,0.758,15,17,76
2015-06,53,32~104,良,29,48,0.693,10,16,84
2015-07,56,32~99,良,33,53,0.806,13,18,94
2015-08,43,26~73,优,22,42,0.677,14,18,64
2015-09,43,24~63,优,23,44,0.633,10,23,62
2015-10,54,24~122,良,35,57,0.632,14,24,65
2015-11,78,30~297,良,54,75,1.193,22,34,51
2015-12,85,26~168,良,63,84,1.242,31,34,44
2016-01,73,31~214,良,53,70,1.094,34,30,52
2016-02,74,32~179,良,53,72,1.176,31,30,62
2016-03,60,32~133,良,38,65,1.074,13,20,70
2016-04,62,34~110,良,37,70,0.67,10,18,72
2016-05,45,27~80,优,23,42,0.61,10,17,73
2016-06,37,20~66,优,19,37,0.717,10,20,51
2016-07,38,20~57,优,18,38,0.697,10,16,54
2016-08,40,14~78,优,16,38,0.784,15,19,51
2016-09,36,16~68,优,19,38,0.64,11,16,45
2016-10,46,21~100,优,27,48,0.639,17,19,48
2016-11,70,28~148,良,50,73,0.757,24,26,41
2016-12,75,37~172,良,54,81,0.916,25,29,36
2017-01,94,25~208,良,70,91,0.974,21,30,44
2017-02,52,28~108,良,37,48,0.707,15,21,63
2017-03,60,34~134,良,42,62,0.948,13,24,79
2017-04,64,32~133,良,43,72,0.69,14,20,87
2017-05,56,24~176,良,22,44,0.632,12,14,93
2017-06,40,22~63,优,23,34,0.6,7,16,67
2017-07,46,28~90,优,24,39,0.706,9,17,82
2017-08,38,21~62,优,19,36,0.61,8,15,59
2017-09,40,30~57,优,17,37,0.75,10,17,62
2017-10,96,26~500,良,83,116,0.987,12,25,69
2017-11,97,27~500,良,78,105,0.87,14,23,53
2017-12,68,24~155,良,48,67,0.939,19,25,34
2018-01,70,25~173,良,50,65,0.803,20,25,52
2018-02,65,33~168,良,46,59,0.732,18,24,70
2018-03,54,0~93,良,31,48,0.6,9,19,96
2018-04,63,0~128,良,33,63,0.56,6,18,107
2018-05,56,31~91,良,19,47,0.648,9,16,103
2018-06,51,23~120,良,15,30,0.483,5,13,93
2018-07,41,16~101,优,16,30,0.503,4,13,74
2018-08,31,18~42,优,14,27,0.706,5,11,58
2018-09,36,22~52,优,15,29,0.83,8,14,66
2018-10,42,20~73,优,17,41,0.819,7,20,65
2018-11,50,26~114,优,27,53,0.627,9,21,57
2018-12,67,33~331,良,45,70,0.606,8,19,52
2019-01,64,33~175,良,41,70,0.797,10,21,54
2019-02,84,33~313,良,62,87,0.879,10,20,74
2019-03,74,37~379,良,50,76,0.784,7,20,87
