month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,202,202~202,重度污染,152,160,1.1,62,81,68
2014-01,166,63~323,中度污染,128,54,1.072,63,63,106
2014-02,110,38~249,轻度污染,81,27,0.792,36,38,107
2014-03,108,54~187,轻度污染,81,70,0.826,42,45,88
2014-04,100,50~170,轻度污染,67,63,0.81,51,31,113
2014-05,122,55~197,轻度污染,82,115,0.839,39,38,150
2014-06,115,47~205,轻度污染,84,77,0.8,22,29,105
2014-07,90,24~222,良,55,56,0.784,21,31,111
2014-08,76,36~174,良,40,70,0.734,24,24,91
2014-09,64,31~121,良,35,62,0.667,26,28,96
2014-10,76,50~143,良,50,77,0.71,29,34,100
2014-11,98,45~201,良,73,51,1.047,33,42,68
2014-12,101,58~170,轻度污染,74,89,1.055,37,39,47
2015-01,134,32~281,轻度污染,102,62,1.09,37,39,61
2015-02,90,37~189,良,65,69,1.011,24,27,97
2015-03,74,38~157,良,48,58,0.842,21,29,92
2015-04,92,37~148,良,47,57,0.83,26,33,134
2015-05,90,40~163,良,41,78,0.897,24,31,139
2015-06,72,16~134,良,34,71,0.827,21,27,98
2015-07,70,23~195,良,29,50,0.674,20,16,95
2015-08,58,20~88,良,22,69,0.706,19,25,46
2015-09,60,41~90,良,25,64,0.727,21,26,81
2015-10,71,34~152,良,46,80,0.955,23,31,82
2015-11,65,35~147,良,45,60,1.197,22,22,70
2015-12,113,46~216,轻度污染,81,96,1.245,31,34,54
2016-01,97,26~228,良,71,73,0.971,29,26,32
2016-02,85,21~173,良,61,80,0.903,25,19,41
2016-03,97,20~256,良,69,90,0.952,16,22,34
2016-04,65,33~109,良,37,77,0.877,16,24,42
2016-05,64,29~186,良,31,78,0.842,15,21,72
2016-06,55,29~108,良,21,55,0.717,12,21,86
2016-07,61,20~167,良,24,56,0.7,15,22,85
2016-08,95,43~201,良,21,56,0.645,14,26,149
2016-09,90,32~183,良,34,65,0.693,17,31,140
2016-10,47,33~75,优,21,42,0.748,14,32,68
2016-11,63,32~115,良,39,71,0.987,15,37,68
2016-12,101,36~237,轻度污染,75,100,0.81,14,37,53
2017-01,102,49~216,轻度污染,76,84,0.89,10,37,64
2017-02,105,46~163,轻度污染,78,88,0.746,15,33,97
2017-03,81,44~152,良,57,83,0.771,17,39,104
2017-04,88,38~139,良,43,85,0.747,17,36,130
2017-05,87,37~143,良,36,84,0.568,17,33,130
2017-06,70,30~110,良,31,67,0.913,18,31,113
2017-07,74,27~150,良,20,46,0.719,10,24,124
2017-08,63,35~133,良,19,47,0.829,9,25,112
2017-09,72,40~117,良,42,58,0.65,10,35,103
2017-10,64,29~114,良,37,61,0.674,11,26,100
2017-11,86,52~166,良,56,110,1.073,14,32,71
2017-12,119,57~298,轻度污染,89,119,0.981,12,40,40
2018-01,141,37~316,轻度污染,107,138,0.942,12,43,61
2018-02,106,46~249,轻度污染,71,118,0.757,11,62,59
2018-03,84,48~129,良,57,105,0.835,10,40,111
2018-04,101,56~153,轻度污染,50,130,0.723,11,45,137
2018-05,85,50~147,良,46,94,1.113,10,44,118
2018-06,97,39~170,良,41,75,0.71,9,37,149
2018-07,82,40~130,良,32,57,0.626,6,30,126
2018-08,72,41~140,良,29,50,0.555,6,27,120
2018-09,75,35~138,良,38,71,0.713,11,41,110
2018-10,75,50~137,良,41,90,0.639,10,38,110
2018-11,86,34~279,良,60,99,1.047,7,42,78
2018-12,81,34~218,良,53,99,0.977,7,39,51
2019-01,112,40~202,轻度污染,83,124,1.465,7,43,57
2019-02,88,41~153,良,64,88,1.252,6,27,87
2019-03,89,36~135,良,63,101,1.045,8,40,107
2019-04,76,35~148,良,40,74,0.987,6,35,113
2019-05,97,35~173,良,34,66,0.71,8,31,152
2019-06,114,38~201,轻度污染,32,52,0.667,6,26,173
2019-07,90,33~182,良,27,43,0.726,6,27,146
2019-08,92,17~162,良,23,42,0.684,6,21,145
2019-09,84,30~141,良,26,52,0.647,8,31,137
2019-10,72,32~145,良,41,85,0.645,8,38,98
2019-11,70,25~130,良,39,90,0.663,9,41,77
2019-12,76,36~123,良,51,95,0.794,6,40,47
2020-01,92,26~202,良,67,95,0.981,6,26,52
2020-02,58,27~104,良,37,59,0.879,6,10,82
2020-03,58,33~95,良,32,65,0.739,8,21,97
2020-04,77,42~122,良,38,70,0.73,9,31,126
2020-05,99,36~169,良,35,61,0.877,7,30,153
2020-06,77,30~157,良,22,37,0.723,6,24,130
2020-07,68,32~163,良,22,34,0.852,6,23,116
2020-08,83,32~148,良,22,37,0.706,7,20,136
2020-09,89,39~157,良,28,47,0.73,9,31,144
2020-10,64,33~100,良,28,60,0.69,11,37,103
2020-11,62,30~99,良,36,73,0.803,11,42,74
2020-12,94,32~172,良,69,99,1.094,14,52,54
2021-01,92,57~162,良,64,105,0.952,13,43,59
2021-02,64,37~107,良,41,65,0.757,11,22,86
2021-03,81,38~158,良,48,93,0.761,9,33,96
2021-04,72,42~129,良,35,71,0.767,7,32,108
2021-05,83,30~137,良,30,62,0.784,6,23,131
2021-06,101,38~168,轻度污染,25,40,0.69,6,19,158
2021-07,58,0~122,良,16,25,0.597,5,12,103
