month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,53,53~53,良,34,56,0.7,58,38,88
2015-01,75,22~120,良,55,87,0.942,49,41,59
2015-02,68,16~156,良,50,72,0.882,17,25,50
2015-03,42,22~66,优,29,41,0.848,17,21,46
2015-04,56,27~100,良,38,55,0.83,23,17,79
2015-05,59,28~151,良,41,58,0.868,18,11,70
2015-06,42,25~71,优,28,41,0.813,17,12,63
2015-07,56,29~119,良,39,56,0.832,21,12,77
2015-08,57,27~87,良,38,57,0.761,25,12,88
2015-09,60,29~83,良,41,53,0.903,29,15,95
2015-10,75,35~128,良,54,76,0.829,36,23,98
2015-11,57,29~114,良,40,48,1.017,24,29,40
2015-12,69,34~122,良,50,63,0.923,26,35,44
2016-01,67,37~139,良,48,61,0.948,21,33,54
2016-02,69,39~214,良,50,65,0.769,17,23,79
2016-03,66,27~95,良,47,62,0.932,26,30,80
2016-04,53,35~88,良,36,47,0.96,22,20,74
2016-05,60,29~97,良,41,63,0.9,23,18,89
2016-06,56,27~84,良,34,51,0.98,23,11,96
2016-07,55,31~105,良,35,53,0.939,18,11,93
2016-08,60,32~113,良,35,55,0.945,24,12,99
2016-09,74,19~107,良,49,76,1.017,32,18,117
2016-10,65,28~104,良,45,72,0.89,25,20,76
2016-11,74,28~249,良,53,83,0.78,26,30,57
2016-12,100,49~152,轻度污染,75,114,0.761,39,42,74
2017-01,105,46~270,轻度污染,67,96,0.813,30,33,89
2017-02,91,38~144,良,63,90,0.664,22,22,113
2017-03,69,34~119,良,45,67,0.752,23,25,89
2017-04,94,33~169,良,45,68,0.617,29,17,146
2017-05,84,40~120,良,51,75,0.706,31,16,131
2017-06,53,35~80,良,34,47,0.667,25,12,82
2017-07,53,24~92,良,34,52,0.626,22,12,85
2017-08,57,31~87,良,32,50,0.626,23,11,103
2017-09,74,36~130,良,45,65,0.87,25,13,120
2017-10,75,28~131,良,52,72,0.732,24,18,105
2017-11,99,40~204,良,74,98,0.903,28,32,79
2017-12,99,33~152,良,75,102,0.842,35,36,43
2018-01,83,35~153,良,61,86,0.868,22,31,48
2018-02,80,35~162,良,59,85,0.718,13,20,72
2018-03,63,25~109,良,43,66,0.632,21,21,83
2018-04,73,33~106,良,45,81,0.557,20,15,106
2018-05,59,37~89,良,32,50,0.613,15,10,106
2018-06,59,24~132,良,27,46,0.55,15,11,100
2018-07,53,36~90,良,21,43,0.474,17,10,97
2018-08,66,24~117,良,24,43,0.561,20,11,116
2018-09,61,31~105,良,29,52,0.687,22,13,108
2018-10,76,30~133,良,38,70,0.694,23,24,110
2018-11,55,24~90,良,36,63,0.71,19,26,64
2018-12,55,24~104,良,36,61,0.777,16,26,41
2019-01,73,41~152,良,50,84,1.161,15,33,53
2019-02,49,28~145,优,28,52,0.704,9,16,48
2019-03,56,35~80,良,34,60,0.616,14,25,79
2019-04,52,29~75,良,27,49,0.627,16,19,87
2019-05,60,30~101,良,34,63,0.645,20,17,103
2019-06,55,32~94,良,25,45,0.71,14,10,98
2019-07,49,28~79,优,20,40,0.606,11,10,91
2019-08,76,31~119,良,29,57,0.639,14,12,128
