month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,68,68~68,良,22,87,0.7,17,16,57
2014-01,122,49~271,轻度污染,91,128,1.797,38,38,52
2014-02,130,53~283,轻度污染,96,137,2.386,47,41,73
2014-03,79,54~148,良,56,92,1.413,29,31,91
2014-04,81,51~148,良,49,106,1.077,20,35,111
2014-05,64,31~165,良,28,61,0.987,11,29,107
2014-06,67,31~161,良,27,58,0.81,9,33,115
2014-07,77,32~177,良,43,67,0.9,6,25,119
2014-08,78,51~105,良,32,64,0.7,12,30,133
2014-09,57,38~91,良,24,58,0.613,11,31,96
2014-10,149,34~498,轻度污染,117,169,1.058,20,47,103
2014-11,116,54~455,轻度污染,87,135,1.043,31,39,62
2014-12,102,53~213,轻度污染,72,105,1.048,41,36,56
2015-01,123,41~265,轻度污染,92,127,1.39,55,45,59
2015-02,112,49~296,轻度污染,82,120,1.241,50,42,88
2015-03,80,41~143,良,49,93,0.868,28,30,114
2015-04,87,46~163,良,43,95,0.697,18,30,131
2015-05,94,39~424,良,32,87,0.603,14,26,126
2015-06,88,43~152,良,26,51,0.583,11,32,141
2015-07,83,41~138,良,28,55,0.703,17,29,138
2015-08,57,30~95,良,20,40,0.655,13,25,103
2015-09,57,38~82,良,26,59,0.713,19,34,90
2015-10,105,33~302,轻度污染,73,114,0.91,23,42,91
2015-11,145,41~491,轻度污染,116,146,1.183,45,44,72
2015-12,133,36~304,轻度污染,101,134,1.361,51,47,61
2016-01,100,39~268,轻度污染,73,97,1.187,56,40,68
2016-02,63,44~122,良,39,58,0.81,33,26,94
2016-03,78,44~132,良,46,83,0.7,28,29,117
2016-04,78,46~122,良,34,80,0.567,17,25,124
2016-05,85,42~139,良,27,56,0.526,14,25,137
2016-06,88,46~178,良,23,43,0.523,12,29,144
2016-07,68,33~109,良,24,42,0.645,12,25,119
2016-08,63,19~113,良,24,48,0.565,15,24,110
2016-09,47,24~69,优,22,45,0.583,11,26,79
2016-10,69,25~133,良,46,75,0.81,18,37,69
2016-11,89,41~236,良,64,89,1.123,26,33,65
2016-12,104,47~206,轻度污染,76,102,1.406,40,37,61
2017-01,134,45~423,轻度污染,106,132,1.674,41,43,80
2017-02,90,46~203,良,65,81,1.275,30,30,109
2017-03,82,44~180,良,61,87,1.116,26,34,117
2017-04,97,46~251,良,59,98,1.003,15,29,137
2017-05,108,30~500,轻度污染,24,55,0.858,11,23,141
2017-06,75,33~144,良,25,48,0.773,10,30,126
2017-07,72,41~111,良,27,49,0.761,8,19,125
2017-08,45,26~104,优,14,30,0.69,7,16,86
2017-09,47,31~84,优,18,44,0.833,9,24,85
2017-10,100,34~213,良,72,106,1.194,17,38,87
2017-11,99,39~500,良,80,112,1.103,17,26,65
2017-12,92,38~214,良,69,95,1.313,30,37,35
2018-01,79,43~127,良,56,80,1.116,25,30,61
2018-02,83,46~162,良,59,84,1.093,26,27,79
2018-03,88,46~188,良,59,94,1.003,20,30,110
2018-04,76,0~132,良,43,88,0.847,13,23,119
2018-05,67,41~98,良,29,62,0.716,11,24,111
2018-06,78,34~161,良,21,36,0.66,7,23,130
2018-07,57,25~131,良,17,32,0.668,7,19,102
2018-08,42,23~108,优,15,29,0.642,9,20,77
2018-09,37,19~63,优,15,33,0.57,8,21,67
2018-10,44,22~68,优,23,47,0.681,11,28,62
2018-11,57,26~92,良,37,61,0.877,17,29,51
2018-12,77,30~245,良,52,78,0.845,15,26,56
2019-01,89,47~254,良,63,96,1.161,18,35,60
2019-02,105,41~176,轻度污染,79,104,1.007,19,29,85
2019-03,90,47~394,良,61,96,0.855,14,27,101
2019-04,71,50~128,良,33,83,0.68,10,23,112
2019-05,76,30~164,良,22,54,0.581,10,17,128
2019-06,71,26~140,良,19,36,0.57,8,22,122
2019-07,67,41~92,良,20,34,0.69,6,16,119
2019-08,39,15~80,优,14,25,0.726,7,15,75
2019-09,48,23~97,优,18,39,0.697,9,22,87
2019-10,56,22~111,良,30,61,0.777,11,28,78
2019-11,49,28~88,优,29,50,0.67,13,25,58
2019-12,89,31~270,良,65,83,0.958,19,34,59
2020-01,154,44~297,中度污染,118,139,1.419,29,46,79
2020-02,65,33~124,良,46,58,0.834,19,22,87
2020-03,63,37~118,良,37,60,0.719,13,19,94
2020-04,116,28~321,轻度污染,84,111,0.887,16,30,119
2020-05,63,34~140,良,22,43,0.597,10,17,109
2020-06,74,30~171,良,20,34,0.65,10,23,124
2020-07,64,30~113,良,19,33,0.687,9,20,114
2020-08,43,22~77,优,13,25,0.719,9,17,83
2020-09,38,18~65,优,16,31,0.71,8,19,65
2020-10,51,27~92,良,28,54,0.729,10,27,66
2020-11,68,24~158,良,45,68,0.833,15,29,56
2020-12,56,31~130,良,37,58,0.819,18,27,58
2021-01,78,34~202,良,56,75,0.955,20,31,66
2021-02,78,35~205,良,55,74,0.864,18,23,84
2021-03,83,42~229,良,48,73,0.839,17,28,95
2021-04,85,40~216,良,49,81,0.74,15,28,113
2021-05,66,38~129,良,22,42,0.613,9,20,114
2021-06,57,32~118,良,17,29,0.6,7,22,104
2021-07,53,29~75,良,15,28,0.665,7,18,101
2021-08,43,20~75,优,14,25,0.703,8,16,84
2021-09,40,18~69,优,14,26,0.697,9,22,74
2021-10,48,28~97,优,24,50,0.742,12,29,69
2021-11,53,25~107,良,35,53,0.75,11,25,57
2021-12,50,26~107,优,33,48,0.803,13,25,54
2022-01,92,36~185,良,68,85,1.106,19,36,57
2022-02,65,38~244,良,45,60,0.775,12,23,79
2022-03,53,40~82,良,24,41,0.606,9,14,97
2022-04,93,42~301,良,48,73,0.717,10,15,132
2022-05,70,31~134,良,18,34,0.584,8,13,122
2022-06,57,27~114,良,16,24,0.573,6,16,104
2022-07,45,22~80,优,12,21,0.619,6,13,85
2022-08,43,21~63,优,11,22,0.59,6,13,84
2022-09,56,22~118,良,15,33,0.573,8,18,99
2022-10,46,26~102,优,23,41,0.6,8,23,77
2022-11,55,24~115,良,35,55,0.743,11,26,57
2022-12,55,28~133,良,31,56,0.868,12,20,57
2023-01,71,31~212,良,49,70,0.861,15,25,60
2023-02,68,37~209,良,48,64,0.814,13,26,80
2023-03,82,41~384,良,41,96,0.703,10,22,109
2023-04,127,47~408,轻度污染,65,147,0.753,11,25,120
2023-05,80,48~193,良,23,56,0.581,8,19,125
2023-06,86,42~177,良,19,34,0.64,6,24,140
2023-07,54,27~91,良,13,24,0.645,5,14,101
2023-08,41,20~75,优,12,22,0.623,7,14,80
2023-09,47,33~75,优,15,32,0.62,8,20,90
2023-10,54,27~108,良,29,53,0.71,9,29,86
2023-11,61,24~239,良,41,56,0.783,10,26,60
2023-12,58,28~109,良,39,56,0.861,13,28,35
2024-01,80,31~168,良,59,74,1.023,13,34,60
2024-02,102,36~294,轻度污染,74,94,1.028,14,31,86
2024-03,69,42~500,良,31,72,0.642,9,19,97
2024-04,94,52~199,良,59,97,0.763,10,27,126
2024-05,64,30~111,良,19,41,0.561,7,18,113
2024-06,79,22~171,良,18,34,0.567,7,22,130
2024-07,60,23~102,良,26,38,0.703,6,15,106
2024-08,45,16~79,优,14,26,0.671,6,14,88
2024-09,39,25~55,优,13,26,0.607,6,18,76
2024-10,54,22~206,良,31,48,0.687,9,25,73
2024-11,53,25~98,良,36,51,0.703,9,23,61
2024-12,47,31~88,优,30,45,0.719,10,24,58
2025-01,79,33~166,良,57,73,1,12,31,63
2025-02,61,36~137,良,40,60,0.718,9,21,86
2025-03,65,38~101,良,41,67,0.587,9,20,96
2025-04,64,48~81,良,41,55,0.656,7,18,109
