month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,55,55~55,良,35,55,2.6,185,21,41
2015-01,104,41~220,轻度污染,77,101,4.219,150,32,32
2015-02,70,47~93,良,49,84,3.739,114,28,35
2015-03,59,46~76,良,37,68,3.639,90,28,35
2015-04,66,47~109,良,32,81,3.073,56,23,52
2015-05,73,54~138,良,45,81,2.581,41,25,74
2015-06,83,50~176,良,55,86,2.087,44,26,96
2015-07,81,45~143,良,55,73,2.058,38,33,120
2015-08,62,40~120,良,40,60,1.758,36,22,91
2015-09,71,49~113,良,46,63,2.423,33,29,64
2015-10,61,44~119,良,34,63,2.097,27,23,44
2015-11,80,49~112,良,51,71,2.807,88,23,35
2015-12,93,53~155,良,58,93,2.69,107,23,27
2016-01,81,46~127,良,43,95,2.748,102,19,25
2016-02,78,38~120,良,36,84,2.417,73,19,37
2016-03,79,52~146,良,35,108,1.526,53,26,44
2016-04,60,42~86,良,24,69,1.433,18,23,58
2016-05,73,32~148,良,40,85,1.052,30,22,66
2016-06,66,39~107,良,38,62,1.273,27,20,102
2016-07,72,45~136,良,41,60,1.316,20,18,115
2016-08,63,32~87,良,41,61,1.003,31,20,88
2016-09,65,43~102,良,42,68,1.037,34,23,76
2016-10,72,35~106,良,45,89,1.316,39,25,49
2016-11,132,66~202,轻度污染,93,201,1.44,132,34,37
2016-12,151,73~217,中度污染,112,199,2.029,191,45,31
2017-01,141,75~268,轻度污染,80,134,2.155,184,45,43
2017-02,109,54~194,轻度污染,68,120,1.979,139,47,64
2017-03,86,47~151,良,56,115,1.584,76,46,78
2017-04,79,55~163,良,36,107,0.893,29,48,90
2017-05,107,52~424,轻度污染,27,95,0.942,24,45,132
2017-06,91,52~127,良,40,79,1.017,33,49,145
2017-07,85,40~134,良,39,83,1.416,37,40,140
2017-08,72,48~122,良,37,75,1.577,30,41,112
2017-09,78,60~104,良,42,100,1.53,29,49,105
2017-10,76,32~139,良,51,92,1.661,30,43,57
2017-11,106,62~149,轻度污染,75,153,2.07,85,48,54
2017-12,134,54~200,轻度污染,83,139,2.242,127,49,25
2018-01,105,0~180,轻度污染,79,131,1.932,91,45,39
2018-02,86,0~144,良,59,108,1.671,77,32,58
2018-03,75,0~107,良,47,95,1.677,35,42,84
2018-04,59,0~100,良,29,66,1.153,17,37,112
2018-05,78,0~126,良,34,69,1.21,20,43,126
2018-06,89,59~146,良,35,58,1.073,18,49,142
2018-07,77,42~130,良,35,49,1.139,17,35,127
2018-08,77,37~125,良,42,58,1.123,15,34,126
2018-09,51,37~72,良,25,45,0.85,16,34,74
2018-10,68,51~105,良,35,78,0.919,21,43,78
2018-11,68,0~120,良,45,85,1.187,47,50,46
2018-12,80,0~130,良,51,107,1.223,68,45,37
2019-01,123,63~262,轻度污染,88,153,1.59,91,55,36
2019-02,93,58~172,良,64,109,1.182,57,41,70
2019-03,78,46~137,良,38,99,0.848,25,45,94
2019-04,73,44~124,良,34,82,0.81,22,42,111
2019-05,84,51~136,良,27,77,0.6,21,42,132
2019-06,102,55~164,轻度污染,28,53,0.683,16,45,160
2019-07,96,47~157,良,25,53,0.732,13,38,154
2019-08,72,43~145,良,20,45,0.768,12,39,119
2019-09,76,49~147,良,27,67,0.827,16,48,114
2019-10,74,34~205,良,31,92,0.813,16,45,63
2019-11,86,49~130,良,43,121,0.967,29,50,42
2019-12,82,41~135,良,46,112,0.926,29,51,37
2020-01,106,70~159,轻度污染,78,131,1.139,31,43,52
2020-02,73,38~127,良,42,90,0.69,23,28,70
2020-03,75,47~122,良,30,100,0.61,19,38,86
2020-04,74,54~113,良,28,90,0.54,17,43,108
2020-05,75,43~123,良,19,86,0.523,16,37,118
2020-06,96,57~153,良,28,91,0.733,17,40,146
2020-07,88,51~140,良,26,63,0.726,14,32,143
2020-08,61,32~115,良,20,52,0.716,13,30,103
2020-09,63,44~96,良,26,69,0.64,14,38,99
2020-10,76,37~169,良,28,103,0.597,16,43,62
2020-11,79,28~124,良,41,108,0.767,18,46,52
2020-12,76,42~93,良,40,101,0.755,21,45,36
2021-01,124,51~500,轻度污染,31,90,0.777,25,44,44
2021-02,81,41~115,良,35,89,0.686,21,40,66
2021-03,149,48~500,轻度污染,26,63,0.742,16,46,79
2021-04,84,45~343,良,25,56,0.62,14,40,98
2021-05,104,38~500,轻度污染,20,52,0.526,10,39,120
2021-06,95,40~153,良,22,69,0.527,13,39,149
2021-07,85,43~133,良,16,49,0.548,7,28,140
2021-08,89,48~150,良,23,65,0.632,7,38,142
2021-09,63,35~112,良,18,63,0.633,8,37,98
2021-10,65,29~88,良,24,80,0.652,6,40,58
2021-11,83,36~111,良,30,117,0.547,13,43,52
2021-12,79,37~100,良,32,108,0.671,18,47,33
2022-01,84,58~120,良,48,112,0.855,14,47,46
2022-02,60,37~104,良,28,65,0.525,9,36,72
2022-03,105,49~500,轻度污染,13,39,0.539,12,45,80
2022-04,80,44~168,良,15,38,0.383,7,42,103
2022-05,77,36~129,良,18,69,0.448,6,40,126
2022-06,92,50~145,良,16,75,0.403,7,37,149
2022-07,82,39~139,良,17,59,0.542,8,32,131
2022-08,63,37~113,良,20,58,0.606,5,31,98
2022-09,67,35~95,良,19,75,0.57,5,42,107
2022-10,65,28~98,良,24,79,0.574,5,41,64
2022-11,71,28~117,良,28,92,0.563,10,42,48
2022-12,76,47~151,良,25,102,0.477,10,41,41
