month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,72,72~72,良,51,94,0.7,90,30,24
2015-01,109,52~275,轻度污染,75,136,1.181,38,21,14
2015-02,104,59~196,轻度污染,59,140,0.904,27,17,16
2015-03,93,46~308,良,46,131,0.835,24,17,15
2015-04,74,43~186,良,39,95,0.84,5,14,19
2015-05,73,39~149,良,43,96,0.916,4,10,21
2015-06,63,30~136,良,37,77,1.01,6,8,28
2015-07,83,44~147,良,29,80,1.026,18,19,128
2015-08,92,59~136,良,27,78,0.894,15,19,143
2015-09,65,42~110,良,28,69,0.667,9,15,103
2015-10,93,40~199,良,57,129,0.642,23,27,95
2015-11,97,22~205,良,65,125,0.847,75,33,51
2015-12,111,29~255,轻度污染,71,109,0.884,80,35,47
2016-01,95,47~215,良,61,97,0.832,88,32,51
2016-02,111,46~246,轻度污染,56,139,0.603,103,33,63
2016-03,102,50~292,轻度污染,50,143,0.806,62,34,74
2016-04,70,38~101,良,35,89,0.637,23,31,89
2016-05,86,35~365,良,48,109,0.477,10,19,91
2016-06,78,50~145,良,38,73,0.453,19,18,123
2016-07,73,43~110,良,29,56,0.442,10,14,127
2016-08,65,32~122,良,31,49,0.552,12,15,113
2016-09,63,48~102,良,35,58,0.69,16,25,103
2016-10,75,39~145,良,48,92,0.8,22,30,76
2016-11,109,39~184,轻度污染,67,157,1.183,65,40,59
2016-12,118,57~234,轻度污染,83,141,1.374,73,42,45
2017-01,126,50~500,轻度污染,60,104,1.426,73,41,58
2017-02,92,55~158,良,44,86,1.357,51,38,74
2017-03,70,40~176,良,36,68,0.965,33,35,85
2017-04,84,43~352,良,22,56,0.767,22,29,110
2017-05,117,48~500,轻度污染,28,68,0.787,22,22,113
2017-06,89,60~124,良,31,90,0.68,17,16,137
2017-07,79,45~134,良,30,80,0.755,15,16,124
2017-08,72,36~126,良,27,71,0.932,17,26,116
2017-09,71,56~102,良,31,90,0.65,20,30,99
2017-10,73,29~161,良,37,82,0.584,20,32,71
2017-11,91,44~171,良,43,114,0.58,40,32,63
2017-12,100,39~365,轻度污染,41,83,1.071,30,33,33
2018-01,72,0~135,良,40,84,0.742,30,21,51
2018-02,53,0~86,良,27,64,0.807,26,20,69
2018-03,47,0~121,优,24,65,0.6,18,25,75
2018-04,51,0~100,良,26,63,0.363,13,21,86
2018-05,28,0~93,优,9,27,0.306,11,17,101
2018-06,83,0~126,良,18,46,0.407,11,20,140
2018-07,63,0~97,良,16,38,0.432,7,11,119
2018-08,66,0~107,良,16,41,0.406,7,14,120
2018-09,51,0~74,良,17,46,0.327,9,21,94
2018-10,54,0~79,良,28,61,0.406,11,28,79
2018-11,54,0~113,良,30,69,0.667,22,36,57
2018-12,76,0~324,良,38,96,0.774,22,29,49
2019-01,77,46~138,良,49,95,0.868,28,38,50
2019-02,88,50~177,良,46,115,0.654,19,27,80
2019-03,75,50~175,良,35,93,0.677,19,29,101
2019-04,107,56~500,轻度污染,41,132,0.66,13,25,122
2019-05,114,51~500,轻度污染,41,138,0.681,11,22,120
2019-06,73,43~108,良,19,47,0.54,11,23,126
2019-07,82,44~147,良,20,55,0.426,11,23,135
2019-08,81,47~140,良,18,47,0.442,13,25,135
2019-09,71,43~107,良,18,41,0.487,10,27,124
2019-10,63,30~228,良,28,75,0.526,12,29,76
2019-11,67,37~121,良,34,82,0.61,18,34,67
2019-12,63,34~107,良,36,70,0.726,25,33,57
2020-01,106,39~266,轻度污染,78,105,0.916,21,35,60
2020-02,83,34~191,良,45,110,0.666,19,20,81
2020-03,80,47~368,良,33,103,0.452,14,22,94
2020-04,72,54~109,良,28,80,0.49,12,25,114
2020-05,90,47~285,良,33,107,0.397,9,19,117
2020-06,84,58~141,良,25,67,0.447,9,20,134
2020-07,74,44~126,良,18,51,0.565,9,18,128
2020-08,67,32~135,良,18,49,0.51,10,18,112
2020-09,54,33~97,良,19,43,0.483,8,25,98
2020-10,63,33~121,良,28,78,0.526,13,32,78
2020-11,91,32~166,良,60,104,0.863,16,39,70
2020-12,78,38~178,良,50,82,0.858,23,35,59
2021-01,117,35~500,轻度污染,24,56,0.735,22,25,68
2021-02,75,41~173,良,33,67,0.707,19,24,86
2021-03,177,43~500,中度污染,20,46,0.574,10,26,91
2021-04,92,40~487,良,20,38,0.507,9,20,111
2021-05,95,47~289,良,24,58,0.439,10,20,120
2021-06,102,48~384,轻度污染,24,54,0.483,12,21,142
2021-07,93,51~131,良,19,47,0.4,9,16,149
2021-08,79,41~131,良,19,44,0.429,10,15,132
2021-09,63,39~90,良,18,47,0.363,8,22,112
2021-10,58,29~84,良,26,66,0.403,11,20,86
2021-11,77,44~168,良,36,102,0.533,14,21,72
2021-12,58,35~109,良,30,66,0.781,17,26,63
2022-01,115,50~253,轻度污染,83,120,1.271,20,39,61
2022-02,65,39~117,良,37,70,0.811,17,23,82
2022-03,99,53~205,良,44,148,0.687,16,24,97
2022-04,98,48~364,良,48,131,0.57,11,20,103
2022-05,95,53~374,良,30,96,0.494,11,18,130
2022-06,84,56~126,良,20,57,0.41,11,18,138
2022-07,87,41~120,良,18,56,0.51,9,14,141
2022-08,72,36~110,良,18,42,0.587,7,16,122
2022-09,66,41~110,良,19,49,0.52,8,24,117
2022-10,62,30~114,良,33,74,0.703,12,25,87
2022-11,75,45~170,良,41,96,0.757,16,31,68
2022-12,81,39~154,良,41,109,0.706,18,27,64
2023-01,118,50~269,轻度污染,62,165,0.832,22,28,67
2023-02,81,47~175,良,51,94,0.746,14,30,79
2023-03,107,57~463,轻度污染,47,147,0.594,12,25,97
2023-04,123,29~500,轻度污染,70,207,0.467,8,18,98
2023-05,74,45~146,良,30,76,0.448,9,16,116
2023-06,91,46~132,良,20,52,0.44,9,16,148
2023-07,96,47~137,良,21,63,0.448,8,14,151
2023-08,89,48~152,良,18,52,0.581,8,17,143
2023-09,70,40~113,良,22,60,0.507,11,24,117
2023-10,60,35~74,良,27,62,0.594,12,31,93
2023-11,69,35~146,良,31,88,0.733,14,27,69
