month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,83,83~83,良,61,99,0.8,34,57,87
2014-01,128,47~241,轻度污染,91,132,0.919,39,58,92
2014-02,85,26~255,良,61,85,0.754,20,39,79
2014-03,92,48~189,良,64,108,0.816,35,52,94
2014-04,73,39~140,良,47,80,0.737,23,46,105
2014-05,98,36~178,良,65,126,0.768,23,39,128
2014-06,81,36~158,良,55,84,0.66,12,35,125
2014-07,94,45~172,良,48,77,0.726,17,25,141
2014-08,78,23~134,良,48,74,0.748,14,32,114
2014-09,75,29~163,良,39,68,0.593,10,30,120
2014-10,83,50~182,良,50,97,0.645,18,39,115
2014-11,89,42~189,良,66,95,0.793,23,51,67
2014-12,104,56~155,轻度污染,75,131,0.865,38,56,44
2015-01,118,28~197,轻度污染,88,131,1.019,28,55,53
2015-02,84,24~203,良,60,92,1.036,16,34,73
2015-03,76,35~151,良,49,77,0.903,21,41,90
2015-04,86,39~145,良,59,93,1.21,26,39,120
2015-05,84,48~122,良,48,72,0.942,17,30,133
2015-06,78,35~147,良,45,64,0.707,16,26,124
2015-07,80,21~191,良,38,57,0.577,15,23,127
2015-08,93,24~194,良,41,62,0.765,15,24,146
2015-09,85,37~161,良,39,63,0.89,15,31,139
2015-10,82,44~153,良,55,95,0.919,20,44,112
2015-11,80,34~149,良,54,80,1.13,19,48,52
2015-12,121,63~259,轻度污染,87,128,1.168,28,56,45
2016-01,100,42~195,轻度污染,71,106,1.035,24,52,51
2016-02,82,38~140,良,58,96,0.866,19,33,74
2016-03,87,39~144,良,61,102,0.99,22,44,94
2016-04,86,49~161,良,45,81,0.893,19,42,131
2016-05,86,38~159,良,42,77,0.945,16,35,128
2016-06,77,33~142,良,33,58,0.927,14,31,125
2016-07,69,30~125,良,32,61,0.923,18,25,112
2016-08,66,30~118,良,23,50,0.616,13,21,113
2016-09,72,21~130,良,32,66,0.72,11,29,112
2016-10,59,34~79,良,28,61,0.623,9,39,69
2016-11,79,31~149,良,50,100,0.81,15,50,57
2016-12,97,53~183,良,66,119,1.026,19,59,55
2017-01,81,36~169,良,53,89,0.929,14,44,54
2017-02,82,40~135,良,58,91,0.925,16,37,84
2017-03,73,47~138,良,48,89,0.732,14,41,95
2017-04,93,56~148,良,46,101,0.837,19,45,131
2017-05,100,44~173,良,35,85,0.723,16,35,149
2017-06,83,35~156,良,31,61,0.75,14,32,131
2017-07,86,35~182,良,29,60,0.755,15,27,140
2017-08,71,29~160,良,25,49,0.787,10,23,122
2017-09,70,35~167,良,27,55,0.73,10,32,110
2017-10,63,38~117,良,26,60,0.723,10,41,94
2017-11,82,48~111,良,44,94,0.81,13,61,68
2017-12,108,57~273,轻度污染,71,129,1.232,19,70,34
2018-01,102,33~256,轻度污染,69,105,1.148,13,60,52
2018-02,80,40~196,良,53,93,0.904,11,40,77
2018-03,72,42~114,良,43,76,0.874,12,49,97
2018-04,102,47~194,轻度污染,43,107,0.86,12,46,142
2018-05,88,36~133,良,38,78,0.884,10,40,134
2018-06,85,41~149,良,28,56,0.8,8,29,139
2018-07,69,22~177,良,24,44,0.726,10,25,117
2018-08,73,29~168,良,20,37,0.674,9,25,122
2018-09,82,34~170,良,29,56,0.71,10,39,127
2018-10,79,48~161,良,38,68,0.79,10,42,120
2018-11,77,43~148,良,45,71,1.01,9,61,74
2018-12,77,38~124,良,46,80,1.216,12,54,43
2019-01,97,39~185,良,67,98,1.123,13,61,50
2019-02,84,37~201,良,59,79,0.904,10,36,79
2019-03,86,44~142,良,55,93,0.845,12,45,108
2019-04,77,44~140,良,33,74,0.86,11,37,118
2019-05,91,34~175,良,27,70,0.787,10,34,143
2019-06,94,35~185,良,22,47,0.72,6,23,149
2019-07,79,26~126,良,18,44,0.594,8,26,130
2019-08,85,31~175,良,21,46,0.668,9,26,134
2019-09,87,29~171,良,24,51,0.837,9,35,136
2019-10,77,34~172,良,33,82,0.835,10,44,107
2019-11,71,38~121,良,29,82,0.717,10,47,78
2019-12,75,38~144,良,46,87,1.184,10,51,55
2020-01,81,31~206,良,55,83,1.071,7,29,60
2020-02,52,24~77,良,28,51,0.783,7,19,87
2020-03,59,35~89,良,24,60,0.858,8,36,91
2020-04,87,43~147,良,33,75,0.76,7,44,137
2020-05,94,49~151,良,27,71,0.687,8,37,149
2020-06,75,33~157,良,16,42,0.727,7,30,124
2020-07,73,35~200,良,16,43,0.723,8,31,119
2020-08,83,30~146,良,17,42,0.594,8,25,138
2020-09,92,44~196,良,20,49,0.623,8,40,144
2020-10,67,38~106,良,18,52,0.59,9,42,106
2020-11,63,38~107,良,25,61,0.64,10,47,76
2020-12,88,38~209,良,55,87,0.9,11,58,50
2021-01,78,48~124,良,45,91,0.816,10,49,60
2021-02,55,30~83,良,31,52,0.607,9,25,87
2021-03,71,40~154,良,34,81,0.719,7,42,90
2021-04,72,40~129,良,24,63,0.613,7,34,113
2021-05,92,41~171,良,25,60,0.706,7,28,147
2021-06,85,39~193,良,18,37,0.647,8,24,138
2021-07,63,0~117,良,16,30,0.739,6,16,108
2021-08,79,31~151,良,16,32,0.458,6,21,131
2021-09,87,17~184,良,20,39,0.563,8,27,141
2021-10,64,34~143,良,19,39,0.642,8,34,107
2021-11,67,33~105,良,31,63,0.677,9,49,81
2021-12,50,0~158,优,31,49,0.458,5,35,42
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
