month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,50,26~70,优,0,56,0,10,13,0
2013-06,82,27~190,良,0,88,0,13,41,0
2013-07,42,14~82,优,0,45,0,7,17,0
2013-08,52,20~120,良,0,53,0,17,11,0
2013-09,74,38~153,良,0,99,0,9,16,0
2013-10,132,54~209,轻度污染,0,212,0,5,32,0
2013-11,108,57~166,轻度污染,14,165,0.17,12,24,12
2013-12,205,87~356,重度污染,158,250,2.113,58,75,50
2014-01,163,83~320,中度污染,122,213,3.206,51,56,56
2014-02,104,72~217,轻度污染,70,122,3.554,36,21,58
2014-03,96,70~198,良,61,119,2.865,46,45,81
2014-04,96,75~134,良,59,131,3.133,39,47,88
2014-05,110,70~169,轻度污染,71,135,1.913,40,36,107
2014-06,121,59~250,轻度污染,88,138,1.237,30,31,126
2014-07,84,51~138,良,45,76,1.01,17,18,132
2014-08,72,43~99,良,49,83,1.197,17,18,98
2014-09,85,37~202,良,58,94,1.753,19,15,93
2014-10,182,72~464,中度污染,143,190,3.016,35,21,85
2014-11,157,32~480,中度污染,119,165,3.753,28,27,33
2014-12,113,21~229,轻度污染,77,131,2.968,42,40,33
2015-01,165,75~364,中度污染,128,170,2.739,42,45,38
2015-02,141,60~250,轻度污染,107,148,2.618,33,30,57
2015-03,100,59~178,轻度污染,66,111,2.545,19,19,60
2015-04,86,47~134,良,57,106,1.65,17,22,83
2015-05,97,56~137,良,69,114,1.445,13,29,103
2015-06,96,24~236,良,65,115,1.877,9,20,102
2015-07,78,41~127,良,54,75,1.874,8,14,93
2015-08,69,42~92,良,40,65,1.132,9,13,119
2015-09,95,51~172,良,67,99,1.287,13,17,105
2015-10,144,48~252,轻度污染,108,167,1.874,26,23,74
2015-11,118,55~242,轻度污染,87,116,2.387,16,17,48
2015-12,170,57~500,中度污染,134,193,2.69,28,36,47
2016-01,182,64~415,中度污染,141,194,2.081,28,39,43
2016-02,154,41~313,中度污染,115,172,1.39,33,33,66
2016-03,120,62~233,轻度污染,85,148,1.342,25,30,100
2016-04,94,59~146,良,61,122,1.147,22,28,116
2016-05,87,49~132,良,45,90,0.852,16,21,132
2016-06,87,51~120,良,38,68,0.947,10,21,143
2016-07,70,40~116,良,30,50,0.829,7,18,120
2016-08,81,40~137,良,37,64,0.939,14,20,133
2016-09,101,35~155,轻度污染,47,99,1.197,24,31,152
2016-10,58,25~123,良,35,60,1.232,17,29,67
2016-11,102,48~214,轻度污染,71,127,1.797,22,34,59
2016-12,155,65~440,中度污染,121,178,2.423,32,44,58
2017-01,107,0~236,轻度污染,78,128,2.197,25,41,42
2017-02,113,0~222,轻度污染,85,121,1.314,27,37,67
2017-03,81,0~139,良,54,97,0.929,26,37,93
2017-04,81,0~130,良,44,79,1.16,19,27,130
2017-05,81,0~166,良,26,57,1.013,17,25,159
2017-06,101,0~174,轻度污染,34,69,0.92,10,27,170
2017-07,71,30~120,良,28,53,0.958,7,20,120
2017-08,78,28~127,良,30,58,0.984,9,21,131
2017-09,74,25~138,良,34,68,1.01,13,27,122
2017-10,69,24~144,良,45,81,1.071,14,35,93
2017-11,67,0~205,良,45,89,1.103,21,48,82
2017-12,128,0~330,轻度污染,97,145,1.297,19,49,66
2018-01,129,0~328,轻度污染,95,154,1.103,14,33,60
2018-02,104,0~304,轻度污染,75,116,1.179,15,29,76
2018-03,83,0~143,良,54,92,0.852,11,26,102
2018-04,52,0~98,良,24,60,0.803,12,21,118
2018-05,70,0~180,良,29,68,0.739,10,20,134
2018-06,113,0~155,轻度污染,29,63,0.713,9,21,172
2018-07,67,22~120,良,19,41,0.626,7,17,117
2018-08,77,26~130,良,27,59,0.819,8,18,127
2018-09,75,28~124,良,30,75,0.83,12,26,122
2018-10,93,62~150,良,56,116,0.929,16,44,125
2018-11,99,0~355,良,76,100,1.09,14,37,76
2018-12,144,0~365,轻度污染,110,160,1.232,14,41,40
2019-01,152,65~293,中度污染,114,160,1.165,14,42,56
2019-02,145,69~264,轻度污染,110,146,1.014,12,25,82
2019-03,89,60~139,良,56,110,0.8,12,31,112
2019-04,79,0~137,良,45,88,0.79,10,22,122
2019-05,94,46~139,良,43,107,0.687,9,24,138
2019-06,112,60~169,轻度污染,28,62,0.693,7,17,172
2019-07,90,44~161,良,23,49,0.648,7,17,146
2019-08,79,41~142,良,22,47,0.674,7,16,132
2019-09,99,37~155,良,34,74,0.813,10,24,152
2019-10,80,24~192,良,43,91,0.768,9,31,102
2019-11,106,47~199,轻度污染,72,124,0.92,12,39,82
2019-12,121,53~226,轻度污染,90,113,1.003,9,40,49
2020-01,161,70~262,中度污染,124,131,1.255,8,29,62
2020-02,83,28~208,良,59,72,0.786,6,16,79
2020-03,78,38~132,良,49,84,0.697,8,25,96
2020-04,85,58~133,良,40,79,0.69,9,26,128
2020-05,96,41~165,良,31,84,0.635,9,21,150
2020-06,83,38~136,良,25,56,0.66,6,16,137
2020-07,69,38~121,良,21,40,0.645,6,14,120
2020-08,61,22~122,良,20,40,0.652,6,11,109
2020-09,84,42~124,良,28,64,0.74,9,23,139
2020-10,73,40~145,良,44,87,0.816,11,40,85
2020-11,91,33~188,良,64,88,0.86,12,35,69
2020-12,132,40~265,轻度污染,98,112,1.068,12,37,55
2021-01,143,57~327,轻度污染,93,116,1.074,10,41,59
2021-02,87,40~201,良,62,89,0.821,9,21,81
2021-03,94,31~500,良,40,54,0.755,8,22,81
2021-04,74,36~273,良,32,50,0.697,9,20,100
2021-05,81,32~379,良,25,40,0.584,7,14,115
2021-06,94,25~155,良,25,64,0.607,7,15,150
2021-07,54,32~126,良,14,28,0.59,5,8,100
2021-08,63,26~108,良,20,37,0.79,7,9,111
2021-09,67,27~123,良,20,45,0.713,9,11,115
2021-10,78,17~203,良,51,75,0.8,13,28,97
2021-11,95,36~213,良,62,102,0.79,15,34,81
2021-12,99,33~223,良,71,95,0.848,10,34,61
2022-01,149,67~246,轻度污染,113,127,1.116,8,33,55
2022-02,77,39~107,良,55,85,0.636,7,22,87
2022-03,90,35~304,良,24,32,0.677,10,21,89
2022-04,77,55~100,良,33,62,0.613,10,13,128
2022-05,87,54~117,良,25,67,0.539,7,15,140
2022-06,108,44~165,轻度污染,19,55,0.507,5,15,167
2022-07,75,37~114,良,17,35,0.555,4,11,129
2022-08,68,34~95,良,18,37,0.594,5,9,120
2022-09,96,54~133,良,31,80,0.647,14,23,150
2022-10,74,19~129,良,42,79,0.71,8,28,114
2022-11,73,23~162,良,49,83,0.803,9,27,74
2022-12,116,54~279,轻度污染,81,117,0.726,7,36,63
2023-01,155,40~376,中度污染,114,164,0.929,9,34,78
2023-02,99,44~262,良,72,96,0.479,11,29,80
2023-03,108,39~500,轻度污染,53,144,0.6,10,26,106
2023-04,116,34~500,轻度污染,46,145,0.603,10,16,118
2023-05,72,23~111,良,30,58,0.555,8,12,120
2023-06,105,41~171,轻度污染,23,51,0.59,6,16,162
2023-07,74,28~138,良,14,35,0.526,3,9,126
2023-08,86,52~119,良,21,41,0.597,5,13,142
2023-09,76,38~116,良,24,46,0.577,8,16,129
2023-10,84,42~213,良,55,93,0.558,9,35,116
2023-11,80,46~152,良,51,89,0.54,8,33,74
2023-12,102,41~278,轻度污染,73,96,0.726,3,32,32
2024-01,129,33~273,轻度污染,98,118,0.845,4,37,63
2024-02,109,29~309,轻度污染,81,99,0.7,6,19,87
2024-03,93,53~152,良,59,112,0.581,6,19,99
2024-04,80,52~126,良,42,95,0.547,6,19,117
2024-05,105,49~154,轻度污染,37,96,0.371,8,15,158
2024-06,108,37~140,轻度污染,27,69,0.43,5,14,167
2024-07,51,24~90,良,15,28,0.465,2,8,94
2024-08,67,36~104,良,17,41,0.565,4,9,118
2024-09,68,29~120,良,23,51,0.567,5,11,116
2024-10,91,41~162,良,61,90,0.555,7,26,119
2024-11,75,32~115,良,51,76,0.56,6,24,78
2024-12,90,49~212,良,65,95,0.548,8,37,62
2025-01,120,42~315,轻度污染,88,122,0.648,10,30,76
2025-02,89,46~143,良,63,94,0.589,8,19,85
2025-03,80,35~149,良,49,90,0.532,6,19,103
2025-04,100,60~364,良,44,128,0.606,6,15,123
