month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,56,56~56,良,40,61,0.8,18,25,34
2015-01,73,43~162,良,51,82,0.965,28,35,44
2015-02,78,42~137,良,55,89,0.807,24,30,67
2015-03,60,42~110,良,38,70,0.674,19,22,87
2015-04,75,44~228,良,42,94,0.473,17,20,98
2015-05,58,35~101,良,28,60,0.368,14,21,101
2015-06,55,33~86,良,31,52,0.353,7,19,83
2015-07,66,43~117,良,40,58,0.455,4,19,97
2015-08,54,33~98,良,27,61,0.261,3,20,72
2015-09,51,29~73,良,23,57,0.233,4,18,67
2015-10,49,27~78,优,24,53,0.281,5,16,58
2015-11,58,36~78,良,37,66,0.517,7,20,45
2015-12,64,35~117,良,43,65,0.671,7,24,44
2016-01,72,30~172,良,52,70,0.765,9,30,46
2016-02,58,36~160,良,41,56,0.531,8,23,68
2016-03,55,31~161,良,28,62,0.494,6,19,78
2016-04,52,40~73,良,25,53,0.403,5,17,90
2016-05,64,38~147,良,35,73,0.361,5,18,100
2016-06,60,40~89,良,29,66,0.327,5,20,90
2016-07,64,35~99,良,28,64,0.329,4,17,104
2016-08,60,33~82,良,18,69,0.365,5,19,73
2016-09,58,0~120,良,26,66,0.373,6,19,55
2016-10,39,28~67,优,20,36,0.348,9,17,59
2016-11,39,26~82,优,23,36,0.363,8,21,54
2016-12,43,30~69,优,26,40,0.623,6,24,53
2017-01,51,28~112,良,34,46,0.868,7,26,57
2017-02,45,35~60,优,23,34,0.743,5,19,83
2017-03,48,42~57,优,22,34,0.606,4,19,95
2017-04,57,45~109,良,16,42,0.43,3,13,105
2017-05,74,35~500,良,14,55,0.361,2,12,101
2017-06,54,36~96,良,18,53,0.4,2,16,98
2017-07,63,45~114,良,16,50,0.597,3,16,108
2017-08,54,24~112,良,22,44,0.423,2,15,90
2017-09,38,26~54,优,12,28,0.383,2,16,77
2017-10,36,29~44,优,12,25,0.394,3,18,71
2017-11,31,24~45,优,17,30,0.46,4,17,57
2017-12,47,19~78,优,32,42,0.726,6,26,28
2018-01,38,24~68,优,24,32,0.526,6,17,53
2018-02,46,33~70,优,30,39,0.546,6,18,67
2018-03,46,40~67,优,17,28,0.416,4,14,88
2018-04,48,0~60,优,9,22,0.347,3,11,97
2018-05,59,41~90,良,11,38,0.329,3,12,104
2018-06,45,0~110,优,9,20,0.273,3,13,91
2018-07,44,30~83,优,8,17,0.319,2,10,86
2018-08,35,26~60,优,12,23,0.297,3,12,69
2018-09,36,20~70,优,13,24,0.307,2,13,71
2018-10,33,19~70,优,15,27,0.313,3,13,61
2018-11,34,25~86,优,17,32,0.337,3,12,55
2018-12,34,25~55,优,21,31,0.413,4,12,53
2019-01,36,28~61,优,21,32,0.51,4,15,56
2019-02,36,30~45,优,20,29,0.407,4,11,68
2019-03,44,35~56,优,19,29,0.365,3,11,86
2019-04,79,46~500,良,25,75,0.377,3,12,102
2019-05,64,37~197,良,20,62,0.3,2,11,96
2019-06,52,30~77,良,13,26,0.287,2,11,98
2019-07,47,19~71,优,14,23,0.329,2,12,90
2019-08,36,15~72,优,16,21,0.416,2,11,71
2019-09,39,23~75,优,12,22,0.34,2,13,76
2019-10,32,22~48,优,13,21,0.358,2,12,62
2019-11,30,23~46,优,15,26,0.38,3,12,53
2019-12,31,26~46,优,19,26,0.403,4,14,53
2020-01,45,27~99,优,31,38,0.513,5,20,58
2020-02,40,31~54,优,24,30,0.452,4,13,74
2020-03,44,38~56,优,17,25,0.361,3,10,85
2020-04,51,43~64,良,18,37,0.357,3,10,95
2020-05,49,28~72,优,14,31,0.348,2,9,94
2020-06,43,24~65,优,14,27,0.36,2,11,85
2020-07,64,32~90,良,16,26,0.419,2,11,115
2020-08,34,14~62,优,13,20,0.368,2,10,67
2020-09,31,18~60,优,16,27,0.383,2,13,56
2020-10,31,20~46,优,15,25,0.345,2,12,57
2020-11,29,22~45,优,17,26,0.403,3,12,50
2020-12,32,21~43,优,20,27,0.41,5,11,52
2021-01,36,28~54,优,23,31,0.49,6,15,59
2021-02,39,32~53,优,21,31,0.482,5,12,74
2021-03,46,36~94,优,17,34,0.329,4,11,87
2021-04,49,27~96,优,14,26,0.397,4,12,93
2021-05,48,34~90,优,13,24,0.368,4,11,92
2021-06,54,27~102,良,15,23,0.387,4,12,101
2021-07,42,30~64,优,12,20,0.329,4,10,84
2021-08,42,19~127,优,20,29,0.339,4,10,75
2021-09,35,23~55,优,15,26,0.333,4,13,68
2021-10,34,25~68,优,16,31,0.355,4,14,61
2021-11,32,25~52,优,18,31,0.357,4,12,53
2021-12,34,26~49,优,21,27,0.419,4,12,57
2022-01,41,29~67,优,28,34,0.526,6,20,50
