month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,112,37~182,轻度污染,78,154,4.323,95,59,27
2014-01,91,38~302,良,61,123,4.039,98,60,31
2014-02,85,22~229,良,60,97,3.457,76,51,35
2014-03,94,28~199,良,45,139,2.51,75,47,49
2014-04,96,53~230,良,40,141,2.143,32,44,63
2014-05,91,40~165,良,37,133,1.49,25,39,68
2014-06,72,28~110,良,26,86,1.173,23,33,101
2014-07,80,49~131,良,32,100,0.745,18,39,122
2014-08,72,48~104,良,25,88,0.842,19,39,107
2014-09,70,34~109,良,29,89,0.827,19,40,85
2014-10,96,33~160,良,51,142,1.394,34,51,62
2014-11,87,32~139,良,51,121,1.897,58,50,43
2014-12,105,45~257,轻度污染,71,131,2.371,81,43,39
2015-01,87,34~170,良,59,119,2.619,97,54,34
2015-02,93,32~247,良,51,123,1.882,71,41,51
2015-03,86,33~151,良,38,123,1.419,49,38,70
2015-04,74,33~251,良,27,96,0.853,22,34,81
2015-05,74,43~105,良,25,98,0.655,14,26,100
2015-06,71,41~138,良,21,72,0.657,11,27,113
2015-07,89,45~135,良,27,83,0.771,14,31,145
2015-08,79,47~120,良,21,76,0.629,12,33,131
2015-09,64,35~101,良,27,71,0.667,12,34,102
2015-10,78,33~147,良,39,103,0.877,23,42,80
2015-11,104,37~305,轻度污染,76,124,1.78,35,44,43
2015-12,136,28~263,轻度污染,102,158,2.561,53,59,32
2016-01,87,35~190,良,60,103,1.865,50,43,49
2016-02,75,37~232,良,47,86,1.403,43,33,68
2016-03,98,41~419,良,49,132,1.239,35,41,86
2016-04,79,41~124,良,28,107,0.887,19,35,106
2016-05,96,45~258,良,33,119,0.739,15,33,129
2016-06,77,43~144,良,24,59,0.803,14,32,131
2016-07,87,35~143,良,24,58,0.752,8,32,142
2016-08,73,40~117,良,18,50,0.729,8,31,124
2016-09,61,38~108,良,24,60,0.767,11,45,93
2016-10,71,35~101,良,37,89,1.023,20,52,73
2016-11,112,35~192,轻度污染,73,152,1.877,53,61,48
2016-12,93,37~169,良,65,107,2.277,64,61,48
2017-01,105,41~451,轻度污染,74,115,2.51,66,58,56
2017-02,90,44~177,良,64,94,1.968,54,50,78
2017-03,71,43~148,良,41,75,1.348,42,44,96
2017-04,75,45~142,良,29,92,0.953,22,42,113
2017-05,105,55~500,轻度污染,30,109,0.732,14,39,132
2017-06,101,48~212,轻度污染,26,83,0.76,13,38,154
2017-07,106,55~171,轻度污染,28,80,0.839,13,38,165
2017-08,79,38~124,良,25,63,0.884,12,34,133
2017-09,77,48~140,良,28,80,0.92,16,45,123
2017-10,84,29~154,良,57,102,1.19,20,49,77
2017-11,93,32~197,良,55,118,1.607,34,54,56
2017-12,92,37~165,良,58,116,1.994,41,54,25
2018-01,63,0~139,良,35,73,1.397,32,43,51
2018-02,64,0~229,良,34,74,1.239,31,37,70
2018-03,48,0~128,优,26,58,1.239,25,45,86
2018-04,56,0~101,良,20,68,0.86,14,34,103
2018-05,67,0~133,良,22,71,0.748,12,32,124
2018-06,76,0~132,良,18,59,0.743,10,28,129
2018-07,73,33~121,良,21,40,0.894,9,28,125
2018-08,69,41~100,良,16,39,0.823,8,27,122
2018-09,50,27~79,优,18,49,0.823,10,32,78
2018-10,65,30~109,良,34,77,0.994,14,44,70
2018-11,78,0~125,良,50,105,1.527,25,55,45
2018-12,74,0~156,良,48,97,1.726,28,49,38
2019-01,83,32~209,良,54,99,1.726,30,51,46
2019-02,80,32~271,良,52,86,1.286,22,40,69
2019-03,72,42~178,良,39,80,1.052,16,41,92
2019-04,81,40~382,良,29,96,0.787,11,34,107
2019-05,92,48~475,良,35,96,0.581,9,33,124
2019-06,86,50~137,良,20,44,0.657,8,26,142
2019-07,84,48~130,良,20,44,0.716,8,31,140
2019-08,65,33~115,良,14,33,0.629,8,27,115
2019-09,64,30~109,良,20,52,0.66,9,41,112
2019-10,79,28~176,良,47,96,0.897,13,44,76
2019-11,76,27~123,良,45,93,1.267,18,45,49
2019-12,106,38~243,轻度污染,78,105,1.852,22,55,38
2020-01,208,39~410,重度污染,164,190,2.632,26,69,45
2020-02,86,36~196,良,56,90,1.3,21,33,82
2020-03,60,34~104,良,29,64,0.787,15,28,88
2020-04,65,44~153,良,25,66,0.647,10,27,110
2020-05,87,40~500,良,28,103,0.542,8,22,113
2020-06,92,48~193,良,21,66,0.567,8,23,140
2020-07,83,44~146,良,18,40,0.69,7,23,139
2020-08,65,37~91,良,16,36,0.684,7,22,116
2020-09,50,29~80,良,17,41,0.647,7,29,93
2020-10,67,29~166,良,30,85,0.797,12,37,72
2020-11,68,26~125,良,40,78,1.043,13,38,59
2020-12,75,29~153,良,49,89,1.348,17,40,43
2021-01,114,33~500,轻度污染,34,74,1.235,19,36,54
2021-02,77,36~215,良,40,71,1.021,17,29,79
2021-03,119,39~500,轻度污染,32,70,0.732,11,29,86
2021-04,77,38~486,良,24,50,0.537,8,24,102
2021-05,101,43~487,轻度污染,19,55,0.41,8,21,114
2021-06,76,43~125,良,17,41,0.45,8,21,128
2021-07,76,42~156,良,13,29,0.5,7,18,130
2021-08,76,35~127,良,24,44,0.606,7,22,128
2021-09,63,30~111,良,16,37,0.507,8,27,113
2021-10,48,28~73,优,21,46,0.561,9,31,75
2021-11,69,32~109,良,37,88,0.843,14,39,55
2021-12,67,31~134,良,39,79,1.094,17,43,43
2022-01,77,30~166,良,50,72,1.042,16,43,50
2022-02,47,36~94,优,24,40,0.661,13,28,78
2022-03,71,38~184,良,23,49,0.523,11,25,92
2022-04,68,40~152,良,21,47,0.45,9,22,105
2022-05,64,42~107,良,17,48,0.406,8,25,115
2022-06,78,47~131,良,14,41,0.42,8,22,133
2022-07,86,48~132,良,14,38,0.41,7,22,142
2022-08,64,32~116,良,15,34,0.494,6,22,112
2022-09,69,34~100,良,20,58,0.497,8,36,116
2022-10,56,27~109,良,27,54,0.474,11,27,90
2022-11,53,29~80,良,25,48,0.747,11,35,51
2022-12,72,31~500,良,31,86,0.677,18,36,48
2023-01,91,34~337,良,53,115,0.868,19,39,52
2023-02,62,35~120,良,35,62,0.675,14,37,70
2023-03,95,44~500,良,44,137,0.574,13,35,87
2023-04,118,43~500,轻度污染,43,162,0.437,8,25,95
2023-05,78,44~168,良,31,85,0.439,8,24,115
2023-06,89,49~144,良,17,46,0.443,8,25,145
2023-07,85,23~153,良,17,40,0.513,8,23,140
2023-08,76,38~137,良,16,39,0.548,7,25,128
2023-09,65,38~100,良,19,42,0.53,8,28,113
2023-10,65,35~117,良,33,72,0.61,11,46,79
2023-11,62,29~108,良,27,76,0.597,12,36,54
2023-12,97,22~266,良,62,113,0.929,13,50,24
2024-01,93,36~156,良,63,91,0.977,13,55,45
2024-02,90,41~462,良,60,87,0.645,12,29,83
2024-03,83,38~418,良,29,101,0.484,10,30,90
2024-04,78,39~178,良,28,91,0.393,8,24,113
2024-05,83,52~139,良,24,65,0.413,7,25,134
2024-06,106,57~496,轻度污染,25,73,0.417,7,22,143
2024-07,86,44~130,良,20,39,0.535,6,23,141
2024-08,73,44~102,良,14,30,0.519,6,20,126
2024-09,46,31~70,优,15,26,0.577,6,23,82
2024-10,51,28~94,良,23,45,0.571,7,36,76
2024-11,64,35~102,良,34,63,0.68,9,40,54
2024-12,57,32~138,良,24,63,0.635,9,35,53
2025-01,80,29~343,良,50,81,0.765,12,37,60
2025-02,56,33~90,良,26,56,0.571,9,26,78
2025-03,75,40~196,良,31,92,0.548,7,23,92
2025-04,59,46~91,良,24,62,0.544,8,25,97
