month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,117,117~117,轻度污染,56,185,1.2,29,30,72
2015-01,125,40~230,轻度污染,94,149,1.952,21,41,55
2015-02,108,31~219,轻度污染,81,121,1.511,18,27,67
2015-03,71,35~144,良,50,85,1.048,13,22,74
2015-04,73,44~111,良,44,78,0.903,13,17,119
2015-05,91,44~152,良,60,97,1.103,15,14,124
2015-06,61,40~86,良,34,66,1.02,9,11,94
2015-07,67,35~121,良,34,63,0.997,13,12,111
2015-08,88,34~154,良,42,67,1.31,14,15,139
2015-09,99,42~137,良,47,70,1.357,12,18,157
2015-10,96,41~161,良,54,85,1.277,15,21,142
2015-11,60,29~88,良,42,62,1.073,10,26,54
2015-12,107,53~209,轻度污染,77,124,0.923,13,34,56
2016-01,106,64~183,轻度污染,77,125,1.29,11,33,52
2016-02,88,57~193,良,59,112,0.831,12,18,97
2016-03,88,36~143,良,60,112,0.777,10,21,109
2016-04,70,30~130,良,36,67,0.79,7,18,110
2016-05,69,40~110,良,37,66,0.765,5,13,112
2016-06,66,33~116,良,31,53,0.737,6,11,113
2016-07,54,22~98,良,26,47,0.723,6,9,94
2016-08,81,33~136,良,35,61,0.884,9,12,133
2016-09,95,38~150,良,43,75,0.89,11,18,147
2016-10,57,26~98,良,38,52,1.113,8,24,62
2016-11,74,25~138,良,54,79,1.15,7,27,59
2016-12,102,60~139,轻度污染,77,108,1.158,11,31,71
2017-01,117,45~238,轻度污染,89,106,1.348,9,24,67
2017-02,91,60~204,良,67,79,1.111,11,19,91
2017-03,81,40~216,良,56,75,1.077,8,20,98
2017-04,82,34~134,良,40,65,1.057,8,16,125
2017-05,100,33~183,轻度污染,37,55,1.11,9,15,148
2017-06,68,33~112,良,33,40,1.403,6,10,117
2017-07,55,32~130,良,29,38,1.345,6,8,97
2017-08,54,27~100,良,27,31,1.216,4,9,97
2017-09,73,39~149,良,35,48,1.26,5,13,118
2017-10,56,28~112,良,32,47,1.3,6,18,88
2017-11,80,45~121,良,55,76,1.47,5,30,85
2017-12,89,52~192,良,59,76,1.368,6,39,40
2018-01,82,32~158,良,60,67,1.3,3,31,50
2018-02,74,0~145,良,53,73,1.154,3,23,77
2018-03,60,33~131,良,34,50,1.055,3,21,93
2018-04,57,0~102,良,29,54,0.837,3,18,108
2018-05,55,0~126,良,23,37,0.916,2,15,109
2018-06,72,28~146,良,22,36,0.863,3,13,123
2018-07,51,25~106,良,16,29,0.935,4,10,95
2018-08,71,30~136,良,22,38,0.806,5,13,123
2018-09,73,30~116,良,25,49,0.8,6,17,124
2018-10,74,39~135,良,33,58,0.803,7,25,114
2018-11,59,27~119,良,39,57,0.91,8,30,70
2018-12,77,25~182,良,56,65,1.045,8,35,36
2019-01,102,42~175,轻度污染,76,94,1.145,8,36,41
2019-02,73,30~128,良,53,59,0.925,6,20,48
2019-03,60,37~94,良,34,61,0.635,6,22,93
2019-04,64,24~116,良,32,52,0.71,5,17,105
