month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,218,76~419,重度污染,176,272,2.007,95,41,22
2014-01,194,60~497,中度污染,150,246,2.106,71,44,39
2014-02,195,76~436,中度污染,153,208,1.871,46,35,57
2014-03,116,69~200,轻度污染,76,156,1.484,43,50,86
2014-04,95,55~145,良,62,128,1.2,31,38,98
2014-05,95,52~148,良,48,130,0.981,28,38,120
2014-06,75,51~155,良,40,82,0.92,17,33,80
2014-07,61,28~92,良,29,74,0.761,15,27,75
2014-08,73,39~104,良,41,94,0.861,14,32,96
2014-09,59,27~107,良,35,71,1.09,13,28,53
2014-10,103,43~208,轻度污染,73,133,1.206,23,39,45
2014-11,120,52~221,轻度污染,87,140,1.273,31,39,23
2014-12,98,44~174,良,61,131,1.477,31,36,28
2015-01,123,55~232,轻度污染,89,155,1.629,45,44,36
2015-02,94,59~196,良,64,115,1.311,33,32,61
2015-03,86,42~160,良,59,108,1.171,31,33,67
2015-04,76,42~128,良,41,100,1.123,34,41,88
2015-05,83,44~128,良,47,111,1.042,19,42,104
2015-06,69,33~121,良,32,70,0.887,15,27,104
2015-07,74,53~115,良,35,73,0.894,18,23,122
2015-08,72,28~128,良,38,84,0.897,14,26,99
2015-09,75,37~138,良,50,89,1.01,12,31,82
2015-10,100,36~213,良,64,139,1.342,18,48,58
2015-11,99,40~300,良,69,124,1.677,16,43,25
2015-12,179,58~363,中度污染,136,215,2.035,26,57,29
2016-01,187,53~373,中度污染,147,210,2.223,21,67,36
2016-02,99,38~189,良,58,127,1.548,18,46,63
2016-03,149,60~279,轻度污染,99,206,1.203,24,61,78
2016-04,107,65~158,轻度污染,74,150,1.183,22,50,103
2016-05,100,44~181,良,57,126,0.968,25,41,133
2016-06,114,62~176,轻度污染,42,97,0.99,19,34,171
2016-07,84,39~156,良,35,76,0.89,12,28,131
2016-08,87,35~125,良,42,85,1.106,12,26,140
2016-09,100,54~147,良,63,121,1.213,15,51,113
2016-10,94,33~190,良,66,116,1.206,12,47,64
2016-11,180,49~284,中度污染,131,242,1.56,25,67,37
2016-12,202,77~439,重度污染,161,233,2.003,33,75,35
2017-01,223,63~500,重度污染,185,255,2.329,32,68,47
2017-02,183,53~324,中度污染,143,200,1.889,29,63,83
2017-03,109,50~178,轻度污染,77,122,1.258,24,57,89
2017-04,99,41~313,良,52,99,1.343,20,57,110
2017-05,115,51~450,轻度污染,45,94,1.242,18,53,136
2017-06,121,52~183,轻度污染,40,85,1.207,16,47,177
2017-07,140,36~206,轻度污染,36,83,1.277,17,37,203
2017-08,101,33~200,轻度污染,37,78,1.226,15,37,155
2017-09,81,45~143,良,49,99,1.403,15,45,105
2017-10,76,28~125,良,53,93,1.445,14,43,52
2017-11,139,70~345,轻度污染,103,171,1.67,25,68,48
2017-12,184,69~387,中度污染,120,189,1.874,32,71,26
2018-01,186,69~341,中度污染,146,194,1.794,28,59,48
2018-02,122,0~309,轻度污染,90,141,1.411,25,48,75
2018-03,111,0~238,轻度污染,82,126,1.242,19,52,91
2018-04,70,0~137,良,38,98,0.917,13,46,97
2018-05,78,0~141,良,33,96,0.8,12,43,120
2018-06,110,40~167,轻度污染,29,74,0.82,11,37,166
2018-07,88,34~154,良,24,53,0.729,9,26,142
2018-08,114,39~164,轻度污染,28,61,0.794,10,27,173
2018-09,64,29~103,良,25,55,0.867,9,38,97
2018-10,91,59~143,良,57,101,0.99,10,60,79
2018-11,101,0~273,轻度污染,74,106,1.307,11,60,43
2018-12,118,0~264,轻度污染,86,134,1.374,18,58,34
2019-01,196,62~367,中度污染,156,192,1.6,15,63,46
2019-02,183,67~286,中度污染,141,171,1.207,11,38,77
2019-03,92,61~168,良,59,119,0.755,10,50,96
2019-04,93,55~149,良,55,115,0.77,9,39,115
2019-05,111,35~500,轻度污染,50,128,0.603,10,40,121
2019-06,88,34~160,良,29,59,0.637,7,35,140
2019-07,90,44~146,良,25,56,0.639,6,32,145
2019-08,85,38~139,良,28,57,0.774,7,29,136
2019-09,67,29~127,良,31,58,0.727,7,36,111
2019-10,66,26~137,良,41,82,0.816,7,42,49
2019-11,108,33~212,轻度污染,78,123,0.947,10,54,34
2019-12,147,56~348,轻度污染,113,148,1.135,11,59,35
2020-01,183,72~325,中度污染,143,155,1.448,10,45,49
2020-02,113,23~213,轻度污染,80,110,0.934,9,23,91
2020-03,85,33~190,良,46,117,0.677,8,43,87
2020-04,77,40~117,良,37,93,0.663,9,49,107
2020-05,83,36~137,良,28,85,0.6,9,37,127
2020-06,80,34~164,良,26,62,0.693,7,32,127
2020-07,87,39~162,良,29,56,0.668,7,27,139
2020-08,65,28~135,良,23,46,0.674,7,26,108
2020-09,71,40~114,良,34,69,0.7,10,41,113
2020-10,71,36~138,良,39,89,0.765,9,46,46
2020-11,100,30~182,良,71,124,0.913,10,54,56
2020-12,132,44~244,轻度污染,97,124,0.974,10,53,38
2021-01,131,57~315,轻度污染,84,117,1.045,13,59,51
2021-02,126,57~438,轻度污染,94,126,0.975,11,38,76
2021-03,152,55~500,中度污染,40,75,0.758,10,48,69
2021-04,69,32~147,良,31,46,0.647,9,40,82
2021-05,90,29~232,良,30,55,0.535,10,40,124
2021-06,96,31~189,良,27,67,0.577,10,35,150
2021-07,89,32~157,良,20,49,0.642,8,27,141
2021-08,78,28~178,良,23,50,0.739,8,26,126
2021-09,57,25~111,良,17,36,0.71,8,24,100
2021-10,54,25~90,良,29,60,0.777,8,34,57
2021-11,110,58~236,轻度污染,73,143,0.837,11,54,53
2021-12,118,57~215,轻度污染,87,102,0.987,11,51,43
2022-01,157,57~261,中度污染,118,122,1.358,9,35,62
2022-02,112,46~189,轻度污染,81,108,0.986,10,37,81
2022-03,127,62~400,轻度污染,30,48,0.813,9,45,86
2022-04,83,49~132,良,33,58,0.717,6,38,113
2022-05,92,41~150,良,28,67,0.542,5,33,141
2022-06,107,38~165,轻度污染,21,58,0.487,5,26,166
2022-07,101,36~159,轻度污染,21,48,0.645,5,20,158
2022-08,91,26~137,良,24,51,0.661,5,19,144
2022-09,79,43~126,良,36,75,0.83,7,33,118
2022-10,77,22~148,良,52,96,0.861,7,44,63
2022-11,116,38~222,轻度污染,81,138,0.947,6,47,45
2022-12,139,65~281,轻度污染,101,172,0.955,8,54,47
2023-01,182,67~406,中度污染,131,218,1.077,8,45,69
2023-02,148,52~298,轻度污染,112,155,1.082,7,44,62
2023-03,100,44~190,轻度污染,58,140,0.632,7,45,91
2023-04,122,26~500,轻度污染,56,183,0.703,6,30,104
2023-05,69,28~137,良,24,55,0.742,5,28,108
2023-06,98,35~171,良,21,52,0.667,5,31,153
2023-07,97,32~198,良,22,51,0.616,4,25,152
2023-08,81,34~120,良,21,44,0.623,4,22,133
2023-09,68,32~124,良,25,49,0.62,4,24,114
2023-10,62,27~99,良,38,76,0.716,5,40,72
2023-11,98,49~262,良,60,119,0.74,7,45,51
2023-12,125,47~281,轻度污染,88,140,0.948,7,47,26
2024-01,120,33~251,轻度污染,90,125,1.003,8,49,53
2024-02,146,59~500,轻度污染,96,175,0.869,7,22,73
2024-03,99,42~359,良,56,130,0.61,7,37,88
2024-04,95,49~343,良,44,122,0.577,6,33,112
2024-05,99,51~149,良,28,69,0.484,5,28,156
2024-06,108,47~195,轻度污染,24,60,0.51,5,24,167
2024-07,77,28~150,良,21,45,0.587,5,19,127
2024-08,105,49~155,轻度污染,22,52,0.523,7,18,161
2024-09,89,40~155,良,29,67,0.593,8,16,144
2024-10,81,34~133,良,53,99,0.697,8,38,97
2024-11,92,30~180,良,63,101,0.817,8,36,61
2024-12,90,51~163,良,65,101,0.777,8,45,59
2025-01,122,43~280,轻度污染,88,144,0.952,7,44,68
2025-02,97,40~211,良,66,110,0.629,5,33,78
2025-03,98,36~269,良,52,127,0.561,5,32,92
2025-04,131,69~500,轻度污染,59,195,0.513,5,34,108
