month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,90,90~90,良,45,129,1.2,8,20,31
2015-01,97,55~184,良,59,144,1.558,16,20,30
2015-02,115,46~275,轻度污染,53,174,1.346,9,14,37
2015-03,105,61~303,轻度污染,46,144,0.777,7,13,46
2015-04,114,42~398,轻度污染,50,148,0.55,4,12,53
2015-05,67,37~123,良,26,85,0.594,9,8,58
2015-06,60,25~109,良,25,72,0.557,7,9,58
2015-07,60,36~97,良,21,72,0.726,5,9,60
2015-08,76,46~242,良,27,98,0.884,6,11,58
2015-09,65,36~100,良,19,81,0.857,6,13,50
2015-10,76,48~120,良,33,103,1,7,16,42
2015-11,79,43~114,良,50,103,1.427,9,19,30
2015-12,74,38~127,良,50,90,1.387,14,18,26
2016-01,74,42~118,良,46,95,1.455,11,18,30
2016-02,99,52~209,良,48,143,1.424,7,15,38
2016-03,108,55~235,轻度污染,44,164,1.11,4,14,49
2016-04,71,46~177,良,28,93,0.767,3,11,58
2016-05,71,32~165,良,31,94,0.623,4,10,58
2016-06,76,34~500,良,30,94,0.727,3,8,61
2016-07,54,36~100,良,21,60,0.945,3,8,58
2016-08,65,36~109,良,27,80,1.171,3,15,49
2016-09,66,48~89,良,28,81,1.263,9,39,90
2016-10,71,45~109,良,30,91,1.506,9,37,92
2016-11,75,39~130,良,42,99,1.623,15,48,61
2016-12,77,61~119,良,53,98,1.839,22,50,41
2017-01,71,51~102,良,39,87,1.565,18,48,51
2017-02,70,38~122,良,29,91,1.661,13,41,69
2017-03,89,46~288,良,23,56,1.365,10,32,103
2017-04,75,44~151,良,21,70,1.14,11,30,114
2017-05,82,62~99,良,22,58,1.113,9,20,138
2017-06,81,57~159,良,22,58,0.723,6,18,131
2017-07,77,58~91,良,21,64,1.042,4,16,132
2017-08,71,54~87,良,18,58,0.984,5,16,124
2017-09,73,54~108,良,21,74,0.98,8,24,116
2017-10,73,45~112,良,32,97,1.497,9,28,101
2017-11,73,37~133,良,48,93,2.03,9,38,72
2017-12,94,43~149,良,59,87,2.987,12,39,34
2018-01,69,45~94,良,44,74,2.026,10,27,57
2018-02,58,41~80,良,27,67,1.779,8,23,74
2018-03,45,0~105,优,11,67,1.248,10,29,93
2018-04,62,0~123,良,22,76,0.847,7,21,103
2018-05,65,0~87,良,19,60,0.665,8,26,122
2018-06,69,0~91,良,14,45,0.883,7,23,123
2018-07,58,30~84,良,13,34,0.816,6,27,103
2018-08,42,0~80,优,13,34,0.806,5,27,79
