month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,197,83~370,中度污染,155,198,1.693,120,78,27
2014-01,160,54~412,中度污染,123,164,1.41,126,68,33
2014-02,150,46~308,中度污染,114,163,1.479,116,73,54
2014-03,81,43~213,良,56,96,0.916,68,62,62
2014-04,79,50~134,良,49,104,0.733,30,56,92
2014-05,53,24~129,良,28,55,0.658,15,40,80
2014-06,58,29~119,良,30,61,0.733,13,38,93
2014-07,74,24~249,良,49,72,0.771,8,35,100
2014-08,53,23~74,良,29,54,0.681,10,41,90
2014-09,44,22~73,优,22,47,0.59,15,35,60
2014-10,151,29~446,中度污染,120,160,0.987,45,58,61
2014-11,184,50~375,中度污染,145,194,1.06,84,60,43
2014-12,137,58~220,轻度污染,99,140,1.042,139,60,29
2015-01,156,47~287,中度污染,120,156,1.252,153,76,33
2015-02,150,45~381,中度污染,113,154,1.282,91,69,51
2015-03,90,45~217,良,63,105,1.032,43,51,65
2015-04,81,40~134,良,52,102,0.683,19,45,57
2015-05,54,25~132,良,27,64,0.548,9,35,61
2015-06,66,35~113,良,34,58,0.667,8,33,106
2015-07,69,34~117,良,31,52,0.842,6,37,109
2015-08,48,28~100,优,24,41,0.784,5,32,76
2015-09,50,32~80,优,22,48,0.757,8,37,64
2015-10,82,26~211,良,57,83,0.994,18,42,60
2015-11,178,50~500,中度污染,148,178,1.403,39,62,37
2015-12,182,50~414,中度污染,145,188,1.668,71,77,30
2016-01,127,53~234,轻度污染,96,119,1.387,74,63,34
2016-02,92,40~195,良,67,90,1.434,56,56,49
2016-03,82,38~172,良,55,97,1.319,36,47,63
2016-04,73,39~169,良,40,87,1.067,17,37,72
2016-05,60,37~103,良,27,60,0.984,10,31,96
2016-06,55,33~107,良,25,40,0.93,8,32,99
2016-07,54,29~89,良,24,42,0.923,6,33,93
2016-08,50,22~88,优,23,45,0.932,9,32,86
2016-09,46,28~64,优,23,38,0.95,10,34,61
2016-10,66,40~139,良,43,60,0.971,17,43,52
2016-11,118,57~500,轻度污染,100,106,1.243,46,58,46
2016-12,123,49~212,轻度污染,92,112,1.545,58,60,39
2017-01,156,47~350,中度污染,123,148,1.91,65,69,50
2017-02,99,43~275,良,73,93,1.746,45,58,82
2017-03,81,42~161,良,56,82,1.519,32,56,93
2017-04,96,43~236,良,60,104,1.56,24,46,112
2017-05,85,37~297,良,24,65,0.877,11,31,122
2017-06,68,32~148,良,24,45,0.723,9,37,114
2017-07,74,42~128,良,21,50,0.713,8,37,124
2017-08,48,27~85,优,16,38,0.574,7,28,88
2017-09,48,29~70,优,21,48,0.637,8,33,74
2017-10,119,35~473,轻度污染,94,122,0.848,17,49,84
2017-11,121,33~435,轻度污染,101,118,0.98,26,39,62
2017-12,101,25~206,轻度污染,74,92,1.219,53,49,30
2018-01,115,36~312,轻度污染,87,105,1.042,49,47,48
2018-02,95,47~228,良,71,91,1.064,39,42,68
2018-03,94,44~239,良,63,95,0.877,28,41,97
2018-04,77,0~270,良,51,77,0.747,14,36,107
2018-05,67,40~108,良,27,62,0.623,7,32,114
2018-06,66,34~140,良,17,38,0.58,6,29,115
2018-07,55,28~122,良,18,40,0.597,6,27,96
2018-08,38,17~87,优,12,31,0.523,6,24,66
2018-09,41,20~73,优,15,38,0.577,7,28,61
2018-10,46,22~88,优,22,49,0.606,11,33,59
2018-11,53,0~95,良,33,56,0.753,20,35,46
2018-12,78,26~321,良,56,76,0.881,29,36,45
2019-01,104,47~278,轻度污染,75,106,1.219,35,44,44
2019-02,136,42~414,轻度污染,106,119,1.075,30,41,68
2019-03,81,35~228,良,54,94,0.887,19,38,83
2019-04,85,37~459,良,36,108,0.61,13,28,98
2019-05,67,30~187,良,24,66,0.568,11,25,106
2019-06,55,20~136,良,14,34,0.537,8,27,99
2019-07,55,25~79,良,19,40,0.606,8,27,100
2019-08,34,18~64,优,12,27,0.561,8,22,54
2019-09,47,26~103,优,16,42,0.627,9,28,79
2019-10,56,23~123,良,27,61,0.674,13,34,66
2019-11,45,24~108,优,27,44,0.62,15,30,45
2019-12,119,27~298,轻度污染,91,103,1.029,29,46,37
2020-01,197,58~327,中度污染,155,164,1.345,43,61,60
2020-02,82,38~216,良,60,67,0.79,27,26,87
2020-03,65,40~165,良,41,55,0.616,16,25,96
2020-04,105,32~500,轻度污染,91,100,0.747,16,34,104
2020-05,61,29~124,良,21,48,0.516,13,24,110
2020-06,54,29~188,良,12,30,0.52,11,23,99
2020-07,64,40~136,良,18,42,0.619,10,27,114
2020-08,43,22~70,优,12,30,0.565,10,22,81
2020-09,41,19~72,优,15,36,0.663,11,26,61
2020-10,49,19~100,优,24,54,0.7,12,32,59
2020-11,77,24~179,良,52,71,0.8,18,39,47
2020-12,83,47~170,良,61,76,0.884,23,43,47
2021-01,110,42~244,轻度污染,83,94,1.071,32,43,62
2021-02,85,36~240,良,61,73,0.943,27,29,90
2021-03,69,42~145,良,44,62,0.758,19,35,96
2021-04,95,43~249,良,58,91,0.657,16,32,121
2021-05,70,39~154,良,23,51,0.558,13,27,120
2021-06,68,38~125,良,17,37,0.617,11,31,119
2021-07,60,35~101,良,16,36,0.6,11,25,107
2021-08,42,15~62,优,13,33,0.548,11,22,75
2021-09,40,20~56,优,12,36,0.607,11,27,62
2021-10,50,25~85,优,24,51,0.723,11,32,58
2021-11,65,23~156,良,46,59,0.867,15,34,48
2021-12,63,29~158,良,45,57,0.865,20,30,49
2022-01,135,55~301,轻度污染,103,118,1.132,33,47,51
2022-02,93,43~231,良,68,84,0.921,21,32,80
2022-03,53,37~114,良,29,47,0.735,14,23,86
2022-04,86,37~232,良,43,65,0.677,14,22,112
2022-05,57,22~108,良,20,41,0.626,11,20,104
2022-06,52,20~109,良,11,30,0.61,11,23,98
2022-07,47,23~94,优,12,33,0.655,9,21,88
2022-08,38,25~67,优,10,26,0.516,8,19,75
2022-09,47,27~103,优,14,37,0.543,9,23,84
2022-10,46,19~100,优,24,49,0.658,10,29,56
2022-11,79,25~192,良,56,76,0.733,13,31,47
2022-12,70,28~223,良,46,69,0.706,18,30,49
2023-01,101,34~291,轻度污染,76,96,0.958,22,38,54
2023-02,87,39~214,良,60,90,0.796,18,37,75
2023-03,91,35~500,良,54,111,0.668,13,31,94
2023-04,101,39~319,轻度污染,49,123,0.6,11,26,101
2023-05,75,41~444,良,24,69,0.474,8,23,107
2023-06,74,36~148,良,13,34,0.52,7,28,125
2023-07,51,20~74,良,12,32,0.587,7,21,95
2023-08,38,21~70,优,9,27,0.529,7,18,72
2023-09,43,27~89,优,13,33,0.56,7,22,81
2023-10,57,24~169,良,31,60,0.645,9,33,68
2023-11,63,31~132,良,43,58,0.68,10,35,52
2023-12,81,33~149,良,59,77,0.845,14,39,30
2024-01,105,36~328,轻度污染,79,96,1,16,44,54
2024-02,113,33~489,轻度污染,87,109,0.876,14,34,83
2024-03,56,39~188,良,32,59,0.584,10,28,86
2024-04,84,40~176,良,55,88,0.627,9,27,114
2024-05,56,26~120,良,21,45,0.465,7,21,102
2024-06,57,21~135,良,15,35,0.5,7,24,102
2024-07,60,24~95,良,25,49,0.619,8,25,106
2024-08,41,20~67,优,12,33,0.587,8,21,77
2024-09,40,26~59,优,12,36,0.547,8,25,71
2024-10,52,24~84,良,29,51,0.581,9,29,65
2024-11,102,27~267,轻度污染,76,97,0.72,11,32,47
2024-12,66,27~138,良,47,61,0.723,11,34,45
2025-01,140,46~285,轻度污染,107,129,1.09,13,46,50
2025-02,73,35~156,良,52,71,0.729,11,26,78
2025-03,66,39~198,良,39,67,0.635,10,23,89
2025-04,71,46~114,良,48,63,0.7,10,25,108
